Title	Kind	Date Started	Date Finished	Rating	Notes
The Long Dry Fork	Western	2024-09-02	2024-09-09	5	Read it three times over the years, still holds
Riders of Coldwater	Western	2024-09-12	2024-09-20	5	The family in it feels like kin by now
The Cabin on Tell Creek	Western	2024-09-22	2024-09-30	4	He built that cabin right
High Lonesome Pass	Western	2024-10-04	2024-10-13	4	Slower middle, strong finish
The Gambler's Crossing	Western	2024-10-16	2024-10-24	4	Good lesson on trust
A Man Alone	Western	2024-10-28	2024-11-06	5	One man against all of them
Flint Hollow	Western	2024-11-10	2024-11-18	5	A man who knew he was dying lived more than most
The Quick Spring	Western	2024-11-22	2024-11-30	4	Read it to the grandkids in pieces
Trail of the Catclaw	Western	2024-12-04	2024-12-12	3	Lighter than the rest
Cold Night Mesa	Western	2025-01-05	2025-01-14	4	Good for the cold nights
The Town They Built	Western	2025-01-18	2025-01-29	5	A town built by hand, that is the whole point
The Far Road East	Adventure	2025-02-02	2025-02-16	4	Not a western, surprised me, stayed with it
Last of the Long Riders	Western	2025-02-20	2025-02-28	5	Best one in years, could not put it down
