Crop	Variety	Bed	Date Started	Method	Expected Harvest	Notes
Tomatoes	Slicing	Back bed east	2025-04-12	Transplant	2025-07-20	Stake early, they get heavy
Tomatoes	Paste	Back bed east	2025-04-12	Transplant	2025-07-25	Dorothy cans these for sauce
Bell peppers	Green	Back bed center	2025-04-15	Transplant	2025-07-15	Watch for the cold snap
Hot peppers	Cayenne	Back bed center	2025-04-15	Transplant	2025-08-01	Marcus likes the heat
Collard greens	Standard	Side bed	2025-04-20	Direct seed	2025-06-30	Sweeter after the first frost in fall
Mustard greens	Broadleaf	Side bed	2025-04-20	Direct seed	2025-06-20	Quick, plant a second round
Okra	Spineless	Back bed west	2025-05-10	Direct seed	2025-08-10	Needs the heat, wait for warm soil
Green beans	Pole	Back bed west	2025-05-05	Direct seed	2025-07-10	Run the string
Cucumbers	Slicing	Fence row	2025-05-08	Direct seed	2025-07-05	Let them climb the fence
Roses	Red	Front border	2025-04-01	Prune and feed	Ongoing	Her roses, I just tend them
Roses	Yellow climber	Porch trellis	2025-04-01	Prune and feed	Ongoing	From her mother's cuttings
Greens fall planting	Standard	Side bed	2025-10-01	Direct seed	2025-11-20	Best greens come after frost
