listing_id,title,city,country,room_type,price_per_night,cleaning_fee,beds,baths,max_guests,rating,review_count,host_id,instant_book
LIST_fd6cbf96,Re: Q4 Budget Review,Beaverton,US,Office Supplies,16.00,16.00,11,11,11,11.00,11,HOST_213b95fd,true
LIST_0a7cb909,Monthly Report,New York,US,Software,33.31,33.31,28,28,28,28.31,28,HOST_b2da5d73,false
LIST_60581851,Project Update,Los Angeles,US,Consulting,50.62,50.62,45,45,45,45.62,45,HOST_7219cdde,false
LIST_6a0114f5,Team Meeting Notes,Chicago,US,Marketing,67.93,67.93,62,62,62,62.93,62,HOST_f3f57edf,true
LIST_9cc6f10b,Re: Action Items,Houston,US,Travel,84.24,84.24,79,79,79,79.24,79,HOST_3217388d,false
LIST_40a4bc44,Follow-up,Phoenix,US,Equipment,101.55,101.55,96,96,96,96.55,96,HOST_9cb35d4c,false
LIST_0f4c2b3a,Schedule Change,Philadelphia,US,Training,118.86,118.86,113,113,113,12.86,113,HOST_c9c628ea,true
LIST_436d61a9,Document Review,San Antonio,US,Subscriptions,135.17,135.17,130,130,130,29.17,130,HOST_3a448519,false
LIST_cc6fa81f,Re: Approval Request,San Diego,US,Shipping,152.48,152.48,147,147,147,46.48,147,HOST_008ab173,true
LIST_b0d7d705,Weekly Sync,Dallas,US,Utilities,169.79,169.79,164,164,164,63.79,164,HOST_b9381483,true
LIST_eefd08b8,Status Update,San Jose,US,Professional Services,186.10,186.10,181,181,181,80.10,181,HOST_ab777132,false
LIST_14fddf2a,Planning Session,Austin,US,Insurance,203.41,203.41,198,198,198,97.41,198,HOST_742a3c5f,true
LIST_2b2347a6,Re: Client Deliverable,Jacksonville,US,Maintenance,220.72,220.72,14,14,14,13.72,14,HOST_ed6a4a1d,false
LIST_b30ee845,Invoice Attached,Fort Worth,US,Legal,237.03,237.03,31,31,31,30.03,31,HOST_4a67d96f,false
LIST_89cdf134,Contract Draft,Columbus,US,Advertising,254.34,254.34,48,48,48,47.34,48,HOST_51bef852,true
LIST_d39b307a,Event Planning,Charlotte,US,Technology,271.65,271.65,65,65,65,64.65,65,HOST_f7d87d66,false
LIST_1d67f8c7,Re: Feedback Request,Indianapolis,US,Meals & Entertainment,288.96,288.96,82,82,82,81.96,82,HOST_3e14cd78,true
