cost_category,low_usd,mid_usd,high_usd,source,confidence,note
per_cycle_procedure,15000,17500,20000,boston_ivf_consult_feb_2026_and_2026Q3_price_sheet,high,does_not_include_medication_covers_retrieval_lab_embryo_culture_first_transfer
per_cycle_medication_gonal_f,1200,1400,1600,boston_ivf_pharmacy_partner_quote_sep_2026,high,stim_gonadotropin_typical_dose_response
per_cycle_medication_menopur,900,1050,1200,boston_ivf_pharmacy_partner_quote_sep_2026,high,stim_adjunct
per_cycle_medication_ganirelix,300,400,500,boston_ivf_pharmacy_partner_quote_sep_2026,high,antagonist
per_cycle_medication_trigger,200,300,400,boston_ivf_pharmacy_partner_quote_sep_2026,high,lupron_or_ovidrel
per_cycle_medication_prometrium,400,500,600,boston_ivf_pharmacy_partner_quote_sep_2026,high,post_transfer_luteal_support
per_cycle_medication_subtotal,3000,3650,5000,derived_sum_of_medications,high,use_the_midpoint_3650_for_runway
per_cycle_all_in,18000,21150,25000,derived_procedure_plus_medication_midpoint,high,use_midpoint_21150_for_runway_math
windbridge_lifetime_fertility_benefit_cap,25000,25000,25000,bamboohr_benefits_review_2026Q1_windbridge_hr_confirmed,high,applies_lifetime_credit_against_first_cycle_cannot_reuse_next_cycle
sarah_aca_fertility_coverage,0,0,0,healthcare_gov_marketplace_ma_2026,high,nothing_covered_confirmed_summer_2026
ivf_hysa_target_by_nov_2026,25000,25000,25000,household_savings_plan_brian_and_sarah_feb_2026_agreement,med,current_14108
ivf_hysa_monthly_transfer,2000,2000,2000,scheduled_5th_of_month_from_citizens_to_ally,high,do_not_reduce_without_conversation
projected_ivf_hysa_at_transfer_horizon,,,,,, "starting_14108_plus_2000_x_months_between_now_and_2027-02-15_equals_projected_hysa_at_transfer_time"
first_transfer_target_date,,2027-02-15,,boston_ivf_consult_feb_2026,med,requires_baseline_stim_retrieval_and_embryo_culture_first
runway_conservative_read,,,,derived,rule,ivf_hysa_current_plus_marcus_reserve_divided_by_21150
runway_projected_read,,,,derived,rule,ivf_hysa_projected_plus_marcus_plus_alpaca_mark_divided_by_21150_minus_25000_windbridge_cap_credit
excluded_from_runway,,,,,rule,windbridge_401k_and_sarah_roth_untouched_never_included
