record_type,record_id,client,description,issued_date,due_date,paid_date,amount_usd,status,category,note
invoice,INV-2026-0714,Herald & Post Publishing,summer cover art series final,2026-07-14,2026-07-28,2026-07-25,3200.00,paid,1099_freelance_design,paid_via_ach
invoice,INV-2026-0722,Coastal Wellness Studio,brand style guide phase 1,2026-07-22,2026-08-05,2026-08-01,4500.00,paid,1099_freelance_design,paid_via_check
payment,PAY-2026-0725,Herald & Post Publishing,invoice_INV-2026-0714_paid,2026-07-25,,2026-07-25,3200.00,recorded,receipts,
payment,PAY-2026-0801,Coastal Wellness Studio,invoice_INV-2026-0722_paid,2026-08-01,,2026-08-01,4500.00,recorded,receipts,
invoice,INV-2026-0805,Bright Path Foundation,annual report cover concepts,2026-08-05,2026-08-19,2026-08-18,2200.00,paid,1099_freelance_design,paid_via_ach
invoice,INV-2026-0812,Coastal Wellness Studio,brand style guide phase 1 revisions,2026-08-12,2026-08-26,2026-08-22,1400.00,paid,1099_freelance_design,paid_via_ach
payment,PAY-2026-0818,Bright Path Foundation,invoice_INV-2026-0805_paid,2026-08-18,,2026-08-18,2200.00,recorded,receipts,
payment,PAY-2026-0822,Coastal Wellness Studio,invoice_INV-2026-0812_paid,2026-08-22,,2026-08-22,1400.00,recorded,receipts,
invoice,INV-2026-0902,Cambridge Symphony Orchestra,Q1_2027_concert_poster_deposit,2026-09-02,2026-09-16,2026-09-14,1800.00,paid,1099_freelance_design,poster_series_deposit_50pct
invoice,INV-2026-0908,Herald & Post Publishing,fall cover art series deposit,2026-09-08,2026-09-22,2026-09-20,2800.00,paid,1099_freelance_design,50pct_deposit
invoice,INV-2026-0918,Bright Path Foundation,annual report layout phase 2,2026-09-18,2026-10-02,2026-09-30,3400.00,paid,1099_freelance_design,paid_via_ach
payment,PAY-2026-0914,Cambridge Symphony Orchestra,invoice_INV-2026-0902_paid,2026-09-14,,2026-09-14,1800.00,recorded,receipts,
payment,PAY-2026-0920,Herald & Post Publishing,invoice_INV-2026-0908_paid,2026-09-20,,2026-09-20,2800.00,recorded,receipts,
payment,PAY-2026-0930,Bright Path Foundation,invoice_INV-2026-0918_paid,2026-09-30,,2026-09-30,3400.00,recorded,receipts,
invoice,INV-2026-1005,Coastal Wellness Studio,brand refresh phase 2 kickoff,2026-10-05,2026-10-19,2026-10-16,2600.00,paid,1099_freelance_design,50pct_kickoff
invoice,INV-2026-1010,Herald & Post Publishing,fall cover art series final,2026-10-10,2026-10-24,,2800.00,outstanding,1099_freelance_design,50pct_final_expected_within_14_days
payment,PAY-2026-1016,Coastal Wellness Studio,invoice_INV-2026-1005_paid,2026-10-16,,2026-10-16,2600.00,recorded,receipts,
invoice,INV-2026-1015,Bright Path Foundation,annual report layout milestone,2026-10-15,2026-10-29,,1500.00,outstanding,1099_freelance_design,milestone_invoice_expected_by_month_end
summary,SUM-2026-1019,,trailing_4mo_receipts_jul22_through_oct19,2026-07-22,,,29300.00,computed,receipts_trailing,paid_receipts_only_excludes_2_outstanding_4300
summary,SUM-2026-1019,,trailing_4mo_monthly_midpoint_usd,2026-07-22,,,7325.00,computed,derived,29300_divided_by_4_months_the_QuickBooks_defensible_projection_figure
summary,SUM-2026-1019,,trailing_4mo_range_low_usd,,,,,,,7000.00_conservative_read_only_paid_receipts_minus_outlier_high_month
summary,SUM-2026-1019,,trailing_4mo_range_high_usd,,,,,,,8000.00_upper_bound_if_both_outstanding_pay_within_month
