date,day_of_week,location,station_id,pressure_hpa_morning,pressure_hpa_evening,pressure_delta_24h_hpa,temp_high_f,temp_low_f,temp_avg_f,precip_mm,precip_type,humidity_pct_morning,humidity_pct_afternoon,humidity_pct_avg,wind_mph_avg,wind_gust_mph_max,wind_direction_prevailing,cloud_cover_pct_avg,conditions_summary,sunrise_local,sunset_local,daylight_hours,aqi,uv_index_max,notes
2026-07-22,Wednesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1013,1020,5,83,65,74,0.0,none,81,54,67,4,9,W,50,partly_cloudy,05:26,20:14,14.8,50,9,
2026-07-23,Thursday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1020,1016,-4,80,70,75,0.6,light_rain,73,61,67,5,21,SW,80,showers,05:27,20:12,14.75,43,9,
2026-07-24,Friday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1016,1023,7,88,69,78,0.0,none,67,52,59,8,21,NW,24,clear,05:28,20:11,14.72,68,8,recovery_high_pressure_ridge
2026-07-25,Saturday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1024,1015,-8,87,66,76,4.1,moderate_rain,80,49,64,10,21,NW,99,showers,05:29,20:09,14.67,65,10,large_pressure_drop_migraine_risk_flag
2026-07-26,Sunday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1013,1013,-2,79,68,73,1.5,light_rain,88,54,71,11,21,S,80,showers,05:30,20:08,14.63,67,8,
2026-07-27,Monday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1013,1007,-6,84,68,76,2.7,moderate_rain,63,57,60,13,23,W,92,showers,05:31,20:06,14.58,59,9,
2026-07-28,Tuesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1008,1007,0,78,64,71,0.0,none,74,43,58,5,20,NE,86,overcast,05:32,20:05,14.55,50,8,
2026-07-29,Wednesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1005,1004,-3,80,68,74,1.4,light_rain,77,59,68,11,20,NE,92,showers,05:34,20:03,14.48,23,8,
2026-07-30,Thursday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1006,1005,1,80,64,72,0.0,none,78,46,62,6,17,E,21,clear,05:35,20:02,14.45,49,8,
2026-07-31,Friday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1007,1008,3,84,66,75,0.0,none,69,57,63,9,21,NE,69,mostly_cloudy,05:36,20:00,14.4,68,7,
2026-08-01,Saturday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1007,1011,3,79,70,74,0.0,none,74,47,60,13,29,NE,47,partly_cloudy,05:37,19:59,14.37,61,8,
2026-08-02,Sunday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1011,1007,-4,80,69,74,0.6,light_rain,63,40,51,11,17,NE,78,showers,05:38,19:57,14.32,22,8,
2026-08-03,Monday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1005,1006,-1,80,66,73,0.0,none,79,47,63,12,27,N,65,mostly_cloudy,05:39,19:55,14.27,28,7,
2026-08-04,Tuesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1005,1006,0,83,67,75,0.0,none,85,46,65,10,23,E,81,mostly_cloudy,05:40,19:54,14.23,60,7,
2026-08-05,Wednesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1005,1011,5,76,68,72,0.0,none,72,61,66,11,26,N,40,partly_cloudy,05:41,19:52,14.18,27,8,
2026-08-06,Thursday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1010,1003,-8,75,61,68,7.3,heavy_rain,81,53,67,5,23,S,93,heavy_rain_front,05:42,19:51,14.15,64,8,front_moving_through_watch_for_pressure_swing
2026-08-07,Friday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1005,1002,-1,83,67,75,6.3,heavy_rain,83,56,69,13,21,N,81,heavy_rain_front,05:43,19:49,14.1,47,8,front_moving_through_watch_for_pressure_swing
2026-08-08,Saturday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1001,1002,0,78,61,69,0.0,none,80,40,60,8,21,S,74,mostly_cloudy,05:44,19:48,14.07,49,9,
2026-08-09,Sunday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1002,1006,4,80,67,73,0.0,none,79,61,70,8,15,SE,37,partly_cloudy,05:45,19:46,14.02,23,7,
2026-08-10,Monday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1005,1005,-1,83,64,73,0.0,none,71,48,59,9,18,W,56,partly_cloudy,05:46,19:45,13.98,62,8,
2026-08-11,Tuesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1007,1005,0,78,62,70,0.0,none,83,38,60,14,20,S,60,mostly_cloudy,05:48,19:43,13.92,50,8,
2026-08-12,Wednesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1006,1007,2,79,61,70,0.0,none,62,58,60,7,24,NW,66,mostly_cloudy,05:49,19:41,13.87,41,7,
2026-08-13,Thursday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1008,1010,3,82,59,70,0.0,none,83,61,72,14,30,SE,34,partly_cloudy,05:50,19:40,13.83,53,7,
2026-08-14,Friday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1008,1010,0,77,66,71,0.0,none,85,38,61,4,11,E,87,overcast,05:51,19:38,13.78,25,6,
2026-08-15,Saturday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1009,1013,3,77,61,69,0.0,none,75,41,58,6,22,NW,50,partly_cloudy,05:52,19:37,13.75,29,7,
2026-08-16,Sunday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1013,1008,-5,75,62,68,4.0,moderate_rain,65,48,56,8,16,SW,95,showers,05:53,19:35,13.7,62,7,
2026-08-17,Monday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1006,1012,4,74,59,66,0.0,none,84,48,66,7,17,E,45,partly_cloudy,05:54,19:34,13.67,66,6,
2026-08-18,Tuesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1012,1017,5,73,58,65,0.0,none,68,62,65,9,20,E,25,clear,05:55,19:32,13.62,65,6,
2026-08-19,Wednesday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1015,1022,5,73,58,65,0.0,none,87,41,64,6,23,SE,85,overcast,05:56,19:31,13.58,23,7,
2026-08-20,Thursday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1020,1016,-6,81,58,69,3.4,moderate_rain,83,39,61,7,24,NE,98,showers,05:57,19:29,13.53,27,6,
2026-08-21,Friday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1015,1013,-3,80,65,72,1.3,light_rain,66,58,62,6,17,NW,86,showers,05:58,19:28,13.5,26,6,
2026-08-22,Saturday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1012,1007,-6,80,57,68,6.2,heavy_rain,76,47,61,10,18,NE,98,heavy_rain_front,05:59,19:26,13.45,40,7,front_moving_through_watch_for_pressure_swing
2026-08-23,Sunday,Cambridge_MA_02139,KBOS-CAMBRIDGE-N,1009,1004,-3,76,57,66,0.1,none,65,40,52,10,23,N,79,showers,06:00,19:24,13.4,58,7,
