id,createdTime,PieceTitle,Composer,Voicing,Difficulty,InCurrentRepertoire,DirectorNote,LastPerformedAt
recChoir000000000001,2026-01-15T10:00:00.000Z,Lift Every Voice and Sing,James Weldon Johnson and J. Rosamond Johnson,SATB,Intermediate,true,Standing repertoire. Hold the fourth verse fuller this year.,2025-11-23
recChoir000000000002,2026-01-15T10:00:00.000Z,Steal Away,Spiritual arr. Wallace Willis,SATB,Intermediate,true,Atlanta competition piece. Watch tempo on third refrain.,2026-06-14
recChoir000000000003,2026-01-15T10:00:00.000Z,Wade in the Water,Spiritual arr. M. Hogan,SATB,Advanced,true,Atlanta competition piece. Alto solo at the bridge.,2026-06-14
recChoir000000000004,2026-01-15T10:00:00.000Z,Ain't a That Good News,Spiritual arr. W. L. Dawson,SATB,Advanced,true,Atlanta contemporary commission piece.,2026-05-10
recChoir000000000005,2026-01-15T10:00:00.000Z,Total Praise,Richard Smallwood,SATB,Intermediate,false,Off-cycle. Pulled for the December concert.,2025-12-21
recChoir000000000006,2026-01-15T10:00:00.000Z,Hold On,Spiritual arr. M. Hogan,SATB,Advanced,false,Off-cycle.,2025-04-15
recChoir000000000007,2026-01-15T10:00:00.000Z,My Soul's Been Anchored in the Lord,Spiritual arr. Moses Hogan,SATB,Advanced,false,Off-cycle.,2025-02-09
recChoir000000000008,2026-01-15T10:00:00.000Z,There Is a Balm in Gilead,Spiritual arr. W. Dawson,SATB,Intermediate,false,Off-cycle.,2024-11-17
recChoir000000000009,2026-01-15T10:00:00.000Z,Down by the Riverside,Spiritual traditional,SATB,Beginner,false,Off-cycle warmup piece.,2024-08-04
recChoir000000000010,2026-01-15T10:00:00.000Z,Goin' Up Yonder,Walter Hawkins,SATB,Intermediate,false,Off-cycle.,2024-04-21
recChoir000000000011,2026-01-15T10:00:00.000Z,How Great Thou Art,Stuart K. Hine,SATB,Beginner,true,Standing for services.,2026-08-31
recChoir000000000012,2026-01-15T10:00:00.000Z,Order My Steps,Glenn Burleigh,SATB,Intermediate,true,Standing for services.,2026-09-28
recChoir000000000013,2026-01-15T10:00:00.000Z,Be Still and Know,Steven Curtis Chapman,SATB,Beginner,false,Off-cycle.,2025-01-12
recChoir000000000014,2026-01-15T10:00:00.000Z,"Precious Lord, Take My Hand",Thomas A. Dorsey,SATB,Intermediate,false,Off-cycle.,2024-06-09
recChoir000000000015,2026-01-15T10:00:00.000Z,Soon and Very Soon,Andraé Crouch,SATB,Beginner,false,Off-cycle.,2025-03-30
recChoir000000000016,2026-01-15T10:00:00.000Z,Joy to the World,Isaac Watts,SATB,Beginner,false,"Off-cycle, in the library.",2023-12-24
recChoir000000000017,2026-01-15T10:00:00.000Z,O Holy Night,Adolphe Adam,SATB,Intermediate,false,"Off-cycle, in the library.",2024-01-14
recChoir000000000018,2026-01-15T10:00:00.000Z,Silent Night,Franz Gruber,SATB,Beginner,false,"Off-cycle, in the library.",2024-02-18
recChoir000000000019,2026-01-15T10:00:00.000Z,The First Noel,English traditional,SATB,Beginner,false,"Off-cycle, in the library.",2024-03-17
recChoir000000000020,2026-01-15T10:00:00.000Z,Carol of the Bells,Mykola Leontovych,SATB,Advanced,false,"Off-cycle, in the library.",2024-04-21
recChoir000000000021,2026-01-15T10:00:00.000Z,What Child Is This,William Chatterton Dix,SATB,Intermediate,false,"Off-cycle, in the library.",2024-05-19
recChoir000000000022,2026-01-15T10:00:00.000Z,Amazing Grace,John Newton arr. Edwin Hawkins,SATB,Beginner,false,"Off-cycle, in the library.",2024-06-23
recChoir000000000023,2026-01-15T10:00:00.000Z,Blessed Assurance,Fanny Crosby,SATB,Beginner,false,"Off-cycle, in the library.",2024-07-21
recChoir000000000024,2026-01-15T10:00:00.000Z,How Firm a Foundation,John Rippon,SATB,Beginner,false,"Off-cycle, in the library.",2024-08-18
recChoir000000000025,2026-01-15T10:00:00.000Z,It Is Well with My Soul,Horatio Spafford,SATB,Intermediate,false,"Off-cycle, in the library.",2024-09-22
recChoir000000000026,2026-01-15T10:00:00.000Z,Great Is Thy Faithfulness,Thomas Chisholm,SATB,Beginner,false,"Off-cycle, in the library.",2024-10-20
recChoir000000000027,2026-01-15T10:00:00.000Z,Holy Holy Holy,Reginald Heber,SATB,Beginner,false,"Off-cycle, in the library.",2024-11-17
recChoir000000000028,2026-01-15T10:00:00.000Z,Come Thou Fount,Robert Robinson,SATB,Intermediate,false,"Off-cycle, in the library.",2024-12-22
recChoir000000000029,2026-01-15T10:00:00.000Z,In the Garden,C. Austin Miles,SATB,Beginner,false,"Off-cycle, in the library.",2025-01-26
recChoir000000000030,2026-01-15T10:00:00.000Z,Sweet Hour of Prayer,William W. Walford,SATB,Beginner,false,"Off-cycle, in the library.",2025-02-23
recChoir000000000031,2026-01-15T10:00:00.000Z,Just a Closer Walk with Thee,Spiritual,SATB,Intermediate,false,"Off-cycle, in the library.",2025-03-23
recChoir000000000032,2026-01-15T10:00:00.000Z,When the Saints Go Marching In,Spiritual,SATB,Beginner,false,"Off-cycle, in the library.",2025-04-20
recChoir000000000033,2026-01-15T10:00:00.000Z,Swing Low Sweet Chariot,Spiritual,SATB,Beginner,false,"Off-cycle, in the library.",2025-05-25
recChoir000000000034,2026-01-15T10:00:00.000Z,Deep River,Spiritual,SATB,Advanced,false,"Off-cycle, in the library.",2025-06-22
recChoir000000000035,2026-01-15T10:00:00.000Z,Go Down Moses,Spiritual,SATB,Intermediate,false,"Off-cycle, in the library.",2025-07-20
recChoir000000000036,2026-01-15T10:00:00.000Z,Ezekiel Saw the Wheel,Spiritual,SATB,Intermediate,false,"Off-cycle, in the library.",2025-08-24
recChoir000000000037,2026-01-15T10:00:00.000Z,Witness,Spiritual arr. Jack Halloran,SATB,Advanced,false,"Off-cycle, in the library.",2025-09-21
recChoir000000000038,2026-01-15T10:00:00.000Z,Soon-Ah Will Be Done,Spiritual arr. William L. Dawson,SATB,Advanced,false,"Off-cycle, in the library.",2025-10-19
