pipeline_id,pipeline_label,stage_id,stage_label,display_order,probability,closed
hubspot_pipeline_stages_1000,pipeline_label_0,hubspot_pipeline_stages_1000,stage_label_0,display_order_0,probability_0,closed_0
hubspot_pipeline_stages_1001,pipeline_label_1,hubspot_pipeline_stages_1001,stage_label_1,display_order_1,probability_1,closed_1
hubspot_pipeline_stages_1002,pipeline_label_2,hubspot_pipeline_stages_1002,stage_label_2,display_order_2,probability_2,closed_2
hubspot_pipeline_stages_1003,pipeline_label_3,hubspot_pipeline_stages_1003,stage_label_3,display_order_3,probability_3,closed_3
hubspot_pipeline_stages_1004,pipeline_label_4,hubspot_pipeline_stages_1004,stage_label_4,display_order_4,probability_4,closed_4
hubspot_pipeline_stages_1005,pipeline_label_5,hubspot_pipeline_stages_1005,stage_label_5,display_order_5,probability_5,closed_5
hubspot_pipeline_stages_1006,pipeline_label_6,hubspot_pipeline_stages_1006,stage_label_6,display_order_6,probability_6,closed_6
hubspot_pipeline_stages_1007,pipeline_label_7,hubspot_pipeline_stages_1007,stage_label_7,display_order_7,probability_7,closed_7
hubspot_pipeline_stages_1008,pipeline_label_8,hubspot_pipeline_stages_1008,stage_label_8,display_order_8,probability_8,closed_8
hubspot_pipeline_stages_1009,pipeline_label_9,hubspot_pipeline_stages_1009,stage_label_9,display_order_9,probability_9,closed_9
hubspot_pipeline_stages_1010,pipeline_label_10,hubspot_pipeline_stages_1010,stage_label_10,display_order_10,probability_10,closed_10
hubspot_pipeline_stages_1011,pipeline_label_11,hubspot_pipeline_stages_1011,stage_label_11,display_order_11,probability_11,closed_11
hubspot_pipeline_stages_1012,pipeline_label_12,hubspot_pipeline_stages_1012,stage_label_12,display_order_12,probability_12,closed_12
hubspot_pipeline_stages_1013,pipeline_label_13,hubspot_pipeline_stages_1013,stage_label_13,display_order_13,probability_13,closed_13
hubspot_pipeline_stages_1014,pipeline_label_14,hubspot_pipeline_stages_1014,stage_label_14,display_order_14,probability_14,closed_14
hubspot_pipeline_stages_1015,pipeline_label_15,hubspot_pipeline_stages_1015,stage_label_15,display_order_15,probability_15,closed_15
hubspot_pipeline_stages_1016,pipeline_label_16,hubspot_pipeline_stages_1016,stage_label_16,display_order_16,probability_16,closed_16
hubspot_pipeline_stages_1017,pipeline_label_17,hubspot_pipeline_stages_1017,stage_label_17,display_order_17,probability_17,closed_17
hubspot_pipeline_stages_1018,pipeline_label_18,hubspot_pipeline_stages_1018,stage_label_18,display_order_18,probability_18,closed_18
hubspot_pipeline_stages_1019,pipeline_label_19,hubspot_pipeline_stages_1019,stage_label_19,display_order_19,probability_19,closed_19
hubspot_pipeline_stages_1020,pipeline_label_20,hubspot_pipeline_stages_1020,stage_label_20,display_order_20,probability_20,closed_20
hubspot_pipeline_stages_1021,pipeline_label_21,hubspot_pipeline_stages_1021,stage_label_21,display_order_21,probability_21,closed_21
hubspot_pipeline_stages_1022,pipeline_label_22,hubspot_pipeline_stages_1022,stage_label_22,display_order_22,probability_22,closed_22
