year	disposition_result	defendant_count
2011		95
2011	BFW	60
2011	Case Dismissed	9
2011	Charge Rejected	9
2011	Charge Vacated	1
2011	Death Suggested-Cause Abated	73
2011	Finding Guilty	1110
2011	Finding Guilty - Lesser Included	12
2011	Finding Guilty But Mentally Ill	3
2011	Finding Not Not Guilty	55
2011	FNG	855
2011	FNG Reason Insanity	23
2011	FNPC	6270
2011	Mistrial Declared	21
2011	Nolle Pros - Aonic	1
2011	Nolle Prosecution	5718
2011	Plea Of Guilty	22714
2011	Plea of Guilty - Amended Charge	92
2011	Plea of Guilty - Lesser Included	16
2011	SOL	8
2011	Superseded by Indictment	28
2011	Verdict Guilty	242
2011	Verdict-Not Guilty	86
2011	Withdrawn	2
2011	WOWI	6
2012		87
2012	BFW	101
2012	Case Dismissed	13
2012	Charge Rejected	1
2012	Charge Vacated	2
2012	Death Suggested-Cause Abated	93
2012	Finding Guilty	1173
2012	Finding Guilty - Lesser Included	7
2012	Finding Guilty But Mentally Ill	5
2012	Finding Not Not Guilty	84
2012	FNG	969
2012	FNG Reason Insanity	17
2012	FNPC	5467
2012	Mistrial Declared	18
2012	Nolle Prosecution	7077
2012	Plea Of Guilty	25036
2012	Plea of Guilty - Amended Charge	55
2012	Plea of Guilty - Lesser Included	13
2012	Plea of Guilty But Mentally Ill	1
2012	SOL	7
2012	Superseded by Indictment	35
2012	Verdict Guilty	260
2012	Verdict Guilty - Lesser Included	1
2012	Verdict-Not Guilty	87
2012	WOWI	9
2013		13
2013	BFW	189
2013	Case Dismissed	14
2013	Charge Rejected	1
2013	Charge Vacated	5
2013	Death Suggested-Cause Abated	91
2013	Finding Guilty	1254
2013	Finding Guilty - Lesser Included	9
2013	Finding Guilty But Mentally Ill	2
2013	Finding Not Not Guilty	55
2013	FNG	1114
2013	FNG Reason Insanity	18
2013	FNPC	6411
2013	Mistrial Declared	5
2013	Nolle On Remand	1
2013	Nolle Prosecution	7503
2013	Plea Of Guilty	24661
2013	Plea of Guilty - Amended Charge	41
2013	Plea of Guilty - Lesser Included	9
2013	SOL	3
2013	SOLW	1
2013	Superseded by Indictment	40
2013	Verdict Guilty	243
2013	Verdict Guilty - Lesser Included	2
2013	Verdict-Not Guilty	122
2013	WOWI	14
2014		24
2014	BFW	110
2014	Case Dismissed	10
2014	Charge Rejected	2
2014	Charge Vacated	10
2014	Death Suggested-Cause Abated	106
2014	Finding Guilty	1367
2014	Finding Guilty - Amended Charge	3
2014	Finding Guilty - Lesser Included	7
2014	Finding Not Not Guilty	27
2014	FNG	1282
2014	FNG Reason Insanity	17
2014	FNPC	5471
2014	Mistrial Declared	1
2014	Nolle Prosecution	7001
2014	Plea Of Guilty	24918
2014	Plea of Guilty - Amended Charge	34
2014	Plea of Guilty But Mentally Ill	3
2014	SOL	6
2014	Superseded by Indictment	35
2014	TRAN-FAI	1
2014	Verdict Guilty	303
2014	Verdict-Not Guilty	90
2014	WOWI	10
2015		17
2015	BFW	82
2015	Case Dismissed	7
2015	Charge Rejected	1
2015	Charge Vacated	8
2015	Death Suggested-Cause Abated	119
2015	Finding Guilty	1452
2015	Finding Guilty - Lesser Included	2
2015	Finding Not Not Guilty	57
2015	FNG	1188
2015	FNG Reason Insanity	20
2015	FNPC	4379
2015	Mistrial Declared	4
2015	Nolle On Remand	2
2015	Nolle Prosecution	6094
2015	Plea Of Guilty	21961
2015	Plea of Guilty - Amended Charge	23
2015	Plea of Guilty - Lesser Included	1
2015	Sexually Dangerous Person	1
2015	SOL	5
2015	Superseded by Indictment	34
2015	Transferred - Misd Crt	19
2015	Verdict Guilty	237
2015	Verdict Guilty - Lesser Included	2
2015	Verdict-Not Guilty	93
2015	WOWI	7
2016		10
2016	BFW	131
2016	Case Dismissed	29
2016	Death Suggested-Cause Abated	186
2016	Finding Guilty	2256
2016	Finding Guilty - Amended Charge	8
2016	Finding Guilty - Lesser Included	5
2016	Finding Not Not Guilty	42
2016	FNG	973
2016	FNG Reason Insanity	7
2016	FNPC	2276
2016	Mistrial Declared	2
2016	Nolle On Remand	1
2016	Nolle Prosecution	5537
2016	Plea Of Guilty	19541
2016	Plea of Guilty - Amended Charge	38
2016	Plea of Guilty - Lesser Included	3
2016	Plea of Guilty But Mentally Ill	1
2016	Sexually Dangerous Person	1
2016	SOL	5
2016	SOLW	5
2016	Superseded by Indictment	29
2016	Transferred - Misd Crt	99
2016	Verdict Guilty	201
2016	Verdict-Not Guilty	90
2016	WOWI	11
