Bureau of Justice Statistics				
Filename: fdluc09t01				
Table 1. Felony defendants in the 75 largest counties, by most serious arrest charge, 2009				
Report title: Felony Defendants in Large Urban Counties, 2009 - Statistical Counties NCJ 243777				
Data source: Bureau of Justice Statistics, State Court Processing Statistics, 2009.				
Author: Brian Reaves				
Refer questions to: askbjs@usdoj.gov 202-307-0765				
Date of release: 12/20/13				
				
Table 1. Felony defendants in the 75 largest counties, by most serious arrest charge, 2009				
Most serious arrest charge		Number	 Percent	
	All offenses	55,902	100	%
Violent offenses		13,938	24.9	%
	Murder	374	0.7	
	Rape	584	1	
	Robbery	3,782	6.8	
	Assault	6,469	11.6	
	Other violent	2,728	4.9	
Property offenses		16,241	29.1	%
	Burglary	4,819	8.6	
	Larceny/theft	4,700	8.4	
	Motor vehicle theft	1,439	2.6	
	Forgery	1,458	2.6	
	Fraud	1,887	3.4	
	Other property	1,937	3.5	
Drug offenses		18,220	32.6	%
	Trafficking	8,287	14.8	
	Other drug	9,933	17.8	
Public-order offenses		7,504	13.4	%
	Weapons	2,052	3.7	
	Driving-related	2,324	4.2	
	Other public-order	3,128	5.6	
Note: Data for the specific arrest charge were available for 99.7% of all cases. Detail may not sum to total due to rounding.				
Source: Bureau of Justice Statistics, State Court Processing Statistics, 2009.				
