id,intent,status,amount_value,currency_code,payee_email,description,create_time
ORDER000000,CAPTURE,COMPLETED,12.50,CAD,shop@example.com,Order 0,2026-01-01T00:00:00Z
ORDER000001,CAPTURE,COMPLETED,12.50,CAD,shop@example.com,Order 1,2026-01-02T00:00:00Z
ORDER000002,CAPTURE,APPROVED,99.00,CAD,shop@example.com,Order 2,2026-01-03T00:00:00Z
ORDER000003,CAPTURE,CREATED,99.00,CAD,shop@example.com,Order 3,2026-01-04T00:00:00Z
ORDER000004,CAPTURE,APPROVED,49.99,CAD,shop@example.com,Order 4,2026-01-05T00:00:00Z
ORDER000005,CAPTURE,APPROVED,99.00,CAD,shop@example.com,Order 5,2026-01-06T00:00:00Z
ORDER000006,CAPTURE,COMPLETED,12.50,CAD,shop@example.com,Order 6,2026-01-07T00:00:00Z
ORDER000007,CAPTURE,CREATED,19.99,CAD,shop@example.com,Order 7,2026-01-08T00:00:00Z
ORDER000008,CAPTURE,COMPLETED,19.99,CAD,shop@example.com,Order 8,2026-01-09T00:00:00Z
ORDER000009,CAPTURE,COMPLETED,49.99,CAD,shop@example.com,Order 9,2026-01-10T00:00:00Z
ORDER000010,CAPTURE,COMPLETED,49.99,CAD,shop@example.com,Order 10,2026-01-11T00:00:00Z
ORDER000011,CAPTURE,CREATED,99.00,CAD,shop@example.com,Order 11,2026-01-12T00:00:00Z
ORDER000012,CAPTURE,APPROVED,12.50,CAD,shop@example.com,Order 12,2026-01-13T00:00:00Z
ORDER000013,CAPTURE,COMPLETED,99.00,CAD,shop@example.com,Order 13,2026-01-14T00:00:00Z
ORDER000014,CAPTURE,CREATED,99.00,CAD,shop@example.com,Order 14,2026-01-15T00:00:00Z
ORDER000015,CAPTURE,COMPLETED,19.99,CAD,shop@example.com,Order 15,2026-01-16T00:00:00Z
ORDER000016,CAPTURE,COMPLETED,12.50,CAD,shop@example.com,Order 16,2026-01-17T00:00:00Z
ORDER000017,CAPTURE,CREATED,99.00,CAD,shop@example.com,Order 17,2026-01-18T00:00:00Z
ORDER000018,CAPTURE,COMPLETED,99.00,CAD,shop@example.com,Order 18,2026-01-19T00:00:00Z
ORDER000019,CAPTURE,APPROVED,19.99,CAD,shop@example.com,Order 19,2026-01-20T00:00:00Z
ORDER000020,CAPTURE,COMPLETED,49.99,CAD,shop@example.com,Order 20,2026-01-21T00:00:00Z
ORDER000021,CAPTURE,APPROVED,99.00,CAD,shop@example.com,Order 21,2026-01-22T00:00:00Z
ORDER000022,CAPTURE,APPROVED,12.50,CAD,shop@example.com,Order 22,2026-01-23T00:00:00Z
ORDER000023,CAPTURE,CREATED,19.99,CAD,shop@example.com,Order 23,2026-01-24T00:00:00Z
ORDER000024,CAPTURE,COMPLETED,12.50,CAD,shop@example.com,Order 24,2026-01-25T00:00:00Z
ORDER000025,CAPTURE,COMPLETED,19.99,CAD,shop@example.com,Order 25,2026-01-26T00:00:00Z
ORDER000026,CAPTURE,APPROVED,49.99,CAD,shop@example.com,Order 26,2026-01-27T00:00:00Z
ORDER000027,CAPTURE,APPROVED,99.00,CAD,shop@example.com,Order 27,2026-01-28T00:00:00Z
ORDER000028,CAPTURE,APPROVED,49.99,CAD,shop@example.com,Order 28,2026-01-29T00:00:00Z
ORDER000029,CAPTURE,COMPLETED,99.00,CAD,shop@example.com,Order 29,2026-01-30T00:00:00Z
ORDER000030,CAPTURE,COMPLETED,12.50,CAD,shop@example.com,Order 30,2026-01-31T00:00:00Z
ORDER000031,CAPTURE,COMPLETED,12.50,CAD,shop@example.com,Order 31,2026-02-01T00:00:00Z
ORDER000032,CAPTURE,COMPLETED,99.00,CAD,shop@example.com,Order 32,2026-02-02T00:00:00Z
ORDER000033,CAPTURE,APPROVED,12.50,CAD,shop@example.com,Order 33,2026-02-03T00:00:00Z
ORDER000034,CAPTURE,CREATED,49.99,CAD,shop@example.com,Order 34,2026-02-04T00:00:00Z
ORDER000035,CAPTURE,APPROVED,19.99,CAD,shop@example.com,Order 35,2026-02-05T00:00:00Z
ORDER000036,CAPTURE,COMPLETED,49.99,CAD,shop@example.com,Order 36,2026-02-06T00:00:00Z
ORDER000037,CAPTURE,COMPLETED,12.50,CAD,shop@example.com,Order 37,2026-02-07T00:00:00Z
