id,title,parent_page_id,created_time,last_edited_time,created_by,icon,archived
db_787a4cd0-4879-4f04-97bf-a7361ac67820,Editorial calendar 2027,pg_06eb5b60-f989-43a8-8170-f13e8c030e7e,2026-12-27T08:17:39.052843+00:00,2026-12-20T07:35:27.934695+00:00,usr_30e70fcc-224c-48f3-8a69-17c270f11259,database,False
db_fff4633f-936c-43d9-a40e-9038b933b168,Sponsor pipeline 2027,pg_06eb5b60-f989-43a8-8170-f13e8c030e7e,2025-09-04T23:08:10.295011+00:00,2026-12-31T05:30:34.887368+00:00,usr_30e70fcc-224c-48f3-8a69-17c270f11259,database,False
db_5719dc98-fbf0-462e-b726-aeedbdb9b695,Subscriber ledger notes,pg_06eb5b60-f989-43a8-8170-f13e8c030e7e,2026-06-16T00:44:19.068800+00:00,2026-12-20T07:53:59.923042+00:00,usr_30e70fcc-224c-48f3-8a69-17c270f11259,database,False
db_6e8f1acb-af77-4bc1-9dd3-739dfd64c454,Reader support tickets mirror,pg_06eb5b60-f989-43a8-8170-f13e8c030e7e,2026-07-01T23:14:09.801019+00:00,2026-12-30T10:19:12.834212+00:00,usr_30e70fcc-224c-48f3-8a69-17c270f11259,database,False
db_0d70b94f-daac-411a-99cf-3692739416d5,House showings log,pg_d36d2be8-e8b2-4d65-8058-74463ad29f32,2025-08-31T06:28:28.119123+00:00,2026-12-22T17:36:03.313334+00:00,usr_30e70fcc-224c-48f3-8a69-17c270f11259,database,False
db_f0dfec8f-1023-4517-8521-451285a88b93,Mortgage doc tracker,pg_d36d2be8-e8b2-4d65-8058-74463ad29f32,2026-07-25T22:12:51.201965+00:00,2026-12-27T20:48:14.087943+00:00,usr_30e70fcc-224c-48f3-8a69-17c270f11259,database,False
db_7cc61dbe-3d01-4bbe-a9d4-5da5e33174c7,Baby registry mirror,pg_5516e863-1abc-4e8a-b489-2f69106bde8b,2025-08-30T02:54:40.557013+00:00,2026-12-24T07:19:45.412711+00:00,usr_30e70fcc-224c-48f3-8a69-17c270f11259,database,False
db_d5e90855-e479-451d-8ae0-e8681b75e105,Delivery day timeline,pg_5516e863-1abc-4e8a-b489-2f69106bde8b,2026-02-19T16:43:08.159259+00:00,2026-12-07T06:26:22.512577+00:00,usr_30e70fcc-224c-48f3-8a69-17c270f11259,database,False
db_356dd113-c893-4c34-a196-2816a18a52ea,OSCP machine log,pg_e9aa9a6f-e05f-423c-ad8e-edd602fb786a,2026-10-07T22:16:47.537651+00:00,2026-12-15T14:25:11.260084+00:00,usr_30e70fcc-224c-48f3-8a69-17c270f11259,database,False
db_21e35159-1e47-4eb0-b484-fd03d0a206cd,CISSP CPE credit log,pg_b6e92a41-ae58-4319-aef9-f90900aec7a2,2026-01-06T14:25:22.895089+00:00,2026-12-07T12:10:42.974879+00:00,usr_30e70fcc-224c-48f3-8a69-17c270f11259,database,False
