order_id,date,vendor,item,quantity,unit,unit_price_jpy,total_jpy,status
MO-0001,2022-06-03,Osaka_Ceramic_Supply,Silica_325_25kg,6,bag,3084,18504,received
MO-0002,2022-06-30,Osaka_Ceramic_Supply,Rutile_5kg,4,bag,4396,17584,received
MO-0003,2022-07-07,Osaka_Ceramic_Supply,Custer_feldspar_25kg,5,bag,7187,35935,received
MO-0004,2022-07-13,farm_gate_purchase,Silica_325_25kg,2,bag,3144,6288,received
MO-0005,2022-07-18,Kansai_Clay_Kobo,pine_slab_offcut_cord,6,cord,14250,85500,received
MO-0006,2022-07-22,Miyazaki_Materials,Whiting_25kg,4,bag,2152,8608,in_transit
MO-0007,2022-08-04,Shigaraki_wood_yard,Silica_325_25kg,5,bag,3596,17980,cancelled
MO-0008,2022-08-07,Miyazaki_Materials,Silica_325_25kg,5,bag,3381,16905,cancelled
MO-0009,2022-08-08,Fukui_mill_offcut,Red_iron_oxide_5kg,6,bag,3872,23232,backordered
MO-0010,2022-08-11,Shigaraki_Tojo_Kaikan,hydrometer_replacement,3,each,5899,17697,cancelled
MO-0011,2022-08-13,farm_gate_purchase,Grolleg_kaolin_25kg,3,bag,8343,25029,received
MO-0012,2022-08-26,Shigaraki_Tojo_Kaikan,oak_kama_taki_cord,5,cord,25602,128010,backordered
MO-0013,2022-09-09,Miyazaki_Materials,hydrometer_replacement,6,each,6203,37218,in_transit
MO-0014,2022-09-23,Shigaraki_wood_yard,chestnut_stack_cord,1,cord,21869,21869,backordered
MO-0015,2022-09-26,Osaka_Ceramic_Supply,oak_kama_taki_cord,1,cord,26356,26356,received
MO-0016,2022-10-01,Kyoto_Tokei_Ceramics,Custer_feldspar_25kg,2,bag,6469,12938,cancelled
MO-0017,2022-11-02,farm_gate_purchase,kiln_shelves_pair,1,each,12866,12866,in_transit
MO-0018,2022-11-12,Miyazaki_Materials,pine_slab_offcut_cord,5,cord,13670,68350,received
MO-0019,2022-12-10,Osaka_Ceramic_Supply,Whiting_25kg,3,bag,2493,7479,received
MO-0020,2022-12-19,Miyazaki_Materials,oak_kama_taki_cord,3,cord,25754,77262,received
MO-0021,2023-01-03,Shigaraki_wood_yard,Custer_feldspar_25kg,6,bag,6450,38700,received
MO-0022,2023-01-20,Shigaraki_wood_yard,hydrometer_replacement,2,each,6295,12590,backordered
MO-0023,2023-01-24,farm_gate_purchase,kiln_shelves_pair,1,each,12572,12572,cancelled
MO-0024,2023-02-04,Shigaraki_wood_yard,kiln_posts_set,4,each,3572,14288,received
MO-0025,2023-02-05,Miyazaki_Materials,pyrometric_cones_10_box,5,each,4145,20725,backordered
MO-0026,2023-04-15,farm_gate_purchase,kiln_posts_set,1,each,3253,3253,received
MO-0027,2023-04-22,Shigaraki_wood_yard,pyrometric_cones_10_box,1,each,3786,3786,received
MO-0028,2023-04-26,Kyoto_Tokei_Ceramics,wooden_ribs_set,1,each,3030,3030,received
MO-0029,2023-05-22,Kansai_Clay_Kobo,Shigaraki_coarse_clay_20kg,5,bag,3504,17520,cancelled
MO-0030,2023-06-04,Shigaraki_wood_yard,thermocouple_probe,4,each,15227,60908,in_transit
MO-0031,2023-06-13,farm_gate_purchase,wooden_ribs_set,3,each,2760,8280,in_transit
MO-0032,2023-07-21,farm_gate_purchase,hydrometer_replacement,2,each,6435,12870,in_transit
MO-0033,2023-07-28,Miyazaki_Materials,Shigaraki_coarse_clay_20kg,1,bag,3612,3612,received
MO-0034,2023-07-30,Osaka_Ceramic_Supply,kiln_shelves_pair,4,each,13082,52328,backordered
MO-0035,2023-08-04,Shigaraki_Tojo_Kaikan,Grolleg_kaolin_25kg,5,bag,8513,42565,backordered
MO-0036,2023-11-13,Kyoto_Tokei_Ceramics,pine_slab_offcut_cord,3,cord,13660,40980,received
MO-0037,2023-11-21,Miyazaki_Materials,Shigaraki_coarse_clay_20kg,3,bag,3612,10836,backordered
MO-0038,2023-11-28,Fukui_mill_offcut,Shigaraki_fine_clay_20kg,5,bag,3738,18690,in_transit
MO-0039,2023-11-29,Kyoto_Tokei_Ceramics,wooden_ribs_set,4,each,3128,12512,backordered
MO-0040,2023-12-19,Kyoto_Tokei_Ceramics,Custer_feldspar_25kg,2,bag,6987,13974,cancelled
MO-0041,2023-12-19,Shigaraki_wood_yard,trimming_tools_set,1,each,3980,3980,in_transit
MO-0042,2023-12-23,Shigaraki_wood_yard,chestnut_stack_cord,2,cord,22222,44444,received
MO-0043,2023-12-25,Shigaraki_Tojo_Kaikan,pine_slab_offcut_cord,6,cord,13879,83274,backordered
MO-0044,2023-12-25,Osaka_Ceramic_Supply,Custer_feldspar_25kg,6,bag,6842,41052,received
MO-0045,2024-01-01,Shigaraki_wood_yard,pine_slab_offcut_cord,2,cord,13705,27410,in_transit
MO-0046,2024-03-10,Fukui_mill_offcut,Shigaraki_fine_clay_20kg,5,bag,4340,21700,cancelled
MO-0047,2024-03-28,Miyazaki_Materials,Cobalt_carbonate_1kg,1,bag,9415,9415,received
MO-0048,2024-04-03,Osaka_Ceramic_Supply,hydrometer_replacement,6,each,6320,37920,received
MO-0049,2024-04-13,Kansai_Clay_Kobo,Kyoto_porcelain_15kg,3,bag,5038,15114,received
MO-0050,2024-04-16,Osaka_Ceramic_Supply,thermocouple_probe,5,each,15516,77580,received
MO-0051,2024-04-20,Shigaraki_Tojo_Kaikan,kiln_posts_set,6,each,3579,21474,backordered
MO-0052,2024-04-21,Miyazaki_Materials,kiln_posts_set,6,each,3174,19044,received
MO-0053,2024-04-25,Osaka_Ceramic_Supply,trimming_tools_set,3,each,4472,13416,in_transit
MO-0054,2024-05-10,Miyazaki_Materials,Whiting_25kg,2,bag,2101,4202,received
MO-0055,2024-05-11,farm_gate_purchase,Red_iron_oxide_5kg,3,bag,3617,10851,received
MO-0056,2024-05-18,Osaka_Ceramic_Supply,Rutile_5kg,5,bag,4095,20475,backordered
MO-0057,2024-05-26,Kansai_Clay_Kobo,chestnut_stack_cord,2,cord,21955,43910,received
MO-0058,2024-06-05,Kyoto_Tokei_Ceramics,trimming_tools_set,3,each,4063,12189,received
MO-0059,2024-06-09,Osaka_Ceramic_Supply,oak_kama_taki_cord,1,cord,26026,26026,backordered
MO-0060,2024-06-11,Shigaraki_Tojo_Kaikan,Grolleg_kaolin_25kg,3,bag,8145,24435,cancelled
MO-0061,2024-06-15,farm_gate_purchase,Silica_325_25kg,2,bag,3571,7142,cancelled
MO-0062,2024-06-30,Kansai_Clay_Kobo,pyrometric_cones_10_box,3,each,4025,12075,received
MO-0063,2024-07-02,Kansai_Clay_Kobo,Whiting_25kg,5,bag,2574,12870,received
