firing_id,date,kiln_type,cone_target,cone_reached,reduction_hold_hours,atmosphere_notes,pieces_loaded,pieces_sound,pieces_lost,wood_source,notes
KL-0001,2022-03-15,electric_bisque,8,8,0.0,bisque_oxidation,55,53,2,,"damper adjustment worked, will note ratio"
KL-0002,2022-03-26,gas_reduction,10,10,3.4,cone_10_reduction,45,42,3,,"clean climb, no pinholing on test tiles"
KL-0003,2022-04-12,gas_reduction,10,10,2.5,cone_10_reduction,25,23,2,,"steady reduction, iron reds pulled well"
KL-0004,2022-04-13,anagama,12,12,34.7,clean_ash_deposit,36,32,4,mixed_hardwood,"cold spot near door, watch stacking next round"
KL-0005,2022-04-16,electric_bisque,8,8,0.0,bisque_oxidation,28,26,2,,"clean firing, keep this schedule"
KL-0006,2022-04-23,electric_bisque,8,8,0.0,bisque_oxidation,14,13,1,,"slow climb after cone eight, added propane"
KL-0007,2022-05-19,gas_reduction,10,10,3.1,cone_10_reduction,53,53,0,,"cold spot near door, watch stacking next round"
KL-0008,2022-05-20,electric_bisque,8,8,0.0,bisque_oxidation,49,48,1,,"wood was drier than expected, hot early"
KL-0009,2022-05-23,anagama,12,12,28.5,clean_ash_deposit,27,23,4,oak_kama_taki,"steady reduction, iron reds pulled well"
KL-0010,2022-05-29,gas_reduction,10,10,0.7,cone_10_reduction,58,57,1,,"cold spot near door, watch stacking next round"
KL-0011,2022-06-02,gas_reduction,10,10,1.3,cone_10_reduction,11,11,0,,"clean climb, no pinholing on test tiles"
KL-0012,2022-06-09,gas_reduction,10,10,0.7,body_reduction_only,48,44,4,,"wood was drier than expected, hot early"
KL-0013,2022-07-03,electric_bisque,8,7,0.0,bisque_oxidation,55,53,2,,"hairline on one large jar, everything else sound"
KL-0014,2022-07-04,electric_bisque,8,8,0.0,bisque_oxidation,41,38,3,,"wood was drier than expected, hot early"
KL-0015,2022-07-05,gas_reduction,10,10,2.4,cone_10_reduction,19,18,1,,kiln stalled around cone nine for an hour
KL-0016,2022-07-21,gas_reduction,10,10,2.9,body_reduction_only,59,56,3,,kiln stalled around cone nine for an hour
KL-0017,2022-08-08,gas_reduction,10,10,2.8,body_reduction_only,14,13,1,,"slow climb after cone eight, added propane"
KL-0018,2022-08-09,gas_reduction,10,10,3.3,cone_10_reduction,40,40,0,,"clean firing, keep this schedule"
KL-0019,2022-08-18,gas_reduction,10,9,2.4,cone_10_reduction,39,36,3,,"steady reduction, iron reds pulled well"
KL-0020,2022-10-05,electric_bisque,8,8,0.0,bisque_oxidation,26,25,1,,"slow climb after cone eight, added propane"
KL-0021,2022-10-15,anagama,12,13,37.2,reduction_cooling,28,23,5,cedar_offcut,"clean climb, no pinholing on test tiles"
KL-0022,2022-12-02,gas_reduction,10,10,0.9,cone_10_reduction,48,44,4,,ash deposit uneven on the flame side
KL-0023,2022-12-04,gas_reduction,10,10,1.8,light_reduction,43,41,2,,"wood was drier than expected, hot early"
KL-0024,2022-12-07,electric_bisque,8,8,0.0,bisque_oxidation,51,49,2,,"damper adjustment worked, will note ratio"
KL-0025,2023-01-16,electric_bisque,8,8,0.0,bisque_oxidation,21,21,0,,"cold spot near door, watch stacking next round"
KL-0026,2023-01-18,gas_reduction,10,10,2.1,cone_10_reduction,27,25,2,,"clean climb, no pinholing on test tiles"
KL-0027,2023-01-27,gas_reduction,10,10,2.7,cone_10_reduction,60,58,2,,ash deposit uneven on the flame side
KL-0028,2023-02-11,electric_bisque,8,8,0.0,bisque_oxidation,43,43,0,,kiln stalled around cone nine for an hour
KL-0029,2023-02-14,electric_bisque,8,8,0.0,bisque_oxidation,54,52,2,,"slow climb after cone eight, added propane"
KL-0030,2023-02-26,electric_bisque,8,8,0.0,bisque_oxidation,21,21,0,,"wood was drier than expected, hot early"
KL-0031,2023-03-01,gas_reduction,10,10,2.7,light_reduction,41,39,2,,"steady reduction, iron reds pulled well"
KL-0032,2023-03-07,gas_reduction,10,9,2.8,cone_10_reduction,19,18,1,,"slow climb after cone eight, added propane"
KL-0033,2023-03-19,gas_reduction,10,10,3.2,cone_10_reduction,12,12,0,,"clean climb, no pinholing on test tiles"
KL-0034,2023-03-30,electric_bisque,8,8,0.0,bisque_oxidation,15,14,1,,"hairline on one large jar, everything else sound"
KL-0035,2023-04-02,anagama,12,12,26.3,reduction_cooling,27,25,2,pine_slab_shipped,"wood was drier than expected, hot early"
KL-0036,2023-05-15,anagama,12,12,55.9,reduction_cooling,37,34,3,pine_slab_shipped,"cold spot near door, watch stacking next round"
KL-0037,2023-06-12,gas_reduction,10,10,3.0,cone_10_reduction,12,12,0,,"reduction went a touch heavy, celadon carbon-trapped"
KL-0038,2023-07-25,gas_reduction,10,9,2.6,cone_10_reduction,29,29,0,,ash deposit uneven on the flame side
KL-0039,2023-08-05,gas_reduction,10,9,2.9,cone_10_reduction,37,34,3,,"hairline on one large jar, everything else sound"
KL-0040,2023-09-10,electric_bisque,8,8,0.0,bisque_oxidation,37,35,2,,"slow climb after cone eight, added propane"
KL-0041,2023-10-25,gas_reduction,10,10,3.3,light_reduction,48,44,4,,"slow climb after cone eight, added propane"
KL-0042,2023-10-26,electric_bisque,8,8,0.0,bisque_oxidation,55,51,4,,"wood was drier than expected, hot early"
KL-0043,2023-10-29,gas_reduction,10,11,3.5,cone_10_reduction,28,27,1,,"front row over-fired slightly, back row good"
KL-0044,2023-11-01,gas_reduction,10,10,2.5,body_reduction_only,23,23,0,,"clean climb, no pinholing on test tiles"
KL-0045,2023-11-17,gas_reduction,10,10,2.8,cone_10_reduction,30,29,1,,ash deposit uneven on the flame side
KL-0046,2023-11-24,gas_reduction,10,11,3.2,cone_10_reduction,12,11,1,,"hairline on one large jar, everything else sound"
KL-0047,2023-11-27,electric_bisque,8,8,0.0,bisque_oxidation,47,46,1,,"cold spot near door, watch stacking next round"
KL-0048,2024-01-09,electric_bisque,8,8,0.0,bisque_oxidation,19,19,0,,"reduction went a touch heavy, celadon carbon-trapped"
KL-0049,2024-01-25,electric_bisque,8,8,0.0,bisque_oxidation,52,48,4,,"reduction went a touch heavy, celadon carbon-trapped"
KL-0050,2024-01-28,electric_bisque,8,8,0.0,bisque_oxidation,51,50,1,,"steady reduction, iron reds pulled well"
KL-0051,2024-02-16,electric_bisque,8,8,0.0,bisque_oxidation,12,11,1,,"steady reduction, iron reds pulled well"
KL-0052,2024-02-24,gas_reduction,10,9,3.2,cone_10_reduction,50,47,3,,"hairline on one large jar, everything else sound"
KL-0053,2024-03-03,gas_reduction,10,10,2.5,cone_10_reduction,53,49,4,,kiln stalled around cone nine for an hour
KL-0054,2024-03-09,gas_reduction,10,10,2.7,cone_10_reduction,15,15,0,,"slow climb after cone eight, added propane"
KL-0055,2024-03-11,electric_bisque,8,8,0.0,bisque_oxidation,19,19,0,,"cold spot near door, watch stacking next round"
KL-0056,2024-03-27,gas_reduction,10,10,2.7,light_reduction,27,27,0,,"front row over-fired slightly, back row good"
KL-0057,2024-04-03,electric_bisque,8,8,0.0,bisque_oxidation,46,46,0,,"clean firing, keep this schedule"
KL-0058,2024-04-16,gas_reduction,10,10,2.7,body_reduction_only,31,30,1,,"hairline on one large jar, everything else sound"
KL-0059,2024-04-19,electric_bisque,8,8,0.0,bisque_oxidation,20,19,1,,"reduction went a touch heavy, celadon carbon-trapped"
KL-0060,2024-05-01,electric_bisque,8,8,0.0,bisque_oxidation,34,32,2,,"clean climb, no pinholing on test tiles"
KL-0061,2024-05-07,gas_reduction,10,10,1.9,cone_10_reduction,26,25,1,,"reduction went a touch heavy, celadon carbon-trapped"
KL-0062,2024-05-23,electric_bisque,8,7,0.0,bisque_oxidation,54,54,0,,"hairline on one large jar, everything else sound"
KL-0063,2024-06-11,gas_reduction,10,9,0.6,body_reduction_only,19,19,0,,"front row over-fired slightly, back row good"
KL-0064,2024-07-19,gas_reduction,10,10,1.9,light_reduction,32,32,0,,"steady reduction, iron reds pulled well"
KL-0065,2024-08-01,gas_reduction,10,10,1.7,cone_10_reduction,35,33,2,,"cold spot near door, watch stacking next round"
KL-0066,2024-08-10,gas_reduction,10,10,1.7,cone_10_reduction,41,39,2,,"reduction went a touch heavy, celadon carbon-trapped"
