vendor,item_category,item,unit,price_jpy,lead_time_days,last_updated
Kyoto_Tokei_Ceramics,clay,Shigaraki_coarse_20kg,bag,3800,7,2026-08-21
Kyoto_Tokei_Ceramics,clay,Shigaraki_fine_20kg,bag,4100,7,2026-07-27
Kyoto_Tokei_Ceramics,clay,Kyoto_porcelain_15kg,bag,5200,7,2026-08-22
Kyoto_Tokei_Ceramics,clay,Iga_grog_20kg,bag,4400,10,2026-08-09
Kyoto_Tokei_Ceramics,clay,White_stoneware_20kg,bag,3600,7,2026-07-18
Kyoto_Tokei_Ceramics,clay,Black_stoneware_20kg,bag,4200,7,2026-08-16
Kyoto_Tokei_Ceramics,glaze,Custer_feldspar_25kg,bag,6800,14,2026-07-08
Kyoto_Tokei_Ceramics,glaze,Nepheline_syenite_25kg,bag,7200,14,2026-07-10
Kyoto_Tokei_Ceramics,glaze,Grolleg_kaolin_25kg,bag,8400,21,2026-07-25
Kyoto_Tokei_Ceramics,glaze,EPK_kaolin_25kg,bag,7800,21,2026-07-08
Kyoto_Tokei_Ceramics,glaze,Silica_325_mesh_25kg,bag,3200,10,2026-07-19
Kyoto_Tokei_Ceramics,glaze,Whiting_25kg,bag,2400,10,2026-07-18
Kyoto_Tokei_Ceramics,glaze,Talc_25kg,bag,2800,10,2026-07-12
Kyoto_Tokei_Ceramics,glaze,Wollastonite_25kg,bag,3600,14,2026-07-07
Kyoto_Tokei_Ceramics,oxide,Red_iron_oxide_5kg,bag,3600,7,2026-08-30
Kyoto_Tokei_Ceramics,oxide,Black_iron_oxide_5kg,bag,4200,7,2026-07-31
Kyoto_Tokei_Ceramics,oxide,Rutile_5kg,bag,4200,14,2026-08-17
Kyoto_Tokei_Ceramics,oxide,Copper_carbonate_1kg,bag,5800,14,2026-07-08
Kyoto_Tokei_Ceramics,oxide,Cobalt_carbonate_1kg,bag,9800,14,2026-07-16
Kyoto_Tokei_Ceramics,oxide,Manganese_dioxide_1kg,bag,3800,14,2026-08-24
Kyoto_Tokei_Ceramics,oxide,Tin_oxide_1kg,bag,8800,14,2026-07-06
Kyoto_Tokei_Ceramics,oxide,Zinc_oxide_1kg,bag,2600,14,2026-07-14
