invoice_id,date,client,description,amount_eur,status,due_date
MF-2025-001,2024-01-21,Galerie_Terre_Paris,consignment settlement,1160,sent,2024-02-20
MF-2025-002,2024-04-03,Galerie_Terre_Paris,commission fee installment,640,draft,2024-05-03
MF-2025-003,2024-04-08,private_collector_brussels,consignment settlement,1920,paid,2024-05-08
MF-2025-004,2024-06-09,Galerie_Terre_Paris,consignment settlement,8600,overdue,2024-07-09
MF-2025-005,2024-07-12,Galerie_Terre_Paris,materials allowance draw,8600,sent,2024-08-11
MF-2025-006,2024-07-15,Galerie_Terre_Paris,commission fee installment,860,sent,2024-08-14
MF-2025-007,2024-09-17,private_collector_brussels,consignment settlement adjusted,10560,draft,2024-10-17
MF-2025-008,2024-09-20,Galerie_Terre_Paris,commission fee installment,860,draft,2024-10-20
MF-2025-009,2024-11-16,private_collector_paris,shipping reimbursement,860,sent,2024-12-16
MF-2025-010,2024-12-03,Galerie_Terre_Paris,commission fee installment,2400,sent,2025-01-02
MF-2025-011,2024-12-12,private_collector_berlin,commission fee installment,10560,draft,2025-01-11
MF-2025-012,2025-01-16,private_collector_brussels,commission fee installment,1920,draft,2025-02-15
MF-2025-013,2025-01-27,private_collector_brussels,shipping reimbursement,10560,paid,2025-02-26
MF-2025-014,2025-02-02,Galerie_Terre_Paris,consignment settlement adjusted,1440,paid,2025-03-04
MF-2025-015,2025-02-08,private_collector_paris,consignment settlement,1680,paid,2025-03-10
MF-2025-016,2025-02-20,Galerie_Terre_Paris,private sale,860,paid,2025-03-22
MF-2025-017,2025-03-10,private_collector_berlin,consignment settlement,1920,sent,2025-04-09
MF-2025-018,2025-04-03,private_collector_brussels,materials allowance draw,1440,paid,2025-05-03
MF-2025-019,2025-05-28,private_collector_paris,private sale,1680,sent,2025-06-27
MF-2025-020,2025-06-03,Galerie_Terre_Paris,commission deposit,3200,overdue,2025-07-03
MF-2025-021,2025-06-12,Galerie_Terre_Paris,commission deposit,640,draft,2025-07-12
MF-2025-022,2025-06-25,private_collector_berlin,consignment settlement,640,overdue,2025-07-25
MF-2025-023,2025-06-29,Galerie_Terre_Paris,materials allowance draw,2400,sent,2025-07-29
MF-2025-024,2025-07-29,private_collector_berlin,commission deposit,640,sent,2025-08-28
MF-2025-025,2025-08-04,Galerie_Terre_Paris,shipping reimbursement,2400,overdue,2025-09-03
MF-2025-026,2025-09-15,private_collector_paris,shipping reimbursement,3200,paid,2025-10-15
MF-2025-027,2025-09-22,Galerie_Terre_Paris,shipping reimbursement,2400,paid,2025-10-22
MF-2025-028,2025-11-18,private_collector_berlin,private sale,1160,paid,2025-12-18
MF-2025-029,2025-11-30,Galerie_Terre_Paris,shipping reimbursement,1680,paid,2025-12-30
MF-2025-030,2025-12-14,Galerie_Terre_Paris,private sale,1160,paid,2026-01-13
MF-2026-031,2026-01-05,Galerie_Terre_Paris,consignment settlement adjusted,8600,paid,2026-02-04
MF-2026-032,2026-01-09,Galerie_Terre_Paris,consignment settlement adjusted,1160,paid,2026-02-08
MF-2026-033,2026-01-23,private_collector_berlin,consignment settlement,3200,draft,2026-02-22
MF-2026-034,2026-01-23,Galerie_Terre_Paris,private sale,420,sent,2026-02-22
MF-2026-035,2026-02-04,private_collector_paris,commission deposit,1440,draft,2026-03-06
MF-2026-036,2026-02-18,Galerie_Terre_Paris,private sale,1680,sent,2026-03-20
MF-2026-037,2026-02-21,private_collector_brussels,private sale,1160,draft,2026-03-23
MF-2026-038,2026-02-22,Galerie_Terre_Paris,commission deposit,1160,sent,2026-03-24
MF-2026-039,2026-03-15,Galerie_Terre_Paris,private sale,860,overdue,2026-04-14
MF-2026-040,2026-04-17,Galerie_Terre_Paris,consignment settlement adjusted,1920,paid,2026-05-17
MF-2026-041,2026-04-30,private_collector_brussels,materials allowance draw,8600,paid,2026-05-30
MF-2026-042,2026-05-12,Galerie_Terre_Paris,commission fee installment,1440,sent,2026-06-11
MF-2026-043,2026-07-01,private_collector_brussels,consignment settlement adjusted,4800,sent,2026-07-31
MF-2026-044,2026-08-04,Galerie_Terre_Paris,commission deposit,3200,overdue,2026-09-03
MF-2026-045,2026-09-12,Galerie_Terre_Paris,commission fee installment,1160,paid,2026-10-12
