subscriber_id,tag_kyoto_kansai,tag_tokyo_travel_in,tag_paris_european,tag_north_america,tag_warm_but_quiet,tag_repeat_buyer,tag_open_studio_last_spring,last_engagement_date
MC-0001,1,0,0,0,0,0,0,2026-06-02
MC-0002,0,1,0,0,0,0,0,2026-09-11
MC-0003,0,0,0,0,1,0,1,2019-08-02
MC-0004,1,0,0,0,0,1,1,2026-09-11
MC-0005,0,0,0,0,1,0,0,2023-02-22
MC-0006,1,0,0,0,0,0,1,2026-09-05
MC-0007,0,0,0,0,1,0,0,2019-09-27
MC-0008,0,1,0,0,0,1,0,2026-08-21
MC-0009,0,0,0,0,1,0,0,2023-05-08
MC-0010,0,0,0,0,1,1,1,2025-02-05
MC-0011,0,0,0,0,1,1,0,2024-06-21
MC-0012,1,0,0,0,0,0,1,2026-08-22
MC-0013,1,0,0,0,0,0,0,2026-08-16
MC-0014,0,1,0,0,0,1,0,2026-09-04
MC-0015,0,1,0,0,0,1,1,2026-08-22
MC-0016,0,0,0,0,1,0,1,2024-02-23
MC-0017,0,0,0,0,1,1,1,2025-02-18
MC-0018,1,0,0,0,0,0,1,2026-08-23
MC-0019,0,0,0,0,1,1,0,2024-04-29
MC-0020,1,0,0,0,0,0,1,2024-07-20
MC-0021,1,0,0,0,0,0,0,2026-09-12
MC-0022,0,0,0,0,1,0,0,2022-09-07
MC-0023,0,0,0,0,1,0,0,2020-02-23
MC-0024,0,0,0,0,1,1,1,2019-07-02
MC-0025,0,0,0,0,1,1,1,2022-04-05
MC-0026,0,0,0,0,1,0,0,2025-07-22
MC-0027,0,1,0,0,0,0,1,2026-09-04
MC-0028,1,0,0,0,0,0,0,2024-07-19
MC-0029,1,0,0,0,0,1,1,2025-02-05
MC-0030,0,1,0,0,0,0,0,2026-07-08
MC-0031,1,0,0,0,0,0,1,2026-08-30
MC-0032,0,1,0,0,0,0,0,2026-09-13
MC-0033,0,1,0,0,0,0,0,2026-08-29
MC-0034,0,1,0,0,0,0,1,2026-04-11
MC-0035,0,1,0,0,0,0,1,2025-07-01
MC-0036,1,0,0,0,0,0,0,2026-08-30
MC-0037,0,0,0,0,1,0,0,2025-06-23
MC-0038,0,1,0,0,0,0,0,2026-08-22
MC-0039,0,1,0,0,0,0,1,2024-08-18
MC-0040,0,0,0,0,1,0,0,2025-03-09
MC-0041,0,1,0,0,0,0,0,2026-08-25
MC-0042,0,0,0,0,1,0,1,2024-12-04
MC-0043,0,0,0,0,1,0,1,2025-01-30
MC-0044,0,0,0,0,1,0,0,2023-09-07
MC-0045,0,0,0,0,1,1,0,2023-03-06
MC-0046,1,0,0,0,0,0,0,2023-11-12
MC-0047,1,0,0,0,0,0,0,2026-09-03
MC-0048,0,0,0,0,1,0,0,2020-09-17
MC-0049,0,0,0,0,1,1,0,2022-09-30
MC-0050,0,1,0,0,0,0,0,2026-08-31
MC-0051,0,0,0,0,1,1,1,2019-12-31
MC-0052,0,1,0,0,0,0,1,2026-09-05
MC-0053,0,1,0,0,0,1,0,2026-08-28
MC-0054,0,1,0,0,0,1,1,2025-12-04
MC-0055,0,0,0,0,1,1,1,2019-12-12
MC-0056,0,0,0,0,1,0,0,2023-05-15
MC-0057,0,0,0,0,1,0,1,2022-07-12
MC-0058,0,1,0,0,0,0,1,2026-03-20
MC-0059,0,0,0,0,1,0,0,2024-06-14
MC-0060,0,1,0,0,0,0,0,2023-10-30
MC-0061,0,1,0,0,0,1,0,2026-09-10
MC-0062,0,1,0,0,0,0,0,2024-08-13
MC-0063,1,0,0,0,0,1,1,2026-09-04
MC-0064,0,1,0,0,0,0,0,2024-09-04
MC-0065,0,1,0,0,0,0,0,2026-09-13
MC-0066,0,0,0,0,1,1,0,2025-06-08
MC-0067,0,0,0,0,1,0,0,2021-02-20
MC-0068,0,0,0,0,1,1,1,2023-06-21
MC-0069,0,0,0,0,1,1,1,2022-03-01
MC-0070,0,1,0,0,0,0,0,2026-08-29
MC-0071,0,0,0,0,1,0,0,2022-03-04
MC-0072,0,0,0,0,1,1,0,2023-12-20
MC-0073,0,0,0,0,1,1,0,2023-03-23
MC-0074,0,1,0,0,0,1,0,2026-09-10
MC-0075,0,0,0,0,1,1,0,2021-04-28
MC-0076,0,1,0,0,0,0,0,2025-04-07
MC-0077,1,0,0,0,0,1,1,2026-09-15
MC-0078,0,0,0,0,1,1,0,2023-08-24
MC-0079,1,0,0,0,0,1,0,2025-07-21
MC-0080,1,0,0,0,0,0,1,2026-08-30
MC-0081,0,0,0,0,1,0,0,2025-06-22
MC-0082,0,1,0,0,0,1,0,2026-09-14
MC-0083,0,1,0,0,0,1,0,2026-09-09
MC-0084,0,0,0,0,1,0,0,2023-07-30
MC-0085,0,0,0,0,1,0,0,2025-02-24
MC-0086,1,0,0,0,0,1,0,2026-09-04
MC-0087,0,0,0,0,1,1,0,2023-05-14
MC-0088,0,1,0,0,0,1,0,2026-09-10
MC-0089,0,1,0,0,0,0,0,2026-08-30
MC-0090,0,0,0,0,1,1,0,2024-04-20
MC-0091,0,1,0,0,0,1,0,2026-09-06
MC-0092,0,1,0,0,0,0,1,2026-08-17
MC-0093,0,1,0,0,0,0,0,2026-08-18
MC-0094,0,0,0,0,1,1,1,2022-08-14
MC-0095,1,0,0,0,0,1,0,2026-09-03
MC-0096,0,0,0,0,1,0,0,2023-11-25
MC-0097,0,0,0,0,1,0,0,2023-08-20
MC-0098,0,1,0,0,0,0,1,2024-03-30
MC-0099,1,0,0,0,0,1,0,2026-08-24
MC-0100,0,1,0,0,0,1,0,2026-09-02
MC-0101,0,0,0,0,1,0,0,2024-12-08
MC-0102,0,0,0,0,1,0,1,2023-05-13
MC-0103,0,1,0,0,0,0,0,2026-08-27
MC-0104,0,0,0,0,1,1,1,2024-04-18
MC-0105,0,1,0,0,0,1,0,2026-08-22
MC-0106,0,1,0,0,0,1,0,2025-03-08
MC-0107,0,0,0,0,1,0,0,2022-07-24
MC-0108,1,0,0,0,0,0,0,2026-09-09
MC-0109,1,0,0,0,0,0,0,2024-04-28
MC-0110,0,0,0,0,1,0,1,2024-01-24
MC-0111,0,0,0,0,1,0,1,2023-02-05
MC-0112,0,1,0,0,0,0,0,2026-09-15
MC-0113,0,1,0,0,0,0,0,2025-02-08
MC-0114,0,0,0,0,1,1,1,2019-10-25
MC-0115,0,0,0,0,1,1,0,2025-05-14
MC-0116,0,0,0,0,1,1,0,2022-07-20
MC-0117,0,1,0,0,0,0,1,2026-08-19
MC-0118,0,1,0,0,0,0,1,2026-08-21
MC-0119,0,1,0,0,0,1,0,2025-01-11
MC-0120,0,1,0,0,0,1,0,2023-10-12
MC-0121,0,0,0,0,1,1,0,2025-06-27
MC-0122,0,0,1,0,0,1,0,2025-01-12
MC-0123,0,0,1,0,0,0,1,2026-09-09
MC-0124,0,0,1,0,0,0,0,2026-08-22
MC-0125,0,0,0,0,1,1,1,2023-03-26
MC-0126,0,0,0,0,1,0,0,2025-07-22
MC-0127,0,0,1,0,0,0,0,2026-08-26
MC-0128,0,0,0,0,1,0,0,2024-04-26
MC-0129,0,0,1,0,0,0,0,2026-08-01
MC-0130,0,0,1,0,0,0,0,2024-03-25
MC-0131,0,0,1,0,0,0,0,2024-12-17
MC-0132,0,0,0,0,1,1,0,2023-11-13
MC-0133,0,0,0,1,0,0,0,2025-10-26
MC-0134,0,0,1,0,0,1,1,2026-08-19
MC-0135,0,0,1,0,0,1,0,2024-09-05
MC-0136,0,0,1,0,0,1,0,2023-01-23
MC-0137,0,0,0,1,0,0,0,2023-12-23
MC-0138,0,0,1,0,0,1,0,2024-09-23
MC-0139,0,0,0,0,1,1,0,2025-02-19
MC-0140,0,0,0,0,1,0,0,2023-08-13
MC-0141,0,0,0,0,1,0,1,2022-12-17
MC-0142,0,0,1,0,0,1,0,2026-09-10
MC-0143,0,0,0,0,1,1,1,2025-02-24
MC-0144,0,0,1,0,0,1,0,2026-09-03
MC-0145,0,0,0,0,1,1,1,2020-06-15
MC-0146,0,0,0,0,1,1,0,2024-01-07
MC-0147,0,0,1,0,0,0,0,2026-08-19
