gid,name,project_gid,created_at
1300000000000001,To do,1200000000000001,2025-10-06T09:00:00Z
1300000000000002,Rough-in,1200000000000001,2025-10-06T09:00:00Z
1300000000000003,Trim out,1200000000000001,2025-10-06T09:00:00Z
1300000000000004,Done,1200000000000001,2025-10-06T09:00:00Z
1300000000000005,Kitchen,1200000000000001,2025-10-06T09:00:00Z
1300000000000006,Bedrooms + hall,1200000000000001,2025-10-06T09:00:00Z
1300000000000007,Bathrooms,1200000000000001,2025-10-06T09:00:00Z
1300000000000008,Living + dining,1200000000000001,2025-10-06T09:00:00Z
1300000000000009,Basement + sump,1200000000000001,2025-10-06T09:00:00Z
1300000000000010,Punch list,1200000000000001,2025-10-06T09:00:00Z
1300000000000011,To do,1200000000000002,2025-10-06T09:00:00Z
1300000000000012,In progress,1200000000000002,2025-10-06T09:00:00Z
1300000000000013,Waiting on PECO,1200000000000002,2025-10-06T09:00:00Z
1300000000000014,Done,1200000000000002,2025-10-06T09:00:00Z
1300000000000015,Meter + mast,1200000000000002,2025-10-06T09:00:00Z
1300000000000016,Grounding + bonding,1200000000000002,2025-10-06T09:00:00Z
1300000000000017,Panel + breakers,1200000000000002,2025-10-06T09:00:00Z
1300000000000018,Materials to order,1200000000000002,2025-10-06T09:00:00Z
1300000000000021,To do,1200000000000003,2025-10-06T09:00:00Z
1300000000000022,Scheduled,1200000000000003,2025-10-06T09:00:00Z
1300000000000023,Inspection,1200000000000003,2025-10-06T09:00:00Z
1300000000000024,Done,1200000000000003,2025-10-06T09:00:00Z
1300000000000025,Rough-in inspection,1200000000000003,2025-10-06T09:00:00Z
1300000000000026,Final inspection,1200000000000003,2025-10-06T09:00:00Z
