gid,name,project_gid,section_gid,assignee_gid,completed,due_on,notes,created_at,modified_at
1400000000000001,"Walk house, map old knob-and-tube runs",1200000000000001,1300000000000004,1100000000000001,true,2025-10-20,Attic and basement. Photo every junction box before teardown.,2025-10-06T09:00:00Z,2025-10-20T16:30:00.000Z
1400000000000002,Pull old wiring from attic,1200000000000001,1300000000000004,1100000000000017,true,2025-10-24,"Cut dead, label what stays. Bag the cloth-insulated stuff for the dumpster.",2025-10-06T09:00:00Z,2025-10-24T15:00:00.000Z
1400000000000003,"Set new 200A panel, mount and level",1200000000000002,1300000000000014,1100000000000001,true,2025-11-03,Garage wall. Leave room for 40 circuits. Torque lugs to spec.,2025-10-06T09:00:00Z,2025-11-03T17:00:00.000Z
1400000000000004,Run new meter base and mast,1200000000000002,1300000000000014,1100000000000001,true,2025-11-05,Coordinate disconnect window with PECO. Weatherhead above roofline.,2025-10-06T09:00:00Z,2025-11-05T14:00:00.000Z
1400000000000005,"Drive ground rods, bond water main",1200000000000002,1300000000000014,1100000000000017,true,2025-11-12,Two rods 6ft apart. Acorn clamp on the cold water line near the meter.,2025-10-06T09:00:00Z,2025-11-12T16:00:00.000Z
1400000000000006,Pull kitchen small-appliance circuits,1200000000000001,1300000000000003,1100000000000001,true,2025-11-18,"Two 20A on the counter, dedicated 20A for fridge, 20A for microwave.",2025-10-06T09:00:00Z,2025-11-18T16:30:00.000Z
1400000000000007,Rough-in kitchen boxes and recessed cans,1200000000000001,1300000000000003,1100000000000017,true,2025-11-20,Six cans on a dimmer. Nail plates over every stud where romex crosses.,2025-10-06T09:00:00Z,2025-11-20T15:30:00.000Z
1400000000000008,Wire dedicated range and dryer circuits,1200000000000001,1300000000000003,1100000000000001,true,2025-11-24,"50A 6/3 for the range, 30A 10/3 for the dryer. Verify breaker sizing.",2025-10-06T09:00:00Z,2025-11-24T17:00:00.000Z
1400000000000009,Rough-in upstairs bedrooms,1200000000000001,1300000000000003,1100000000000017,true,2025-12-02,"Three bedrooms. Receptacle every 12ft, switched lights, smoke detector home runs.",2025-10-06T09:00:00Z,2025-12-02T16:00:00.000Z
1400000000000010,Bathroom GFCI and exhaust fan circuit,1200000000000001,1300000000000003,1100000000000001,true,2025-12-08,"GFCI receptacle, fan/light combo on its own switch leg.",2025-10-06T09:00:00Z,2025-12-08T15:00:00.000Z
1400000000000011,Schedule L&I rough-in inspection,1200000000000003,1300000000000024,1100000000000001,true,2025-12-15,Township office. Need everything open before drywall.,2025-10-06T09:00:00Z,2025-12-15T11:00:00.000Z
1400000000000012,Rough-in inspection - walk with inspector,1200000000000003,1300000000000024,1100000000000001,true,2025-12-18,Passed. One note: add nail plate at the stair stringer. Fixed same day.,2025-10-06T09:00:00Z,2025-12-18T13:30:00.000Z
1400000000000013,Pull living and dining room circuits,1200000000000001,1300000000000002,1100000000000017,true,2026-01-09,"Switched receptacles for lamps, run for the future ceiling fan.",2025-12-19T09:00:00Z,2026-01-09T16:00:00.000Z
1400000000000014,Basement circuits and sump pump dedicated,1200000000000001,1300000000000002,1100000000000001,true,2026-01-15,"Dedicated 20A for the sump, GFCI string for the workbench, two ceiling lights.",2025-12-19T09:00:00Z,2026-01-15T15:30:00.000Z
1400000000000015,"Label panel directory, fill out circuit map",1200000000000002,1300000000000014,1100000000000001,true,2026-01-22,"Type the directory, tape inside the door. Every circuit accounted for.",2025-12-19T09:00:00Z,2026-01-22T17:00:00.000Z
1400000000000016,Trim out kitchen - devices and plates,1200000000000001,1300000000000003,1100000000000017,true,2026-02-05,"Tamper-resistant receptacles, set the cans, hang the under-cabinet lights.",2025-12-19T09:00:00Z,2026-02-05T16:00:00.000Z
1400000000000017,Trim out bedrooms and hall,1200000000000001,1300000000000003,1100000000000017,true,2026-02-12,"Switches, receptacles, smoke and CO detectors interconnected.",2025-12-19T09:00:00Z,2026-02-12T16:30:00.000Z
1400000000000018,Schedule final inspection,1200000000000003,1300000000000022,1100000000000001,true,2026-02-20,"Drywall done, fixtures in. Call township for final.",2026-01-05T09:00:00Z,2026-02-20T14:00:00.000Z
1400000000000019,Final inspection and PECO reconnect,1200000000000003,1300000000000024,1100000000000001,true,2026-02-26,"Passed final. PECO set the meter, power back on the new service.",2026-01-05T09:00:00Z,2026-02-26T15:00:00.000Z
1400000000000020,"Walk the house with homeowner, final invoice",1200000000000001,1300000000000004,1100000000000001,true,2026-03-04,Test every device with them. Hand over the panel directory. Send invoice to Steve.,2026-02-26T09:00:00Z,2026-03-04T17:00:00.000Z
1400000000000021,Punch list - garage outlet not holding,1200000000000001,1300000000000001,1100000000000017,false,2026-03-20,"Homeowner says garage GFCI trips under load. Swap the device, check the splice.",2026-03-02T09:00:00Z,2026-03-10T10:00:00.000Z
1400000000000022,Order parts for next rewire bid - Cedarbrook Supply,1200000000000002,1300000000000011,1100000000000001,false,2026-03-25,"Price 200A panel, romex by the roll, cans. Keep under what I quoted.",2026-03-08T09:00:00Z,2026-03-12T09:00:00.000Z
