id,name,type,messages_total,messages_unread,threads_total,threads_unread
lbl_001,INBOX,system,600,45,580,40
lbl_002,SENT,system,250,0,240,0
lbl_003,DRAFT,system,2,0,2,0
lbl_004,STARRED,system,8,3,8,3
lbl_005,WFS Business,user,180,12,170,10
lbl_006,Family,user,95,8,90,7
lbl_007,TN Freight Assoc,user,45,5,40,4
lbl_008,Carriers,user,120,10,110,8
lbl_009,Mentorship,user,35,3,30,2
lbl_010,Personal,user,60,7,55,6
lbl_011,Church,user,25,2,22,1
lbl_012,Health,user,15,1,14,1
lbl_013,Vendors,user,40,4,38,3
lbl_014,SPAM,system,12,0,12,0
lbl_015,TRASH,system,8,0,8,0
