date	store	item	category	qty	unit_price	line_total
2026-01-03	Corner Grocer	Jasmine rice 10lb	Pantry	1	12.49	12.49
2026-01-03	Corner Grocer	Chuck roast 3.5lb	Meat	1	18.20	18.20
2026-01-03	Corner Grocer	Yellow onions 3lb	Produce	1	3.49	3.49
2026-01-03	Corner Grocer	Carrots 2lb	Produce	1	2.29	2.29
2026-01-03	Corner Grocer	Hazelnut creamer	Dairy	2	3.79	7.58
2026-01-03	Corner Grocer	Green tea 40ct	Beverage	1	4.99	4.99
2026-01-06	Neighborhood Pharmacy	Ferrous sulfate 325mg 100ct	Pharmacy	1	9.49	9.49
2026-01-06	Neighborhood Pharmacy	Childrens allergy medicine	Pharmacy	1	14.29	14.29
2026-01-06	Neighborhood Pharmacy	Ibuprofen 200mg 200ct	Pharmacy	1	11.99	11.99
2026-01-10	Discount Grocer	Frozen okra 2x	Produce	2	2.79	5.58
2026-01-10	Discount Grocer	Bell peppers 4	Produce	1	4.36	4.36
2026-01-10	Discount Grocer	Chicken thighs 5lb	Meat	1	9.45	9.45
2026-01-10	Discount Grocer	Fresh parsley + cilantro	Produce	2	1.29	2.58
2026-01-10	Discount Grocer	Cheese crackers	Snacks	2	2.99	5.98
2026-01-14	Corner Grocer	Whole milk 2gal	Dairy	2	4.19	8.38
2026-01-14	Corner Grocer	Eggs 18ct	Dairy	1	5.49	5.49
2026-01-14	Corner Grocer	Peanut butter natural	Pantry	1	5.29	5.29
2026-01-17	Lexington Market	Lump crab 1lb	Seafood	1	34.00	34.00
2026-01-17	Lexington Market	Seafood seasoning 6oz	Pantry	1	4.49	4.49
2026-01-21	Discount Grocer	Sweet potatoes 3lb	Produce	1	3.99	3.99
2026-01-21	Discount Grocer	Brown rice 5lb	Pantry	1	6.99	6.99
2026-01-21	Discount Grocer	Spinach 1lb	Produce	1	3.49	3.49
2026-01-24	Corner Grocer	Apple juice	Beverage	2	3.29	6.58
2026-01-24	Corner Grocer	Bananas 4lb	Produce	1	2.36	2.36
2026-01-28	Corner Grocer	Ground turkey 2lb	Meat	2	5.49	10.98
2026-01-28	Corner Grocer	Canned tomatoes 28oz	Pantry	3	1.99	5.97
2026-01-28	Corner Grocer	Hazelnut creamer	Dairy	2	3.79	7.58
2026-01-31	Discount Grocer	Yogurt cups 12	Dairy	1	6.49	6.49
2026-01-31	Discount Grocer	Frozen peas + corn	Produce	2	2.49	4.98
