deposit_id,deposit_date,amount_usd,gross_charges,fees,net_amount,description
dep_2026_07_01,2026-07-01,4730.00,4880.31,150.31,4730.00,Self-pay session deposits
dep_2026_07_08,2026-07-08,6680.00,6892.28,212.28,6680.00,Self-pay + PMHNP consult
dep_2026_07_15,2026-07-15,6160.00,6355.76,195.76,6160.00,Weekly self-pay batch
dep_2026_07_22,2026-07-22,7500.00,7738.34,238.34,7500.00,Weekly self-pay batch + medication management
dep_2026_07_29,2026-07-29,5840.00,6025.59,185.59,5840.00,Weekly self-pay batch
dep_2026_08_05,2026-08-05,7240.00,7470.08,230.08,7240.00,Weekly self-pay batch
dep_2026_08_12,2026-08-12,7970.00,8223.28,253.28,7970.00,Speaking honorarium APNA Jacksonville + self-pay
dep_2026_08_19,2026-08-19,6790.00,7005.78,215.78,6790.00,Weekly self-pay batch
dep_2026_08_26,2026-08-26,7140.00,7366.90,226.90,7140.00,Weekly self-pay batch
dep_2026_09_02,2026-09-02,7690.00,7934.38,244.38,7690.00,Weekly self-pay batch
dep_2026_09_09,2026-09-09,6880.00,7098.64,218.64,6880.00,Weekly self-pay batch
dep_2026_09_16,2026-09-16,6680.00,6892.28,212.28,6680.00,Weekly self-pay batch
dep_2026_09_23,2026-09-23,7100.00,7325.63,225.63,7100.00,Weekly self-pay batch
dep_2026_09_30,2026-09-30,7420.00,7655.80,235.80,7420.00,Weekly self-pay batch
Q3_TOTAL,2026-Q3,95820.00,,,,Aggregated Q3 Stripe deposits
