Month	Members	DropIns	Revenue_USD	Lease_USD	Insurance_USD	Payroll_USD	Equipment_USD	Net_USD
2025-03	43	6	3745	1400	180	820	180	1165
2025-04	44	5	3815	1400	180	830	150	1255
2025-05	45	9	3960	1400	180	850	260	1270
2025-06	44	7	3845	1400	180	840	150	1275
2025-07	42	12	3750	1400	180	820	140	1210
2025-08	43	10	3805	1400	180	830	160	1235
2025-09	46	6	4000	1400	180	860	300	1260
2025-10	45	8	3945	1400	180	850	220	1295
2025-11	46	5	3985	1400	180	860	260	1285
2025-12	44	4	3800	1400	180	840	150	1230
2026-01	45	9	3960	1400	180	850	240	1290
2026-02	44	7	3845	1400	180	840	175	1250
