zpid,address,city,state,zipcode,latitude,longitude,bedrooms,bathrooms,living_area_sqft,lot_size_sqft,year_built,home_type,list_price,zestimate,rent_zestimate,status,days_on_zillow,listing_agent_id
z_0000,538 State St,Traverse City,MI,49684,44.7631,-85.6052,2,2,801,0,1993,APARTMENT,,352908,1211,OFF_MARKET,0,
z_0001,266 Washington St,Traverse City,MI,49684,44.7450,-85.6534,2,1,1561,0,1897,SINGLE_FAMILY,,247265,1214,OFF_MARKET,0,
z_0002,330 Washington St,Traverse City,MI,49684,44.7129,-85.6268,3,1,1110,0,1896,CONDO,,394575,1331,OFF_MARKET,0,
z_0003,311 Wellington St,Traverse City,MI,49684,44.7149,-85.6314,3,1,1486,0,1982,TOWNHOUSE,,450403,1414,OFF_MARKET,0,
z_0004,935 Cass St,Traverse City,MI,49684,44.7267,-85.6025,3,1,610,0,1972,APARTMENT,,454908,1562,OFF_MARKET,0,
z_0005,914 State St,Traverse City,MI,49684,44.7869,-85.6141,1,1,1362,0,1922,SINGLE_FAMILY,,243928,1056,OFF_MARKET,0,
z_0006,928 State St,Traverse City,MI,49684,44.7872,-85.5899,1,1,1140,0,1963,CONDO,,247197,1051,OFF_MARKET,0,
z_0007,975 Washington St,Traverse City,MI,49684,44.7150,-85.6082,1,2,957,0,2010,TOWNHOUSE,,238457,1513,OFF_MARKET,0,
z_0008,365 Wellington St,Traverse City,MI,49684,44.7529,-85.6184,2,1,838,0,1920,APARTMENT,,252164,1484,OFF_MARKET,0,
z_0009,528 Washington St,Traverse City,MI,49684,44.7145,-85.6457,2,1,738,0,1925,SINGLE_FAMILY,,217257,1707,OFF_MARKET,0,
z_0010,718 Union St,Traverse City,MI,49684,44.7188,-85.6344,3,2,796,0,1930,CONDO,,447177,1232,OFF_MARKET,0,
z_0011,250 Boardman St,Traverse City,MI,49684,44.7528,-85.6631,1,2,1108,0,2008,TOWNHOUSE,,218467,1820,OFF_MARKET,0,
z_0012,348 Cass St,Traverse City,MI,49684,44.7298,-85.6611,2,1,1438,0,2000,APARTMENT,,298331,1455,OFF_MARKET,0,
z_0013,388 Washington St,Traverse City,MI,49684,44.7679,-85.5842,3,2,918,0,1978,SINGLE_FAMILY,,474435,1230,OFF_MARKET,0,
z_0014,289 Wellington St,Traverse City,MI,49684,44.7458,-85.5760,1,2,1251,0,1900,CONDO,,293147,1508,OFF_MARKET,0,
z_0015,704 Washington St,Traverse City,MI,49684,44.7530,-85.5782,3,2,969,0,1983,TOWNHOUSE,,225374,1346,OFF_MARKET,0,
z_0016,547 Union St,Traverse City,MI,49684,44.7213,-85.6011,2,2,657,0,1966,APARTMENT,,435622,1325,OFF_MARKET,0,
z_0017,930 Washington St,Traverse City,MI,49684,44.7680,-85.6094,2,1,1228,0,1890,SINGLE_FAMILY,,312656,1232,OFF_MARKET,0,
z_0018,672 Boardman St,Traverse City,MI,49684,44.7695,-85.5837,3,1,642,0,1928,CONDO,,341397,1371,OFF_MARKET,0,
z_0019,947 State St,Traverse City,MI,49684,44.7738,-85.5952,3,1,1147,0,1965,TOWNHOUSE,,355513,1202,OFF_MARKET,0,
z_0020,482 Wellington St,Traverse City,MI,49684,44.7693,-85.6459,2,2,824,0,1990,APARTMENT,,437025,1654,OFF_MARKET,0,
z_0021,867 Boardman St,Traverse City,MI,49684,44.7505,-85.5913,3,2,905,0,1976,SINGLE_FAMILY,,401267,1274,OFF_MARKET,0,
z_0022,513 Wellington St,Traverse City,MI,49684,44.7408,-85.6534,2,1,1509,0,1900,CONDO,,286576,1793,OFF_MARKET,0,
z_0023,721 State St,Traverse City,MI,49684,44.7643,-85.5948,2,2,741,0,1962,TOWNHOUSE,,340766,1298,OFF_MARKET,0,
z_0024,327 State St,Traverse City,MI,49684,44.7671,-85.5956,1,2,1205,0,1947,APARTMENT,,230648,1221,OFF_MARKET,0,
z_0025,856 Cass St,Traverse City,MI,49684,44.8004,-85.6541,2,1,782,0,1932,SINGLE_FAMILY,,365485,1580,OFF_MARKET,0,
z_0026,953 State St,Traverse City,MI,49684,44.7237,-85.6123,2,2,763,0,1997,CONDO,,336342,1178,OFF_MARKET,0,
z_0027,515 Wellington St,Traverse City,MI,49684,44.7653,-85.5790,2,1,1099,0,1891,TOWNHOUSE,,260603,1440,OFF_MARKET,0,
z_0028,933 Wellington St,Traverse City,MI,49684,44.8032,-85.6056,3,2,621,0,1895,APARTMENT,,379661,1070,OFF_MARKET,0,
