campaign_id,emails_sent,opens_total,unique_opens,open_rate,clicks_total,unique_clicks,click_rate,unsubscribed,bounces
camp_spring_2026,308,412,117,0.38,24,19,0.062,1,4
mc_c_su0c9twf,221,446,117,37,37,29,0,1,0
mc_c_9yxzb7zv,282,231,80,10,29,12,3,1,0
mc_c_h6f1otx5,418,317,39,47,5,23,0,2,2
mc_c_s8my51i7,164,400,169,33,6,5,6,1,1
mc_c_6z4s21yc,287,44,109,84,22,11,8,1,2
mc_c_3wrq18e3,71,85,113,37,48,26,6,1,1
mc_c_cidkpop2,68,435,42,45,36,5,3,4,1
mc_c_us3neuim,398,375,176,74,8,16,6,2,1
mc_c_lgwoef43,85,216,48,54,8,9,2,3,3
mc_c_n2i70mxc,119,129,180,97,50,21,5,4,0
mc_c_ksgefu89,433,406,150,73,37,13,2,5,0
mc_c_pwvv3j7f,241,111,93,28,12,30,7,0,3
mc_c_8eritxg2,303,421,96,14,16,3,6,2,3
mc_c_dg21owcm,264,385,141,57,5,10,1,2,3
mc_c_tmp6nffn,113,387,190,83,16,29,6,1,2
mc_c_lb2f4rcj,97,171,28,63,29,16,1,0,2
mc_c_tvwdcvn9,398,269,87,79,14,9,1,3,0
mc_c_tigc7gci,265,259,103,49,36,2,4,4,1
mc_c_medw3nnt,332,449,16,27,44,28,4,2,1
mc_c_atafq3dr,138,138,125,16,48,28,9,5,2
mc_c_owbiacbe,441,132,61,34,23,4,4,0,0
mc_c_bmsrnrlg,414,271,60,76,31,4,3,5,3
mc_c_8vu8pfyt,190,104,36,65,2,16,6,2,1
mc_c_sv4jqi9s,230,136,76,18,29,12,7,4,2
mc_c_qvjcc35o,477,239,74,84,14,30,5,0,1
mc_c_wqleawyg,433,443,43,20,19,27,9,5,1
mc_c_zki8ld19,71,332,42,22,19,23,1,1,1
mc_c_1hvioxj8,459,336,99,54,44,4,8,5,2
mc_c_3xf8xq3n,167,179,144,98,36,9,4,4,0
mc_c_xt4ccp48,316,393,49,68,20,22,5,3,0
mc_c_dizbdtfl,60,398,68,99,21,19,4,1,2
mc_c_mv8g5hff,109,283,193,81,26,5,6,5,2
mc_c_jpveofrg,446,239,119,18,29,4,10,0,1
mc_c_9fz8ev0e,54,287,151,96,24,25,0,0,3
mc_c_lze9rcbq,485,193,192,5,3,15,1,3,2
mc_c_w5ywk678,467,248,162,82,10,13,6,0,1
mc_c_9me9kn9d,484,246,79,100,19,8,2,3,2
mc_c_7j28f4sk,220,273,54,39,48,12,7,4,2
mc_c_wrvipset,347,89,200,72,44,16,5,1,1
mc_c_vuat011m,275,47,11,89,31,4,6,0,2
mc_c_eshgotvy,235,449,195,11,24,7,8,2,3
mc_c_y3db8ajk,209,195,20,12,13,7,5,3,1
mc_c_982ffgus,107,365,85,63,43,8,3,5,0
mc_c_7h6xb3xk,361,220,58,28,9,13,4,1,1
mc_c_gnzv2nik,472,147,66,30,37,8,3,5,1
mc_c_81bxht95,134,220,194,90,7,24,7,3,3
mc_c_bju6qjrk,176,116,56,47,33,21,9,3,3
mc_c_f3j066ft,321,331,129,31,47,2,4,2,3
mc_c_a2uhftc6,383,80,122,78,26,4,9,0,0
mc_c_y4u0qr16,451,94,110,38,2,9,5,2,0
mc_c_ctukmlos,57,212,77,25,46,26,8,4,2
mc_c_orb3bctz,245,151,152,21,4,22,6,3,2
mc_c_2i2v5u8q,264,81,46,11,12,3,2,0,2
mc_c_e1d5rwnh,193,168,31,94,13,12,0,2,2
mc_c_613fsawd,176,173,162,5,15,5,8,0,2
mc_c_714o1nde,55,433,171,35,49,4,9,2,1
mc_c_qk981uhp,159,244,55,53,16,30,5,2,3
mc_c_zsc5ck3h,352,189,103,91,4,10,7,5,3
mc_c_3857nfnc,344,96,112,21,20,8,6,2,0
mc_c_ajghxn6b,391,431,34,25,7,19,0,1,3
mc_c_gpyca3av,472,366,168,20,29,16,4,0,2
mc_c_mwr8rckx,361,194,38,49,16,29,9,3,0
mc_c_z2qwgqcn,224,371,36,80,14,11,1,5,1
mc_c_foj5xqfh,235,355,31,18,8,29,1,2,2
mc_c_1mjll10e,194,445,169,76,2,7,4,0,2
mc_c_kgck0z2f,468,384,149,65,3,5,3,3,3
mc_c_ex357soe,446,43,148,52,50,21,4,2,0
mc_c_vt7nglxu,435,214,26,46,34,30,3,0,3
mc_c_xa4ipwt9,206,344,147,49,28,16,7,5,0
mc_c_mhmlzcb0,260,317,100,36,29,11,0,3,3
