gl_code,cost_centre,line_description,fiscal_year,budget_cad,ytd_actual_cad,ytd_variance_cad,last_posted
5100-EQY2-CRP,RCI-EQUITY,Culturally responsive pedagogy program allocation,FY2026-27,18000.00,13240.00,-4760.00,2026-10-14
5100-EQY2-SVA,RCI-EQUITY,Student voice advisory council programming,FY2026-27,4500.00,3120.00,-1380.00,2026-10-14
5100-EQY2-CPE,RCI-EQUITY,Community partnership expansion,FY2026-27,12000.00,11000.00,-1000.00,2026-10-14
5100-EQY2-KEY,RCI-EQUITY,Keynote and public engagement,FY2026-27,3000.00,2415.00,-585.00,2026-10-14
5100-EQY2-CON,RCI-EQUITY,Equity workstream contingency,FY2026-27,2500.00,0.00,-2500.00,2026-10-14
5200-WELL-AUD,RCI-WELLNESS,Workload audit consultancy,FY2026-27,9000.00,9000.00,0.00,2026-10-01
5200-WELL-PDS,RCI-WELLNESS,Flexible PD substitute coverage,FY2026-27,15000.00,7860.00,-7140.00,2026-10-14
5200-WELL-RES,RCI-WELLNESS,Staff wellness resource pack,FY2026-27,3200.00,3200.00,0.00,2026-09-30
5300-TRAN-MEN,RCI-TRANSITION,Peer mentorship pilot materials,FY2026-27,6000.00,3210.00,-2790.00,2026-10-10
5900-GEN-KEY,RCI-GENERAL,Guest keynote honoraria,FY2026-27,300.00,0.00,-300.00,2026-09-30
5900-GEN-CON,RCI-GENERAL,Departmental contingency,FY2026-27,8000.00,1100.00,-6900.00,2026-10-14
6100-SPED-RES,RCI-STUDENT-SVCS,Special education resource top up,FY2026-27,7500.00,4210.00,-3290.00,2026-10-14
6200-ACAD-LIB,RCI-ACADEMIC,Library acquisitions and databases,FY2026-27,5200.00,2600.00,-2600.00,2026-10-14
7100-OPS-BLDG,RCI-OPERATIONS,Building maintenance allocation,FY2026-27,14000.00,6820.00,-7180.00,2026-10-14
7200-OPS-TECH,RCI-OPERATIONS,Technology refresh contribution,FY2026-27,6500.00,3250.00,-3250.00,2026-10-01
Note: QuickBooks style extract of the Ridgewood cost centre lines the district passes down to the school. YTD actual reflects transactions posted to the district general ledger through the last posted date. The equity workstream lines with the EQY2 marker map to the school level equity spend ledger but at a higher aggregation and may lag by up to a week. Enrollment for the Year Two cost per student calculations is 1201 students based on the September enrollment count. This extract is one of several budget sources and does not include contributions routed through the family cultural fund.
