day,main,vegetarian,halal,soup,dessert,allergen_notes,price_cad
Monday,Chicken fajita wrap,Bean and rice burrito,Chicken fajita wrap (halal),Tomato basil,Apple crisp,Contains: wheat gluten dairy,4.50
Tuesday,Beef lasagna,Veggie lasagna,Lamb kofta plate,Minestrone,Fruit cup,Contains: wheat gluten dairy eggs,5.00
Wednesday,Turkey club sandwich,Grilled cheese and tomato,Turkey sandwich (halal),Chicken noodle,Yogurt parfait,Contains: wheat dairy,4.50
Thursday,Fish tacos,Falafel bowl with tahini,Falafel bowl with tahini,Butternut squash,Brownie,Contains: wheat sesame,5.00
Friday,Pizza day (pepperoni),Cheese pizza,Cheese pizza,Vegetable barley,Cookie,Contains: wheat dairy,4.00
Monday,Butter chicken with rice,Chana masala with naan,Butter chicken with rice (halal),Lentil,Rice pudding,Contains: dairy wheat,5.00
Tuesday,Pulled pork slider,Black bean burger,Chicken shawarma wrap,Cream of mushroom,Banana bread,Contains: wheat dairy soy,4.50
Wednesday,Spaghetti and meatballs,Spaghetti marinara,Spaghetti and meatballs (halal),Italian wedding,Jello cups,Contains: wheat eggs,4.50
Thursday,Teriyaki chicken bowl,Tofu teriyaki bowl,Teriyaki chicken bowl (halal),Miso,Fruit salad,Contains: soy wheat,5.00
Friday,Hot dog day,Veggie dog,Beef hot dog (halal),Tomato rice,Ice cream cup,Contains: wheat soy dairy,3.50
