university,program,campus,distance_from_home_km,tuition_cad_annual,residence_cad_annual,co_op,ranking_macleans,sofia_interest,mary_notes
University of Toronto,Life Sciences,St. George,18,7070,14500,No,1,High,Close to home. Strong science program. Sofia could commute.
University of Waterloo,Biomedical Sciences,Main,105,7490,10500,Yes,2,High,Co-op is a big draw. Would need residence. Good reputation.
McMaster University,Health Sciences,Main,70,6950,12000,No,6,Medium,Gateway to medical school. Hamilton is manageable distance.
Queen's University,Life Sciences,Main,270,7180,14800,No,5,Medium,Beautiful campus. Sofia loved the virtual tour. Far from home.
Western University,Medical Sciences,Main,195,7290,13500,No,7,Low,Good program but Sofia says it feels too far and too big.
University of Guelph,Biological Sciences,Main,95,7060,11200,Yes,4,Medium,Smaller campus feel. Good co-op options. Sofia likes the town.
Toronto Metropolitan University,Biology,Downtown,15,7550,13000,No,15,Low,Very close to home. Sofia wants the away-from-home experience.
York University,Biology,Keele,12,6600,10800,No,13,Low,Closest option. Sofia is lukewarm. Mary thinks it's underrated.
,,,,,,,,,-
Notes:,,,,,,,,
This is a personal family planning document for Sofia's OUAC applications (grade 12 next year).
Tuition figures are estimates from university websites as of fall 2026.
This has nothing to do with the school board the school budget or any professional matter.
Mary and Carlos are saving in an RESP. No school or board funds are involved.
Sofia is leaning toward U of T or Waterloo. Final applications in fall 2027.
