month,days_covered,cost_cad,reason_category,most_common_reason,pool_source,notes
September 2026,42,12600,Illness/Personal,Short-term illness,Board supply pool,Normal September ramp-up
October 2026,38,11400,Illness/PD,PD release days,Board supply pool,Includes 8 days for equity training release
November 2026,51,15300,Mixed,Illness plus PD plus long-term absence coverage,Board supply pool,Spike due to flu season and two staff on extended leave
December 2026 (partial),28,8400,Illness/Exam,Exam supervision and illness,Board supply pool,Partial month through Dec 13
YTD Total,159,47700,Mixed,,Board supply pool,Average 40 days per month
,,,,,,
Notes:,,,,,,
This is a utilization report for supply teacher bookings only.,,,,,,
It does NOT represent staff headcount. Supply teachers are booked daily from the board pool and are NOT employees of Ridgewood.,,,,,,
Do not use these figures for the headcount reconciliation or the staffing freeze assessment.,,,,,,
The Flexible PD substitute coverage budget line in board_brief_budget.csv covers a subset of these costs (PD-related days only).,,,,,,
For the board brief headcount the authoritative sources are BambooHR (roster) and Gusto (payroll) and Okta (access accounts).,,,,,,
