category,budget_cad,spent_cad,remaining_cad,custodian,notes
Spirit wear,2500,1820,680,Student Council Treasurer,Hoodies t-shirts and beanies. Vendor: CustomInk.
Dances and socials,3000,1450,1550,Student Council Treasurer,Fall semi-formal and Halloween dance. Winter formal budgeted for Feb.
Charity and fundraising supplies,800,340,460,Student Council Treasurer,Bake sale materials and charity drive signage.
Sports support,1200,900,300,Athletics Rep,Fan buses to regional finals and spirit supplies for home games.
Clubs and activities,1500,620,880,VP Morrison (advisor),Club startup grants and activity room supplies.
Guest speaker fund,600,300,300,Student Council Treasurer,One speaker (anti-bullying) in October. One more planned for March.
Graduation committee seed,500,0,500,Grad Committee Chair,Reserve for graduation planning. Not drawn until spring.
Yearbook advance,1000,1000,0,Yearbook Editor,Printing deposit paid to Jostens in November.
Miscellaneous,400,180,220,Student Council Treasurer,Printer ink office supplies and meeting refreshments.
Total,11500,6610,4890,,Student council funds are separate from the school operational budget.
,,,,,-
Note: These are student activity fees collected from students and managed by the student council under VP Morrison's oversight.
This is NOT school operational budget and is NOT part of the board brief budget reconciliation.
The board brief budget is in board_brief_budget.csv and covers operational expenditures only.
Student council funds are held in a separate trust account at the school.
