txn_id,posting_date,vendor,category,description,amount_cad,approval_code,notes
EQ-9001,2026-09-08,Osei Consulting Ltd,training_facilitation,Deposit for fall pedagogy training weekend,4200.00,SUPT-2026-114,superintendent pre-approved deposit
EQ-9002,2026-10-05,Osei Consulting Ltd,training_facilitation,Balance fall pedagogy training weekend delivery,8400.00,SUPT-2026-114,balance owed after delivery
EQ-9003,2026-09-14,Ridgewood Custodial Overtime,training_facilitation,Weekend building open for training,640.00,,routine within standing authorization
EQ-9004,2026-09-18,Riverbend Print Shop,training_materials,Participant workbooks printed 45 copies,412.00,PRIN-2026-072,above standing authorization required principal sign off
EQ-9005,2026-09-22,Casa Cultural de Toronto,partner_honorarium,Bilingual facilitation support fall weekend,850.00,,routine within standing authorization
EQ-9006,2026-08-30,Student Equity Council Refreshments,student_voice,Council meeting food and beverages Sept meeting,178.00,,routine
EQ-9007,2026-09-15,Typeform Business,student_voice,Annual subscription upgrade for pilot survey capacity,340.00,SUB-2026-041,above threshold required principal sign off
EQ-9008,2026-09-28,Airtable Pro Team,mentee_program,Coaching log workspace upgrade,290.00,,routine
EQ-9009,2026-10-02,Casa Cultural de Toronto,community_partnership,Fall community reception co hosting,1200.00,PART-2026-018,above threshold approved
EQ-9010,2026-10-06,Guadalupe Youth Circle,community_partnership,Programming partnership Q1 disbursement,2400.00,PART-2026-019,above threshold approved
EQ-9011,2026-09-12,Toronto Youth Services Alliance,community_partnership,Continuation grant Q1,3000.00,PART-2026-016,above threshold approved
EQ-9012,2026-09-05,Lakeshore Cultural Centre,community_partnership,Programming partnership Q1 disbursement,2400.00,PART-2026-017,above threshold approved
EQ-9013,2026-10-10,North York Somali Womens Circle,community_partnership,MOU development consultation retainer,1800.00,,PENDING RE APPROVAL AFTER FREEZE PULL FORWARD - flagged by VP Okafor
EQ-9014,2026-08-25,Maplewood Community Arts Collective,community_partnership,Continuation grant Q1,3200.00,PART-2026-015,above threshold approved
EQ-9015,2026-09-30,Board Wellness Committee,staff_wellness,Wellness resource pack distribution,720.00,WELL-2026-022,above threshold approved
EQ-9016,2026-10-14,Vimeo Business,keynote_recording,Video hosting for keynote recording annual,468.00,,ABOVE THRESHOLD - approval pending
EQ-9017,2026-09-20,Etsy Various Artisans,keynote_gifts,Facilitator thank you gifts fall weekend,215.00,,routine
EQ-9018,2026-10-01,Riverbend Print Shop,student_voice,Council poster print run,145.00,,routine
Note: Airtable extract of the Year Two equity workstream spend ledger under the EQ Y2 prefix. Postings reflect committed and paid transactions in the equity plan budget lines. Approval code column carries the internal reference for any commitment above the routine standing authorization. Some line items carry notes flagging status changes or pending reapprovals following governance shifts during the term. This ledger is one of several budget sources and should be reconciled against the district ledger extract and the cultural fund contributions ledger before any total is quoted publicly.
