date,day,enrolled,present,absent,absence_rate_pct,late_arrivals,early_departures,weather,notes
2026-12-01,Monday,1201,1155,46,3.8,12,5,Snow -3C,Normal Monday. Some flu absences starting.
2026-12-02,Tuesday,1201,1148,53,4.4,15,3,Snow -5C,Increased absences. Possible flu spread in grade 10.
2026-12-03,Wednesday,1201,1138,63,5.2,18,7,Overcast -2C,Guidance office reported 8 students out with confirmed flu.
2026-12-04,Thursday,1201,1142,59,4.9,14,4,Clear -5C,Fire drill day. Attendance taken before and after drill.
2026-12-05,Friday,1201,1120,81,6.7,22,12,Snow -8C,Highest absence day this term. Cold snap plus flu.
2026-12-08,Monday,1201,1152,49,4.1,11,3,Clear -4C,Recovery after the cold snap. Flu levelling off.
2026-12-09,Tuesday,1201,1160,41,3.4,9,4,Overcast -1C,Near-normal levels. Grade 10 absences declining.
2026-12-10,Wednesday,1201,1158,43,3.6,10,5,Rain 2C,Steady. Two students returned from extended illness.
2026-12-11,Thursday,1201,1162,39,3.2,8,3,Overcast 0C,Good attendance. Staff wellness check reminder sent.
2026-12-12,Friday,1201,1145,56,4.7,16,8,Clear -3C,Winter concert day. Some early departures for setup and performance prep.
2026-12-13,Monday,1201,1155,46,3.8,12,4,Clear -6C,Normal Monday. Exam review period starts in most classes.
2026-12-14,Tuesday,1201,1150,51,4.2,14,6,Snow -4C,Last full week before exams. Guidance appointments heavy.
2026-12-15,Wednesday,1201,1148,53,4.4,13,5,Snow -2C,Some grade 12 students absent for university campus visits.
,,,,,,,,,
Term average,,,1149,52,4.3,13,5,,
Board benchmark,,,,,,5.0%,,,,Target: below 5% daily absence rate
Status,,,,,,WITHIN TARGET,,,,Ridgewood trending below board benchmark
,,,,,,,,,
Note: This is a student attendance summary from the registrar's office.
It counts STUDENTS not STAFF. Employee headcount is tracked in BambooHR and Gusto.
Do not confuse student attendance with employee headcount for the board brief.
The headcount reconciliation for the board brief counts employees not students.
