title,author,category,copies,shelf,isbn,acquisition_date,requested_by,curriculum_link,cost_per_copy_cad
The House on Mango Street,Sandra Cisneros,Fiction,4,F-CIS,978-0679734772,2026-09-10,Dept Head English,Grade 10 English ENG2D,12.99
Braiding Sweetgrass,Robin Wall Kimmerer,Nonfiction,3,NF-KIM,978-1571313560,2026-09-10,Equity Committee,Indigenous Studies NAC2O,18.50
The Marrow Thieves,Cherie Dimaline,Fiction,5,F-DIM,978-1770864863,2026-09-15,Dept Head English,Grade 11 English ENG3U,14.99
Factfulness,Hans Rosling,Nonfiction,2,NF-ROS,978-1250123824,2026-10-01,Dept Head Geography,World Issues CGW4U,16.99
Educated,Tara Westover,Memoir,3,M-WES,978-0399590504,2026-10-01,Teacher-librarian,Independent study,21.00
Mexican Gothic,Silvia Moreno-Garcia,Fiction,3,F-MOR,978-0525620785,2026-10-15,Student request,Leisure reading,17.99
All My Puny Sorrows,Miriam Toews,Fiction,2,F-TOE,978-1476790008,2026-10-15,Dept Head English,Grade 12 English ENG4U,15.99
There There,Tommy Orange,Fiction,3,F-ORA,978-0525520375,2026-11-01,Equity Committee,Indigenous Studies NAC2O,16.50
Minor Feelings,Cathy Park Hong,Nonfiction,2,NF-HON,978-1984820365,2026-11-01,Equity Committee,Anti-racism reading circle,18.00
The Liar's Dictionary,Eley Williams,Fiction,2,F-WIL,978-0385546157,2026-11-15,Teacher-librarian,Leisure reading,19.99
Seven Fallen Feathers,Tanya Talaga,Nonfiction,4,NF-TAL,978-1487002268,2026-11-15,VP Okafor,Indigenous education PD,17.50
Stamped from the Beginning,Ibram X. Kendi,Nonfiction,3,NF-KEN,978-1568585987,2026-12-01,Equity Committee,Anti-racism reading circle,22.00
The Kite Runner,Khaled Hosseini,Fiction,3,F-HOS,978-1594631931,2026-12-01,Dept Head English,Grade 12 Writers Craft EWC4U,15.99
