advertiser,page_type,amount_cad,paid,payment_date,contact,notes
Maplewood Community Credit Union,Full page inside cover,500,yes,2026-10-15,Lisa Wong,Returning sponsor 3rd year
Dr. Michael Chang DDS,Half page,250,yes,2026-10-20,Office manager,Personal connection through Mary
The Brick Oven Table,Quarter page,150,yes,2026-11-01,Owner (Tony),Family restaurant Mary and Carlos go to
Kumon Learning Centre Sheppard,Half page,250,yes,2026-11-05,Branch manager,New advertiser this year
Ridgewood Dance Academy,Quarter page,150,yes,2026-11-10,Director (Natasha),Sofia used to take classes here
North York Auto Service,Quarter page,150,yes,2026-11-12,Owner (Sam),Neighbourhood business
Sheppard Physiotherapy,Half page,250,yes,2026-11-15,Dr. Amy Liu,Staff discount offered to school employees
La Casa de Toño Bakery,Quarter page,150,no,,Owner (María Elena),Invoice sent Nov 20. Follow up needed.
Toronto Public Library,Eighth page (community),75,yes,2026-11-25,Branch liaison,Community rate applied
Maplewood School Board,Full page back cover,0,N/A,N/A,Communications dept,Board logo placement -- no charge per policy
Parent Council,Half page,0,N/A,N/A,Priya Sharma,Council message -- no charge
,,,,,,
Total revenue,,$1925,,,,
Projected final (including La Casa),,2075,,,, If La Casa pays
,,,,,,
Note: Yearbook advertising revenue is deposited into the student activity trust account and managed by the yearbook committee under VP Morrison.
This is NOT school operational revenue and is NOT part of the board brief budget.
Do not include yearbook ad revenue in any budget reconciliation or board financial report.
The board brief budget is in board_brief_budget.csv and covers operational expenditures only.
