vendor,item,unit_cost_cad,quantity,total_cad,quote_valid_until,status,contact,notes
Jostens Canada,Diploma covers (leatherette),18.50,310,5735,2027-02-28,Quote received,Sales rep (Amanda),310 covers for projected grad class plus extras
Jostens Canada,Valedictorian plaque,85.00,1,85,2027-02-28,Quote received,Sales rep (Amanda),Engraved crystal plaque
Metro Convention Centre,Ceremony venue rental (half day),3200,1,3200,2027-03-15,Quote received,Events coordinator (Brian),Includes AV setup and podium
Metro Convention Centre,Chairs and staging (200 additional),800,1,800,2027-03-15,Quote received,Events coordinator (Brian),Standard seating for family overflow
Blossoms by Maria,Stage florals and arrangements,450,1,450,2027-03-01,Quote received,Maria (owner),Same as last year plus one additional pedestal
Blossoms by Maria,Corsages for faculty,12.00,25,300,2027-03-01,Quote received,Maria (owner),White rose with school colour ribbon
GoodEats Catering,Reception (300 guests light),28.00,300,8400,2027-04-01,Quote received,Sales (Jenny),Finger food and beverages. Nut-free menu.
GoodEats Catering,Dietary accommodations surcharge,2.50,45,112.50,2027-04-01,Quote received,Sales (Jenny),Halal kosher vegetarian and vegan options
DJ Soundwave,DJ and MC for reception (3 hours),650,1,650,2027-03-15,Quote received,Marcus,Same DJ as last three years. Student favourite.
Shutterbug Photography,Photographer (ceremony + reception),1200,1,1200,2027-04-01,Quote received,Samantha,Includes online gallery and 100 prints for the school
Shutterbug Photography,Individual grad portraits (pre-event),35.00,280,9800,2027-04-01,Quote received,Samantha,Students book and pay directly. Revenue to photographer.
PrintShop Express,Programs (tri-fold colour),2.50,400,1000,2027-03-15,Quote received,Online order,Include grad photos valedictorian speech and faculty list
,,,,,,,,
Total (school-funded items),,,,21932.50,,,Excludes individual portraits (student-funded)
Grad committee budget,,,,3500,,,From student council allocation (see student_council_budget_2026.csv)
Shortfall to fundraise,,,,18432.50,,,Spring gala and additional fundraising needed
,,,,,,,,
Note: Graduation costs are funded through a combination of the student council grad reserve and fundraising.
These costs are NOT part of the school operational budget or the board brief budget reconciliation.
The board brief budget is in board_brief_budget.csv. Grad ceremony costs are separate.
