date,time,opponent,location,address,transport,result,goals_miguel,notes
2026-09-14,10:00,Scarborough Rapids,Home,Ridgewood Park Field 2,N/A,W 3-1,1,Season opener. Miguel played right wing.
2026-09-21,11:00,North York Titans,Away,Downsview Park,Carlos,L 1-2,0,Tough loss. Coach moved Miguel to midfield.
2026-09-28,10:00,Etobicoke Eagles,Home,Ridgewood Park Field 2,N/A,W 4-0,2,Best game of the season so far.
2026-10-05,10:30,Markham Mustangs,Away,Markham District Park,Carlos,D 2-2,1,Draw. Miguel scored the equalizer.
2026-10-19,10:00,Vaughan Vipers,Home,Ridgewood Park Field 2,N/A,W 2-1,0,Close game. Rained the whole match.
2026-10-26,11:00,Mississauga Thunder,Away,Streetsville Memorial Park,Carlos,W 3-2,1,Comeback win in the last ten minutes.
2026-11-09,10:00,Ajax Arrows,Home,Ridgewood Park Field 2,N/A,W 5-1,2,Miguel named player of the match.
2026-11-16,11:30,Pickering Predators,Away,Pickering Recreation Complex,Carlos,L 0-1,0,Only loss at home. Miguel was marked tight.
2026-11-30,10:00,Brampton Blaze,Home,Ridgewood Park Field 2,N/A,W 2-0,1,Last home game before winter break.
2026-12-06,10:00,Brookfield Bears,Home,Ridgewood Park Field 2,Carlos,W 4-1,1,Good warm-up for the cup.
2026-12-13,11:30,Thornhill United,Away,Thornhill Community Centre,Carlos,D 1-1,0,Tough defensive game. Cold conditions.
2026-12-20,09:00,Winter Cup (tournament),Neutral,North York Community Centre,Mary,,,Three-game round robin. Mary drives because Carlos has a site visit.
2027-01-10,10:00,Season resumes,Home,Ridgewood Park Field 2,TBD,,,Winter training block complete. Back to league play.
