grade,projected_sept_2027,current_dec_2026,variance,source,notes
Grade 9,298,312,N/A,Registrar feeder school pipeline,Projection based on grade 8 enrollment at four feeder elementaries
Grade 10,305,298,N/A,Registrar internal progression,Assumes 97% retention from current grade 9
Grade 11,287,291,N/A,Registrar internal progression,Assumes 96% retention from current grade 10
Grade 12,276,300,N/A,Registrar internal progression,Assumes 92% retention from current grade 11 plus 3% returnees
Total projected,1166,1201,N/A,Registrar office draft,DRAFT - not final - subject to boundary review and transfers
,,,,,-
Notes,,,,,These projections are for September 2027 planning and are NOT part of the current year reconciliation
Caveat 1,,,,,Current year headcount for the board brief comes from BambooHR and Gusto not from enrollment projections
Caveat 2,,,,,Enrollment and staffing headcount are different measures -- enrollment counts students while headcount counts employees
Caveat 3,,,,,Do not mix these figures into any board brief or budget reconciliation
