event_name,property,grade_bucket,identifier_bucket,count,eligible_base,pull_date
survey_link_delivered,total,all,all,1201,1201,2026-10-06
survey_link_opened,total,all,all,812,1201,2026-10-06
survey_first_question_answered,total,all,all,798,1201,2026-10-06
survey_final_submit,total,all,all,506,1201,2026-10-06
survey_final_submit,by_grade,grade_9,all,142,301,2026-10-06
survey_final_submit,by_grade,grade_10,all,131,298,2026-10-06
survey_final_submit,by_grade,grade_11,all,121,304,2026-10-06
survey_final_submit,by_grade,grade_12,all,112,298,2026-10-06
survey_first_question_answered,by_grade,grade_9,all,209,301,2026-10-06
survey_first_question_answered,by_grade,grade_10,all,202,298,2026-10-06
survey_first_question_answered,by_grade,grade_11,all,196,304,2026-10-06
survey_first_question_answered,by_grade,grade_12,all,191,298,2026-10-06
survey_final_submit,by_identifier,all,identifies_bipoc,221,562,2026-10-06
survey_final_submit,by_identifier,all,identifies_non_bipoc,279,614,2026-10-06
survey_final_submit,by_identifier,all,identifier_unspecified,6,25,2026-10-06
survey_final_submit,by_gender,all,female,274,588,2026-10-06
survey_final_submit,by_gender,all,male,214,584,2026-10-06
survey_final_submit,by_gender,all,nonbinary_other,18,29,2026-10-06
sentiment_score,belonging_avg,all,all,3.38,5.00,2026-10-06
sentiment_score,representation_avg,all,all,3.06,5.00,2026-10-06
sentiment_score,voice_avg,all,all,3.24,5.00,2026-10-06
Note: Export from the secondary product analytics dashboard configured to instrument the same student voice survey pilot. Event names reflect the funnel: link delivered, link opened, first answer, final submit. Denominators are the enrollment base at survey deployment. Sentiment scores are computed from the Likert responses on final submit. This dashboard was set up as an independent cross check on the primary engagement pulse export. The equity council policy requires both sources to be consulted before any figure is quoted. Pull generated 2026-10-06 by the analytics volunteer.
