id,page_id,name,prefix
confluence_labels_1000,confluence_labels_1000,Confluence item 0,prefix_0
confluence_labels_1001,confluence_labels_1001,Confluence item 1,prefix_1
confluence_labels_1002,confluence_labels_1002,Confluence item 2,prefix_2
confluence_labels_1003,confluence_labels_1003,Confluence item 3,prefix_3
confluence_labels_1004,confluence_labels_1004,Confluence item 4,prefix_4
confluence_labels_1005,confluence_labels_1005,Confluence item 5,prefix_5
confluence_labels_1006,confluence_labels_1006,Confluence item 6,prefix_6
confluence_labels_1007,confluence_labels_1007,Confluence item 7,prefix_7
confluence_labels_1008,confluence_labels_1008,Confluence item 8,prefix_8
confluence_labels_1009,confluence_labels_1009,Confluence item 9,prefix_9
confluence_labels_1010,confluence_labels_1010,Confluence item 10,prefix_10
confluence_labels_1011,confluence_labels_1011,Confluence item 11,prefix_11
confluence_labels_1012,confluence_labels_1012,Confluence item 12,prefix_12
confluence_labels_1013,confluence_labels_1013,Confluence item 13,prefix_13
confluence_labels_1014,confluence_labels_1014,Confluence item 14,prefix_14
confluence_labels_1015,confluence_labels_1015,Confluence item 15,prefix_15
confluence_labels_1016,confluence_labels_1016,Confluence item 16,prefix_16
confluence_labels_1017,confluence_labels_1017,Confluence item 17,prefix_17
confluence_labels_1018,confluence_labels_1018,Confluence item 18,prefix_18
confluence_labels_1019,confluence_labels_1019,Confluence item 19,prefix_19
confluence_labels_1020,confluence_labels_1020,Confluence item 20,prefix_20
confluence_labels_1021,confluence_labels_1021,Confluence item 21,prefix_21
confluence_labels_1022,confluence_labels_1022,Confluence item 22,prefix_22
confluence_labels_1023,confluence_labels_1023,Confluence item 23,prefix_23
confluence_labels_1024,confluence_labels_1024,Confluence item 24,prefix_24
confluence_labels_1025,confluence_labels_1025,Confluence item 25,prefix_25
confluence_labels_1026,confluence_labels_1026,Confluence item 26,prefix_26
confluence_labels_1027,confluence_labels_1027,Confluence item 27,prefix_27
confluence_labels_1028,confluence_labels_1028,Confluence item 28,prefix_28
confluence_labels_1029,confluence_labels_1029,Confluence item 29,prefix_29
confluence_labels_1030,confluence_labels_1030,Confluence item 30,prefix_30
confluence_labels_1031,confluence_labels_1031,Confluence item 31,prefix_31
confluence_labels_1032,confluence_labels_1032,Confluence item 32,prefix_32
confluence_labels_1033,confluence_labels_1033,Confluence item 33,prefix_33
confluence_labels_1034,confluence_labels_1034,Confluence item 34,prefix_34
confluence_labels_1035,confluence_labels_1035,Confluence item 35,prefix_35
confluence_labels_1036,confluence_labels_1036,Confluence item 36,prefix_36
confluence_labels_1037,confluence_labels_1037,Confluence item 37,prefix_37
confluence_labels_1038,confluence_labels_1038,Confluence item 38,prefix_38
confluence_labels_1039,confluence_labels_1039,Confluence item 39,prefix_39
confluence_labels_1040,confluence_labels_1040,Confluence item 40,prefix_40
confluence_labels_1041,confluence_labels_1041,Confluence item 41,prefix_41
confluence_labels_1042,confluence_labels_1042,Confluence item 42,prefix_42
confluence_labels_1043,confluence_labels_1043,Confluence item 43,prefix_43
confluence_labels_1044,confluence_labels_1044,Confluence item 44,prefix_44
confluence_labels_1045,confluence_labels_1045,Confluence item 45,prefix_45
confluence_labels_1046,confluence_labels_1046,Confluence item 46,prefix_46
confluence_labels_1047,confluence_labels_1047,Confluence item 47,prefix_47
confluence_labels_1048,confluence_labels_1048,Confluence item 48,prefix_48
confluence_labels_1049,confluence_labels_1049,Confluence item 49,prefix_49
confluence_labels_1050,confluence_labels_1050,Confluence item 50,prefix_50
confluence_labels_1051,confluence_labels_1051,Confluence item 51,prefix_51
confluence_labels_1052,confluence_labels_1052,Confluence item 52,prefix_52
confluence_labels_1053,confluence_labels_1053,Confluence item 53,prefix_53
confluence_labels_1054,confluence_labels_1054,Confluence item 54,prefix_54
