symbol,side,price,qty
BTCUSDT,ask,70651.89,6.5534
BTCUSDT,bid,20449.51,6.6620
BTCUSDT,ask,44869.23,8.4884
BTCUSDT,bid,28805.24,3.9585
BTCUSDT,ask,8897.69,3.2331
BTCUSDT,bid,82957.33,2.7187
BTCUSDT,ask,3688.81,4.9773
BTCUSDT,bid,38370.08,5.1460
ETHUSDT,ask,50411.33,8.5354
ETHUSDT,bid,45755.57,3.6248
ETHUSDT,ask,87770.59,7.5794
ETHUSDT,bid,39709.83,1.8555
ETHUSDT,ask,37015.22,9.4837
ETHUSDT,bid,75440.96,5.9639
ETHUSDT,ask,70947.45,2.1580
ETHUSDT,bid,32896.41,9.4696
SOLUSDT,ask,6433.69,6.2338
SOLUSDT,bid,14356.00,5.8069
SOLUSDT,ask,3314.45,6.9289
SOLUSDT,bid,28669.72,9.9948
SOLUSDT,ask,29393.54,6.8717
SOLUSDT,bid,23014.66,5.2478
SOLUSDT,ask,41926.12,1.3971
SOLUSDT,bid,43601.01,3.6041
ADAUSDT,ask,30943.65,6.6425
ADAUSDT,bid,62168.85,3.4725
ADAUSDT,ask,59143.38,3.0452
ADAUSDT,bid,16578.35,6.0555
ADAUSDT,ask,81242.64,3.1691
ADAUSDT,bid,63663.68,2.1330
ADAUSDT,ask,22191.31,4.2928
ADAUSDT,bid,78936.88,8.4063
DOTUSDT,ask,62194.15,5.9879
DOTUSDT,bid,6326.00,5.6477
DOTUSDT,ask,17527.17,7.5671
DOTUSDT,bid,23157.82,1.2603
DOTUSDT,ask,30975.14,2.1202
DOTUSDT,bid,49757.29,5.3027
DOTUSDT,ask,45068.97,2.2161
DOTUSDT,bid,78693.12,0.6241
BNBUSDT,ask,57138.39,4.9661
BNBUSDT,bid,85472.49,0.8353
BNBUSDT,ask,4674.96,7.6686
BNBUSDT,bid,84354.58,9.1360
BNBUSDT,ask,50212.57,9.1646
BNBUSDT,bid,41776.04,7.2841
BNBUSDT,ask,24901.25,7.0251
BNBUSDT,bid,25130.39,1.3581
XRPUSDT,ask,73803.70,7.3581
XRPUSDT,bid,26462.59,7.2489
XRPUSDT,ask,18752.10,7.7825
XRPUSDT,bid,34319.53,9.7597
XRPUSDT,ask,21685.08,2.7920
XRPUSDT,bid,57072.98,4.5264
XRPUSDT,ask,6948.30,2.8464
XRPUSDT,bid,50928.21,2.1866
MATICUSDT,ask,60998.41,8.2714
MATICUSDT,bid,59574.29,3.5696
MATICUSDT,ask,69753.99,8.2773
MATICUSDT,bid,67654.25,5.1424
MATICUSDT,ask,9879.24,5.4207
MATICUSDT,bid,50292.14,0.2887
MATICUSDT,ask,68937.24,8.2662
MATICUSDT,bid,3947.28,7.8372
DOTUSDT,ask,25435.32,37.253173
MATICUSDT,bid,9290.12,13.368178
AVAXUSDT,bid,2506.34,48.75527
LINKUSDT,bid,18325.1,4.803737
UNIUSDT,ask,49148.18,9.278349
ATOMUSDT,ask,22881.78,41.719284
XRPUSDT,bid,21633.7,36.183058
LTCUSDT,bid,1261.35,11.030091
BCHUSDT,bid,55091.37,5.188269
ALGOUSDT,bid,13069.9,35.220816
XLMUSDT,bid,59427.96,27.897186
FILUSDT,ask,44660.31,33.087984
NEARUSDT,bid,42670.67,25.609092
APTUSDT,bid,45670.02,14.97429
ARBUSDT,ask,17180.36,17.745103
OPUSDT,ask,25030.84,47.813312
BTCUSDT,bid,35900.21,15.375591
ETHUSDT,ask,8904.76,7.34268
SOLUSDT,ask,3173.54,42.742971
ADAUSDT,bid,5071.53,38.338018
DOTUSDT,ask,9185.36,30.729412
MATICUSDT,bid,29298.92,7.500003
AVAXUSDT,bid,48517.99,40.791757
LINKUSDT,bid,11655.22,3.023226
UNIUSDT,bid,16001.06,40.882465
ATOMUSDT,ask,45177.83,10.884547
XRPUSDT,ask,32653.86,21.500274
LTCUSDT,bid,50757.67,45.281696
BCHUSDT,ask,37768.22,45.737801
ALGOUSDT,ask,11943.26,2.11017
XLMUSDT,ask,13433.02,49.072512
FILUSDT,ask,52707.65,8.010772
NEARUSDT,ask,53609.94,28.814506
APTUSDT,ask,4307.65,46.420815
ARBUSDT,bid,15079.41,41.224038
OPUSDT,bid,37934.18,32.2261
BTCUSDT,bid,44618.35,7.737768
ETHUSDT,bid,18601.43,5.571893
SOLUSDT,ask,2447.01,47.853448
ADAUSDT,bid,37753.96,47.032814
DOTUSDT,bid,42934.15,29.244523
