symbol,interval,open_time,open,high,low,close,volume,close_time
BTCUSDT,1h,1796063400000,77341.06,78887.88,75794.23,77727.76,380.76,1796066999999
BTCUSDT,1h,1796067000000,54246.06,55330.99,53161.14,54517.29,160.42,1796070599999
BTCUSDT,1h,1796070600000,36476.19,37205.71,35746.66,36658.57,151.57,1796074199999
BTCUSDT,1h,1796074200000,65539.84,66850.63,64229.04,65867.54,306.27,1796077799999
BTCUSDT,1h,1796077800000,49417.56,50405.91,48429.21,49664.65,189.69,1796081399999
BTCUSDT,1h,1796081400000,27390.52,27938.33,26842.71,27527.47,280.49,1796084999999
BTCUSDT,1h,1796085000000,21838.75,22275.52,21401.97,21947.94,100.51,1796088599999
BTCUSDT,1h,1796088600000,5539.82,5650.62,5429.03,5567.52,389.25,1796092199999
BTCUSDT,1h,1796092200000,52072.41,53113.86,51030.96,52332.78,125.02,1796095799999
BTCUSDT,1h,1796095800000,4807.21,4903.35,4711.06,4831.24,193.79,1796099399999
BTCUSDT,1h,1796099400000,77824.95,79381.45,76268.46,78214.08,288.30,1796102999999
BTCUSDT,1h,1796103000000,35988.78,36708.56,35269.01,36168.73,330.72,1796106599999
BTCUSDT,1h,1796106600000,46675.62,47609.13,45742.11,46909.00,186.08,1796110199999
BTCUSDT,1h,1796110200000,22991.34,23451.17,22531.52,23106.30,73.22,1796113799999
BTCUSDT,1h,1796113800000,79560.00,81151.20,77968.80,79957.80,193.05,1796117399999
BTCUSDT,1h,1796117400000,86077.12,87798.66,84355.58,86507.50,460.83,1796120999999
ETHUSDT,1h,1796063400000,30889.66,31507.46,30271.87,31044.11,16.13,1796066999999
ETHUSDT,1h,1796067000000,80836.56,82453.30,79219.83,81240.75,429.96,1796070599999
ETHUSDT,1h,1796070600000,68714.02,70088.30,67339.74,69057.59,198.67,1796074199999
ETHUSDT,1h,1796074200000,53126.71,54189.24,52064.17,53392.34,100.16,1796077799999
ETHUSDT,1h,1796077800000,77533.38,79084.05,75982.71,77921.05,146.95,1796081399999
ETHUSDT,1h,1796081400000,22081.01,22522.63,21639.39,22191.41,378.13,1796084999999
ETHUSDT,1h,1796085000000,39594.17,40386.05,38802.29,39792.14,66.93,1796088599999
ETHUSDT,1h,1796088600000,70692.31,72106.15,69278.46,71045.77,208.72,1796092199999
ETHUSDT,1h,1796092200000,39710.98,40505.20,38916.76,39909.53,316.74,1796095799999
ETHUSDT,1h,1796095800000,80119.64,81722.03,78517.24,80520.24,401.45,1796099399999
ETHUSDT,1h,1796099400000,40088.21,40889.98,39286.45,40288.65,277.06,1796102999999
ETHUSDT,1h,1796103000000,24213.97,24698.25,23729.69,24335.04,129.87,1796106599999
ETHUSDT,1h,1796106600000,37705.15,38459.25,36951.05,37893.67,92.35,1796110199999
ETHUSDT,1h,1796110200000,2432.64,2481.30,2383.99,2444.81,255.89,1796113799999
ETHUSDT,1h,1796113800000,25584.25,26095.94,25072.57,25712.17,227.14,1796117399999
ETHUSDT,1h,1796117400000,75141.76,76644.60,73638.93,75517.47,398.29,1796120999999
SOLUSDT,1h,1796063400000,40744.37,41559.25,39929.48,40948.09,351.15,1796066999999
SOLUSDT,1h,1796067000000,89805.03,91601.13,88008.93,90254.06,114.94,1796070599999
SOLUSDT,1h,1796070600000,46193.68,47117.56,45269.81,46424.65,351.58,1796074199999
SOLUSDT,1h,1796074200000,39558.07,40349.23,38766.90,39755.86,354.55,1796077799999
SOLUSDT,1h,1796077800000,53365.96,54433.27,52298.64,53632.78,168.92,1796081399999
SOLUSDT,1h,1796081400000,2380.04,2427.64,2332.44,2391.94,155.73,1796084999999
SOLUSDT,1h,1796085000000,34578.81,35270.39,33887.23,34751.70,412.06,1796088599999
SOLUSDT,1h,1796088600000,16998.81,17338.79,16658.83,17083.80,424.58,1796092199999
SOLUSDT,1h,1796092200000,8580.17,8751.78,8408.57,8623.07,416.92,1796095799999
SOLUSDT,1h,1796095800000,36924.64,37663.13,36186.14,37109.26,139.07,1796099399999
SOLUSDT,1h,1796099400000,61800.13,63036.13,60564.13,62109.13,94.75,1796102999999
SOLUSDT,1h,1796103000000,88954.26,90733.35,87175.18,89399.03,54.49,1796106599999
