symbol,price,priceChange,priceChangePercent,highPrice,lowPrice,volume
BTCUSDT,71332.95,12.82,7.40,547.28,38190.18,301474.75
ETHUSDT,38228.05,-193.50,3.71,44675.70,7229.95,811662.95
SOLUSDT,65584.29,122.91,5.89,91646.20,20729.30,810935.51
ADAUSDT,11405.57,333.17,-0.28,64888.93,21195.71,309340.83
DOTUSDT,43833.47,-29.95,-3.89,56803.47,13474.87,253924.26
BNBUSDT,51310.07,-232.85,-1.21,44023.21,73029.77,588826.52
XRPUSDT,60638.19,-317.87,-1.73,3733.85,61048.07,293991.81
MATICUSDT,82540.27,91.01,-0.36,22140.41,68169.20,842085.04
UNI8USDT,24338.4,-491.5,4.14,36359.3,58188.67,804719.89
ATOM9USDT,39145.3,487.76,-3.71,34757.53,30957.27,639693.7
XRP10USDT,57230.8,-86.45,2.59,10058.32,20666.04,713794.34
LTC11USDT,13257.39,89.03,4.26,56087.53,54904.49,252462.64
BCH12USDT,9349.96,445.6,-3.73,5117.69,10023.07,705297.13
ALGO13USDT,14677.3,131.83,3.89,52955.99,13892.61,818542.39
XLM14USDT,35024.37,-82.9,-3.45,44257.17,22229.74,857659.98
FIL15USDT,50891.36,-153.54,-1.16,19434.62,22035.53,895092.87
NEAR16USDT,30600.37,476.78,2.21,45472.83,25654.11,120372.22
APT17USDT,38614.57,52.77,6.65,34139.52,41486.28,237788.94
ARB18USDT,57994.39,-229.56,3.75,34243.65,15748.97,454951.52
OP19USDT,43099.08,-340.29,7.31,33973.46,38651.45,477332.8
BTC20USDT,10995.9,105.03,-3.33,25842.25,39299.54,743301.34
ETH21USDT,20864.05,430.17,1.83,15504.94,25007.72,813006.86
SOL22USDT,30659.05,-191.13,7.39,60030.8,57409.38,690838.96
ADA23USDT,15364.25,325.41,5.88,22124.81,43783.19,686115.96
DOT24USDT,15487.94,-1.58,0.04,45268.09,704.33,673403.75
MATIC25USDT,45131.21,6.14,0.61,58009.79,26934.68,881279.41
AVAX26USDT,5604.05,88.18,-7.51,3020.43,1431.83,706531.06
LINK27USDT,42213.34,294.81,-1.72,28924.45,18296.97,693904.04
UNI28USDT,5445.64,-456.43,-1.6,14485.54,25082.86,592632.87
ATOM29USDT,11504.18,-334.95,-2.4,40577.01,15792.86,680715.98
XRP30USDT,13715.1,-153.18,-4.83,49547.75,48056.89,783693.94
LTC31USDT,30349.64,-95.88,-7.82,17024.33,16598.61,686990.04
BCH32USDT,6044.51,-442.97,-3.17,13831.41,4383.12,770569.86
ALGO33USDT,478.52,-442.47,2.19,44994.39,26147.95,543629.97
XLM34USDT,9193.61,-91.93,-7.8,53257.63,41667.29,447377.08
FIL35USDT,44318.69,-176.81,7.29,45826.75,4464.99,36400.16
NEAR36USDT,55369.58,13.79,-3.16,43012.16,43466.24,17141.08
APT37USDT,17904.11,468.5,7.07,46732.16,54480.54,29545.73
ARB38USDT,26979.71,116.15,-7.18,10829.87,42917.19,687380.71
OP39USDT,16915.58,-139.15,7.71,1792.36,55751.06,158603.63
BTC40USDT,19075.02,251.52,3.58,4373.98,43240.67,897646.31
ETH41USDT,58433.42,94.33,-2.91,53310.64,47251.63,718184.48
SOL42USDT,34245.04,61.02,6.52,45427.38,33457.35,103165.81
ADA43USDT,57957.09,-137.46,-2.34,9524.21,52629.19,770614.52
DOT44USDT,55773.39,-377.84,5.27,34751.79,6255.5,305027.08
MATIC45USDT,11338.48,351.62,5.95,43049.05,43992.29,374085.77
AVAX46USDT,31687.18,95.37,0.9,43894.03,46688.66,177173.79
LINK47USDT,6837.06,-252.08,-6.67,26332.88,43421.7,549114.3
UNI48USDT,5072.46,-397.88,-3.02,38220.81,18563.31,146157.41
ATOM49USDT,17047.81,-417.7,-4.8,18071.28,14472.62,849731.1
XRP50USDT,20348.26,313.09,5.54,60058.96,38994.32,802667.21
LTC51USDT,46440.12,90.0,-0.04,17026.46,36594.08,690950.9
BCH52USDT,17305.38,205.8,4.23,50049.93,14955.07,576958.42
ALGO53USDT,40195.28,-397.84,1.41,51520.78,44086.43,727435.26
XLM54USDT,21044.12,-82.75,3.02,55214.58,50423.81,424996.58
FIL55USDT,20722.43,-341.28,-4.31,20722.99,15290.45,484662.61
NEAR56USDT,6213.47,-317.48,-7.67,13659.72,5024.02,193974.39
APT57USDT,43742.11,-231.53,-6.47,53847.34,27845.56,806094.31
