asset,free,locked
BTC,1.07442518,0.00000000
ETH,4.62022027,0.00000000
SOL,3.96294833,0.00000000
ADA,0.72590572,0.00000000
DOT,3.47387359,0.00000000
BNB,0.63447601,0.00000000
XRP,1.93889192,0.00000000
MATIC,4.01013988,0.00000000
UNI8,28.89363922,4.85000853
ATOM9,22.5692542,0.79686408
XRP10,35.57005282,2.35866498
LTC11,25.35079709,1.16597483
BCH12,44.80857393,1.28039417
ALGO13,37.26040546,1.20867541
XLM14,46.41039356,0.7279064
FIL15,37.45173139,1.76297405
NEAR16,26.18563082,3.16344435
APT17,43.16064066,2.99858048
ARB18,44.95847038,2.80679531
OP19,30.34757876,1.59474495
BTC20,46.86086354,2.73683241
ETH21,23.65042382,2.83967818
SOL22,35.48081631,4.39608548
ADA23,21.48446116,4.92906946
DOT24,23.76190411,3.05823296
MATIC25,36.60169248,3.84065057
AVAX26,34.45133478,3.1011018
LINK27,48.30624612,1.71523799
UNI28,7.84234028,4.45096704
ATOM29,39.66605745,2.88744741
XRP30,3.70322384,3.19143076
LTC31,19.72748596,2.25826533
BCH32,31.2014256,0.79167473
ALGO33,33.08537389,2.76560958
XLM34,24.679718,2.0306244
FIL35,10.50838241,2.44254102
NEAR36,30.51252319,2.56468293
APT37,7.70626878,1.72102367
ARB38,8.17128735,2.08252264
OP39,19.72730898,0.60935858
BTC40,0.59601413,3.99113349
ETH41,19.66559918,0.65355768
SOL42,8.49978153,1.23200116
ADA43,49.62962402,4.94062493
DOT44,1.86869179,3.54856326
MATIC45,12.23964316,3.65292411
AVAX46,43.38908746,0.77575373
LINK47,4.68134166,1.23464344
UNI48,45.16587966,4.63463047
ATOM49,39.29271871,3.72854862
XRP50,47.32757954,1.07173697
LTC51,33.41536877,1.22467239
BCH52,42.28731058,4.210834
ALGO53,22.57517289,2.59505294
XLM54,17.19282706,3.65650348
FIL55,16.35316643,4.11722698
NEAR56,37.25555228,1.78909179
APT57,45.94786089,1.44253138
ARB58,38.39264933,2.95863934
OP59,44.30270731,2.31659465
BTC60,8.47261571,0.70733661
ETH61,21.41970851,2.72225675
SOL62,42.04330894,2.10682489
ADA63,2.51909599,2.01772944
DOT64,27.72655442,2.37687194
MATIC65,0.34316185,0.0871615
AVAX66,31.90279316,0.08496504
LINK67,9.03283329,1.28377374
UNI68,38.76381044,4.34209963
ATOM69,4.87199901,2.80927251
XRP70,1.95948235,4.33567595
LTC71,31.65198059,2.05330917
BCH72,21.44174177,0.85945485
ALGO73,28.53027253,1.11240642
XLM74,20.49789177,2.44676663
FIL75,0.93070454,4.24201106
NEAR76,27.64021302,4.98912015
APT77,35.42526963,2.68061204
ARB78,41.91527816,3.63769953
OP79,18.9822754,2.49054558
BTC80,4.22972021,2.65734279
ETH81,33.78085696,4.63636794
SOL82,18.23645553,1.98637361
ADA83,1.27046299,0.62496112
DOT84,37.54858928,4.8252284
MATIC85,21.10210831,0.47119178
AVAX86,10.75622092,4.96640432
LINK87,35.97290653,4.48775871
UNI88,32.38284965,0.30565611
ATOM89,47.54659698,0.62950057
XRP90,39.74697196,4.26185944
LTC91,22.71212843,2.17269342
BCH92,48.66695655,0.69395728
ALGO93,47.58912257,0.41520935
XLM94,27.99800936,2.56860573
FIL95,8.66251536,0.38658409
NEAR96,22.05437974,1.46236119
APT97,32.937854,0.83501143
ARB98,17.33922783,3.47045154
OP99,3.32094505,3.08010086
BTC100,32.23245902,2.83315397
ETH101,41.44228345,2.20471018
SOL102,31.20255423,3.87243596
ADA103,24.09423207,0.02227086
DOT104,49.78510866,0.52722967
