id,type,name,description,category,variation_id,variation_name,price_amount,currency
CATI_0001,APPOINTMENT_SERVICE,Weekly Tithe,Weekly Tithe - Grace Community Church,Church Support,CATV_0001,Standard,0,USD
CATI_0002,GIFT_CARD,Easter Offering,Easter Offering - Grace Community Church,Church Support,CATV_0002,Standard,5000,USD
CATI_0003,GIFT_CARD,Building Fund,Building Fund - Grace Community Church,Church Support,CATV_0003,Standard,10000,USD
CATI_0004,GIFT_CARD,Missions Fund,Missions Fund - Grace Community Church,Church Support,CATV_0004,Standard,5000,USD
CATI_0005,GIFT_CARD,Youth Ministry,Youth Ministry - Grace Community Church,Ministries,CATV_0005,Standard,2500,USD
CATI_0006,GIFT_CARD,Music Ministry,Music Ministry - Grace Community Church,Ministries,CATV_0006,Standard,2500,USD
CATI_0007,GIFT_CARD,Food Pantry,Food Pantry - Grace Community Church,Outreach,CATV_0007,Standard,2500,USD
CATI_0008,GIFT_CARD,Christmas Giving Tree,Christmas Giving Tree - Grace Community Church,Seasonal,CATV_0008,Standard,5000,USD
CATI_0009,GIFT_CARD,Altar Flowers,Altar Flowers - Grace Community Church,Worship,CATV_0009,Standard,4500,USD
CATI_0010,APPOINTMENT_SERVICE,Fellowship Hall Rental,Fellowship Hall Rental - Grace Community Church,Facilities,CATV_0010,Standard,50000,USD
CATI_0011,APPOINTMENT_SERVICE,Quinceanera Blessing,Quinceanera Blessing - Grace Community Church,Sacraments,CATV_0011,Standard,35000,USD
CATI_0012,APPOINTMENT_SERVICE,Wedding Ceremony,Wedding Ceremony - Grace Community Church,Sacraments,CATV_0012,Standard,80000,USD
CATI_0013,APPOINTMENT_SERVICE,Funeral Service,Funeral Service - Grace Community Church,Sacraments,CATV_0013,Standard,30000,USD
CATI_0014,GIFT_CARD,Retreat Registration,Retreat Registration - Grace Community Church,Retreats,CATV_0014,Standard,12500,USD
CATI_0015,GIFT_CARD,Book Study,Book Study - Grace Community Church,Formation,CATV_0015,Standard,2000,USD
CATI_0016,GIFT_CARD,Choir Robe,Choir Robe - Grace Community Church,Music,CATV_0016,Standard,4500,USD
CATI_0017,GIFT_CARD,Cookbook,Cookbook - Grace Community Church,Fellowship,CATV_0017,Standard,1800,USD
CATI_0018,GIFT_CARD,Prayer Shawl,Prayer Shawl - Grace Community Church,Care Ministry,CATV_0018,Standard,3500,USD
CATI_0019,GIFT_CARD,Advent Wreath,Advent Wreath - Grace Community Church,Seasonal,CATV_0019,Standard,2200,USD
CATI_0020,GIFT_CARD,Guadalupe Feast Meal,Guadalupe Feast Meal - Grace Community Church,Seasonal,CATV_0020,Standard,1200,USD
CATI_0021,GIFT_CARD,Concert Ticket,Concert Ticket - Grace Community Church,Music,CATV_0021,Standard,1500,USD
CATI_0022,GIFT_CARD,Thanksgiving Meal,Thanksgiving Meal - Grace Community Church,Seasonal,CATV_0022,Standard,5000,USD
CATI_0023,GIFT_CARD,Widow Fellowship,Widow Fellowship - Grace Community Church,Care Ministry,CATV_0023,Standard,1000,USD
CATI_0024,GIFT_CARD,Cemetery Care,Cemetery Care - Grace Community Church,Care Ministry,CATV_0024,Standard,7500,USD
CATI_0025,APPOINTMENT_SERVICE,Sunday Tithe,Sunday Tithe - Grace Community Church,Church Support,CATV_0025,Standard,0,USD
