id,name,activity_type,distance,average_grade,maximum_grade,elevation_high,elevation_low,climb_category,city,state
3300,Wash Park Mile 0,Run,3596,2.1,6.0,1648.8,1560.3,0,Denver,CO
3301,Sheridan Sprint 1,Run,3521,2.3,3.7,1611.4,1580.0,0,Denver,CO
3302,Highland Bridge 2,Run,1783,1.1,5.4,1597.5,1565.3,0,Denver,CO
3303,Sheridan Sprint 3,Run,3167,-0.5,5.1,1609.4,1581.4,0,Denver,CO
3304,Sloan's Lake Loop 4,Run,4816,2.2,1.8,1594.3,1572.1,0,Denver,CO
3305,Wash Park Mile 5,Run,3107,-0.3,3.5,1599.9,1564.2,0,Denver,CO
3306,Cheesman Park Climb 6,Run,3405,0.8,1.2,1615.7,1589.9,0,Denver,CO
3307,Sloan's Lake Loop 7,Run,906,0.3,3.0,1583.6,1589.9,0,Denver,CO
3308,Highland Bridge 8,Run,4612,0.5,4.4,1604.7,1583.4,0,Denver,CO
3309,Wash Park Mile 9,Run,2545,0.4,4.2,1630.5,1587.1,0,Denver,CO
3310,Sloan's Lake Loop 10,Run,2847,-0.1,5.5,1637.0,1569.1,0,Denver,CO
3311,Sheridan Sprint 11,Run,4536,1.8,5.1,1642.2,1584.1,0,Denver,CO
3312,Sheridan Sprint 12,Run,3038,0.2,5.2,1583.1,1570.2,0,Denver,CO
3313,Sheridan Sprint 13,Run,1011,1.0,5.2,1592.2,1577.1,0,Denver,CO
3314,Highland Bridge 14,Run,2273,0.1,1.5,1594.7,1568.9,0,Denver,CO
3315,Cheesman Park Climb 15,Run,844,-0.9,2.7,1597.7,1563.0,0,Denver,CO
3316,Sloan's Lake Loop 16,Run,870,2.0,1.8,1627.7,1564.0,0,Denver,CO
3317,Wash Park Mile 17,Run,3467,1.2,1.2,1607.5,1582.9,0,Denver,CO
3318,Sheridan Sprint 18,Run,1460,2.1,1.5,1590.6,1567.7,0,Denver,CO
3319,Cheesman Park Climb 19,Run,2853,2.8,3.8,1597.3,1584.7,0,Denver,CO
3320,Wash Park Mile 20,Run,3787,-0.7,4.4,1619.5,1570.6,0,Denver,CO
3321,Cheesman Park Climb 21,Run,1500,1.8,3.3,1596.5,1586.4,0,Denver,CO
3322,Highland Bridge 22,Run,4513,1.3,3.3,1594.5,1573.7,0,Denver,CO
3323,Sloan's Lake Loop 23,Run,4051,3.0,5.2,1599.3,1562.7,0,Denver,CO
3324,Cheesman Park Climb 24,Run,2697,2.8,2.0,1595.3,1565.0,0,Denver,CO
3325,Sheridan Sprint 25,Run,4056,2.1,1.2,1632.0,1563.7,0,Denver,CO
3326,Wash Park Mile 26,Run,4698,2.5,5.3,1616.7,1589.2,0,Denver,CO
3327,Sheridan Sprint 27,Run,4886,0.9,5.9,1638.0,1587.1,0,Denver,CO
3328,Sloan's Lake Loop 28,Run,2984,-0.7,5.3,1583.5,1586.5,0,Denver,CO
3329,Sheridan Sprint 29,Run,2396,2.9,4.4,1592.2,1577.6,0,Denver,CO
3330,Cheesman Park Climb 30,Run,3524,1.6,3.0,1590.7,1582.6,0,Denver,CO
3331,Cheesman Park Climb 31,Run,2336,1.5,3.1,1642.9,1579.8,0,Denver,CO
3332,Sloan's Lake Loop 32,Run,4014,-0.8,1.2,1584.4,1581.2,0,Denver,CO
3333,Highland Bridge 33,Run,1297,2.3,5.0,1599.6,1568.8,0,Denver,CO
3334,Wash Park Mile 34,Run,2247,0.3,2.0,1602.9,1571.6,0,Denver,CO
3335,Wash Park Mile 35,Run,4850,-0.6,5.9,1581.4,1566.8,0,Denver,CO
3336,Sheridan Sprint 36,Run,4302,2.6,5.8,1642.3,1571.9,0,Denver,CO
3337,Sheridan Sprint 37,Run,4359,0.3,3.8,1589.3,1578.6,0,Denver,CO
3338,Sheridan Sprint 38,Run,3685,-0.1,1.8,1611.4,1581.8,0,Denver,CO
3339,Cheesman Park Climb 39,Run,2159,2.6,4.2,1639.6,1568.2,0,Denver,CO
3340,Sloan's Lake Loop 40,Run,3184,0.8,3.8,1604.6,1571.5,0,Denver,CO
3341,Highland Bridge 41,Run,4010,-0.8,6.0,1622.9,1587.8,0,Denver,CO
