id,fld_opponent,fld_date,fld_time,fld_location,fld_home_away
rec_b01,Bartlett High,2026-11-09,6:00 PM,Westgrove Main Gym,Home
rec_b02,Arlington High,2026-11-14,5:30 PM,Arlington High School,Away
rec_b03,Houston High,2026-11-21,6:00 PM,Westgrove Main Gym,Home
rec_b04,Germantown High,2026-11-25,5:00 PM,Germantown High School,Away
rec_b05,Bolton High,2026-12-02,6:00 PM,Westgrove Main Gym,Home
rec_b06,Munford High,2026-12-04,4:15 PM,Munford High School,Away
rec_b07,Collierville High,2026-12-09,5:30 PM,Collierville High School,Away
rec_b08,Brighton High,2026-12-13,6:00 PM,Westgrove Main Gym,Home
rec_b09,Cordova High,2026-12-16,6:00 PM,Westgrove Main Gym,Home
rec_b10,Bartlett High,2027-01-06,5:30 PM,Bartlett High School,Away
rec_b11,Arlington High,2027-01-10,6:00 PM,Westgrove Main Gym,Home
rec_b12,Houston High,2027-01-16,5:30 PM,Houston High School,Away
rec_b13,Germantown High,2027-01-23,6:00 PM,Westgrove Main Gym,Home
rec_b14,Bolton High,2027-01-30,5:30 PM,Bolton High School,Away
rec_b15,Collierville High,2027-02-06,6:00 PM,Westgrove Main Gym,Home
rec_b16,Munford High,2027-02-13,6:00 PM,Westgrove Main Gym,Home
