tableId,id,name,type
tbl_grades,fld_course,Course,singleLineText
tbl_grades,fld_teacher,Teacher,singleLineText
tbl_grades,fld_q1_grade,Q1 Grade,singleLineText
tbl_grades,fld_q1_pct,Q1 Percent,number
tbl_grades,fld_status,Status,singleSelect
tbl_grades,fld_notes,Notes,multilineText
tbl_basketball,fld_opponent,Opponent,singleLineText
tbl_basketball,fld_date,Game Date,date
tbl_basketball,fld_time,Time,singleLineText
tbl_basketball,fld_location,Location,singleLineText
tbl_basketball,fld_home_away,Home/Away,singleSelect
tbl_milestones,fld_milestone,Milestone,singleLineText
tbl_milestones,fld_target_date,Target Date,date
tbl_milestones,fld_status,Status,singleSelect
tbl_milestones,fld_notes,Notes,multilineText
tbl_activities,fld_activity,Activity,singleLineText
tbl_activities,fld_cost,Cost,currency
tbl_activities,fld_paid,Paid,checkbox
tbl_activities,fld_due_date,Due Date,date
tbl_activities,fld_notes,Notes,multilineText
