Date	Activity	Provider	Type	Credits	Cumulative
2024-03-15	Stroke care update	Frontier Medical Education	Category 1	6.0	6.0
2024-05-09	Airway management workshop	Regional Skills Center	Category 1	8.0	14.0
2024-07-21	Pediatric emergencies module	Online provider	Self assessment	10.0	24.0
2024-09-30	Sepsis and shock review	Frontier Medical Education	Self assessment	12.0	36.0
2024-11-18	Trauma imaging course	Hospital grand rounds	Category 1	9.0	45.0
2025-01-22	Toxicology case series	Online provider	Category 1	7.0	52.0
2025-04-12	Ultrasound in resuscitation	Regional Skills Center	Category 1	14.0	66.0
2025-06-28	Cardiology recertification prep	Online provider	Self assessment	16.0	82.0
2025-09-15	Wilderness and environmental	Eventbrite listed course	Category 1	8.0	90.0
2025-12-05	Patient safety and QI	Hospital grand rounds	Category 1	6.0	96.0
2026-01-18	Advanced trauma resuscitation update	Frontier Medical Education	Category 1	8.0	104.0
2026-02-12	Risk and documentation	Online provider	Self assessment	5.0	109.0
			Requirement	250 over 10 years	
			Self assessment requirement	100	
