id,short_id,org_slug,project_slug,title,culprit,level,status,count,user_count,first_seen,last_seen
440,URISN-440,ciph,urisn-ingestion,IngestionError: partial batch on 2026-07-09,ingest.batch,warning,resolved,37,0,2026-07-09T03:02:00Z,2026-07-09T05:00:00Z
441,URISN-441,ciph,urisn-ingestion,IngestionError: partial batch on 2026-07-23,ingest.batch,warning,resolved,19,0,2026-07-23T03:02:00Z,2026-07-23T05:00:00Z
442,URISN-442,ciph,urisn-ingestion,IngestionError: partial batch on 2026-08-06,ingest.batch,error,unresolved,25,0,2026-08-06T03:02:00Z,2026-08-06T05:00:00Z
443,URISN-443,ciph,urisn-ingestion,IngestionError: partial batch on 2026-08-20,ingest.batch,warning,resolved,38,0,2026-08-20T03:02:00Z,2026-08-20T05:00:00Z
444,URISN-444,ciph,urisn-ingestion,IngestionError: partial batch on 2026-08-27,ingest.batch,error,unresolved,22,0,2026-08-27T03:02:00Z,2026-08-27T05:00:00Z
445,URISN-445,ciph,urisn-ingestion,IngestionError: partial batch on 2026-09-03,ingest.batch,warning,resolved,7,0,2026-09-03T03:02:00Z,2026-09-03T05:00:00Z
446,URISN-446,ciph,urisn-ingestion,IngestionError: partial batch on 2026-09-17,ingest.batch,error,unresolved,26,0,2026-09-17T03:02:00Z,2026-09-17T05:00:00Z
447,URISN-447,ciph,urisn-ingestion,Minor warning 447,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
448,URISN-448,ciph,urisn-ingestion,Minor warning 448,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
449,URISN-449,ciph,urisn-ingestion,Minor warning 449,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
450,URISN-450,ciph,urisn-ingestion,Minor warning 450,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
451,URISN-451,ciph,urisn-ingestion,Minor warning 451,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
452,URISN-452,ciph,urisn-ingestion,Minor warning 452,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
453,URISN-453,ciph,urisn-ingestion,Minor warning 453,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
454,URISN-454,ciph,urisn-ingestion,Minor warning 454,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
455,URISN-455,ciph,urisn-ingestion,Minor warning 455,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
456,URISN-456,ciph,urisn-ingestion,Minor warning 456,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
457,URISN-457,ciph,urisn-ingestion,Minor warning 457,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
458,URISN-458,ciph,urisn-ingestion,Minor warning 458,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
459,URISN-459,ciph,urisn-ingestion,Minor warning 459,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
460,URISN-460,ciph,urisn-ingestion,Minor warning 460,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
461,URISN-461,ciph,urisn-ingestion,Minor warning 461,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
462,URISN-462,ciph,urisn-ingestion,Minor warning 462,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
463,URISN-463,ciph,urisn-ingestion,Minor warning 463,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
464,URISN-464,ciph,urisn-ingestion,Minor warning 464,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
465,URISN-465,ciph,urisn-ingestion,Minor warning 465,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
466,URISN-466,ciph,urisn-ingestion,Minor warning 466,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
467,URISN-467,ciph,urisn-ingestion,Minor warning 467,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
468,URISN-468,ciph,urisn-ingestion,Minor warning 468,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
469,URISN-469,ciph,urisn-ingestion,Minor warning 469,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
470,URISN-470,ciph,urisn-ingestion,Minor warning 470,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
471,URISN-471,ciph,urisn-ingestion,Minor warning 471,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
472,URISN-472,ciph,urisn-ingestion,Minor warning 472,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
473,URISN-473,ciph,urisn-ingestion,Minor warning 473,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
474,URISN-474,ciph,urisn-ingestion,Minor warning 474,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
475,URISN-475,ciph,urisn-ingestion,Minor warning 475,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
476,URISN-476,ciph,urisn-ingestion,Minor warning 476,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
477,URISN-477,ciph,urisn-ingestion,Minor warning 477,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
478,URISN-478,ciph,urisn-ingestion,Minor warning 478,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
479,URISN-479,ciph,urisn-ingestion,Minor warning 479,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
480,URISN-480,ciph,urisn-ingestion,Minor warning 480,mod.fn,info,resolved,1,0,2026-08-01T00:00:00Z,2026-08-01T01:00:00Z
