line_id,category,vendor,amount_usd,cadence,due_date,account,notes
L001,housing,Norfolk County Q4 property tax,2800.00,quarterly,2026-11-30,Chase checking,quarterly installment
L002,housing,Regency Mortgage,4500.00,monthly,2026-11-05,Chase checking,autopay confirmed
L003,housing,Homeowner insurance escrow,200.00,monthly,2026-11-05,Chase checking,rolled into mortgage
L004,auto,Progressive auto insurance,260.00,monthly,2026-11-18,Chase checking,autopay renewal Oct 15 was 6-month
L005,family,Wise remittance to Ji-young family,400.00,monthly,2026-11-04,Chase checking,quiet monthly support
L006,finance,Laurel Road student loan,1200.00,monthly,2026-11-15,Chase checking,4.5 percent refi
L007,finance,529 Vanguard Minjun,600.00,monthly,2026-11-01,Chase checking,auto
L008,finance,529 Vanguard Seoyeon,600.00,monthly,2026-11-01,Chase checking,auto
L009,household,Groceries baseline family of 5,1600.00,monthly,2026-11-30,Chase checking,H-Mart plus Whole Foods
L010,household,Family visit grocery add,640.00,one-time,2026-11-22,Chase checking,Ji-young family visit Nov 22-30
L011,household,Thanksgiving grocery add,220.00,one-time,2026-11-24,Chase checking,Butterball plus Korean sides for Nov 26
L012,household,Cleaning service,200.00,weekly-4,2026-11-30,Chase checking,monthly total
L013,household,Snow removal contract start,150.00,monthly,2026-11-15,Chase checking,Nov through Mar
L014,household,Utilities gas plus electric plus water,340.00,monthly,2026-11-15,Chase checking,estimate
L015,kids,Minjun soccer season fees remainder,150.00,one-time,2026-11-20,Chase checking,Q4 due
L016,kids,Seoyeon dance recital costume,110.00,one-time,2026-11-28,Chase checking,December recital
L017,health,Katie prescriptions plus supplements,80.00,monthly,2026-11-30,Chase checking,Aimovig covered separately
L018,health,Jung-hee medications,60.00,monthly,2026-11-30,Chase checking,Meloxicam plus acetaminophen
L019,personal,Family phones and internet,220.00,monthly,2026-11-12,Chase checking,Verizon
L020,personal,Streaming plus Spotify plus Netflix plus Disney,68.00,monthly,2026-11-05,Chase checking,rounded
NOV_TOTAL,ALL,All November outflows,14398.00,,2026-11-30,Chase checking,sum of L001 through L020
