Porter's Bakehouse Wholesale Tracker	November 2026					
Account	Type	Delivery Day	Standing Weekly Order	Per Delivery	Monthly Total	Status
The Harborview Grill	Restaurant	Wednesday	Dinner rolls, focaccia, dessert trays	$287.50	$1,150.00	Current
Atwells Trattoria	Restaurant	Wednesday	Ciabatta, semolina loaves, tiramisu shells	$245.00	$980.00	Current
Silver Spoon Bistro	Restaurant	Friday	Brioche buns, tart shells, baguette	$190.00	$760.00	Current
Eastside Chophouse	Restaurant	Friday	Dinner rolls, sourdough boule	$160.00	$640.00	Net 15 outstanding
Hill Street Coffee	Coffee shop	Wednesday	Scones, muffins, morning buns	$130.00	$520.00	Current
Morning Bell Cafe	Coffee shop	Friday	Croissants, danishes, cookies	$112.50	$450.00	Current
Providence Manor Hotel	Hotel	Wednesday and Friday	Breakfast pastries, banquet desserts	$212.50	$1,700.00	Renewal in negotiation
				Monthly total	$6,200.00	
						
Open item	Eastside Chophouse invoice 4471 is 9 days past due, $640.00. Sofia to follow up by email.					
Open item	Providence Manor (contact Karen Wells, kwells@providencemanor.com) wants 40 percent more banquet dessert volume. Renewal terms not signed. Hold pricing until David approves.					
Note	Flour cost step up of 15 percent has not yet been passed through to wholesale pricing. Review at the December P&L.					
