Flour Supplier Price Comparison	Prepared October 2026 after the 15 percent step up	Prices per 50 lb bag delivered				
Supplier	Product	Price per 50 lb	Change vs last quarter	Min order	Lead time	Note
Stonefield Heritage Flour	Bread flour, current account	$34.50	Up 15.0 percent	10 bags	3 days	Current primary, quality is consistent
Stonefield Heritage Flour	All purpose	$29.80	Up 15.0 percent	10 bags	3 days	Same hike across the line
Mill Brook Grain Co.	Bread flour	$31.20	Up 4.0 percent	20 bags	7 days	Cheaper but longer lead, sample tested clean
Mill Brook Grain Co.	All purpose	$27.40	Up 4.0 percent	20 bags	7 days	Protein slightly lower, retest a wedding batch
Cedar Valley Mills	Bread flour, stone ground	$38.90	Up 6.0 percent	8 bags	5 days	Premium, save for the country loaf only
Cedar Valley Mills	Pastry flour	$33.10	Up 6.0 percent	8 bags	5 days	Nice for tart shells
Northfield Co-op	All purpose	$26.90	Flat	30 bags	10 days	Best price, storage space is the limit
						
Decision note	Hold with Stonefield for bread flour through the holidays for reliability. Move all purpose to Mill Brook on a trial 40 bag order in January. Do not switch the wedding cake flour during season.					
Cost impact	All purpose at Mill Brook saves about $2.40 a bag. At roughly 35 bags a month that is about $84 a month, near half the food cost overshoot.					
