tableId,id,name,type
tbl000,fld00000,Name,singleLineText
tbl000,fld00001,Status,singleSelect
tbl000,fld00002,Owner,singleLineText
tbl000,fld00003,Due,date
tbl000,fld00004,Notes,multilineText
tbl001,fld00100,Name,singleLineText
tbl001,fld00101,Status,singleSelect
tbl001,fld00102,Owner,singleLineText
tbl001,fld00103,Due,date
tbl001,fld00104,Notes,multilineText
tbl100,fld10000,Name,singleLineText
tbl100,fld10001,Status,singleSelect
tbl100,fld10002,Owner,singleLineText
tbl100,fld10003,Due,date
tbl100,fld10004,Notes,multilineText
tbl101,fld10100,Name,singleLineText
tbl101,fld10101,Status,singleSelect
tbl101,fld10102,Owner,singleLineText
tbl101,fld10103,Due,date
tbl101,fld10104,Notes,multilineText
tbl_migraine_diary,fld_migraine_date,date,date
tbl_migraine_diary,fld_migraine_present,episode_present,checkbox
tbl_migraine_diary,fld_migraine_duration,duration_hours,number
tbl_migraine_diary,fld_migraine_severity,severity_1to10,number
tbl_migraine_diary,fld_migraine_nurtec,nurtec_taken,number
tbl_migraine_diary,fld_migraine_trigger_primary,trigger_tag_primary,singleSelect
tbl_migraine_diary,fld_migraine_trigger_secondary,trigger_tag_secondary,singleSelect
tbl_migraine_diary,fld_migraine_sleep_score,strava_sleep_score,number
tbl_migraine_diary,fld_migraine_pressure,openweather_pressure_hpa,number
tbl_migraine_diary,fld_migraine_notes,notes,longText
