id,name,activity_type,distance,average_grade,maximum_grade,elevation_high,elevation_low,climb_category,city,state
strava_segments_1000,Strava item 0,activity_type_0,distance_0,average_grade_0,maximum_grade_0,elevation_high_0,elevation_low_0,climb_category_0,city_0,done
strava_segments_1001,Strava item 1,activity_type_1,distance_1,average_grade_1,maximum_grade_1,elevation_high_1,elevation_low_1,climb_category_1,city_1,closed
strava_segments_1002,Strava item 2,activity_type_2,distance_2,average_grade_2,maximum_grade_2,elevation_high_2,elevation_low_2,climb_category_2,city_2,active
strava_segments_1003,Strava item 3,activity_type_3,distance_3,average_grade_3,maximum_grade_3,elevation_high_3,elevation_low_3,climb_category_3,city_3,active
strava_segments_1004,Strava item 4,activity_type_4,distance_4,average_grade_4,maximum_grade_4,elevation_high_4,elevation_low_4,climb_category_4,city_4,closed
strava_segments_1005,Strava item 5,activity_type_5,distance_5,average_grade_5,maximum_grade_5,elevation_high_5,elevation_low_5,climb_category_5,city_5,closed
strava_segments_1006,Strava item 6,activity_type_6,distance_6,average_grade_6,maximum_grade_6,elevation_high_6,elevation_low_6,climb_category_6,city_6,done
strava_segments_1007,Strava item 7,activity_type_7,distance_7,average_grade_7,maximum_grade_7,elevation_high_7,elevation_low_7,climb_category_7,city_7,closed
strava_segments_1008,Strava item 8,activity_type_8,distance_8,average_grade_8,maximum_grade_8,elevation_high_8,elevation_low_8,climb_category_8,city_8,active
strava_segments_1009,Strava item 9,activity_type_9,distance_9,average_grade_9,maximum_grade_9,elevation_high_9,elevation_low_9,climb_category_9,city_9,active
strava_segments_1010,Strava item 10,activity_type_10,distance_10,average_grade_10,maximum_grade_10,elevation_high_10,elevation_low_10,climb_category_10,city_10,closed
strava_segments_1011,Strava item 11,activity_type_11,distance_11,average_grade_11,maximum_grade_11,elevation_high_11,elevation_low_11,climb_category_11,city_11,active
strava_segments_1012,Strava item 12,activity_type_12,distance_12,average_grade_12,maximum_grade_12,elevation_high_12,elevation_low_12,climb_category_12,city_12,open
strava_segments_1013,Strava item 13,activity_type_13,distance_13,average_grade_13,maximum_grade_13,elevation_high_13,elevation_low_13,climb_category_13,city_13,closed
strava_segments_1014,Strava item 14,activity_type_14,distance_14,average_grade_14,maximum_grade_14,elevation_high_14,elevation_low_14,climb_category_14,city_14,closed
strava_segments_1015,Strava item 15,activity_type_15,distance_15,average_grade_15,maximum_grade_15,elevation_high_15,elevation_low_15,climb_category_15,city_15,active
strava_segments_1016,Strava item 16,activity_type_16,distance_16,average_grade_16,maximum_grade_16,elevation_high_16,elevation_low_16,climb_category_16,city_16,closed
strava_segments_1017,Strava item 17,activity_type_17,distance_17,average_grade_17,maximum_grade_17,elevation_high_17,elevation_low_17,climb_category_17,city_17,open
strava_segments_1018,Strava item 18,activity_type_18,distance_18,average_grade_18,maximum_grade_18,elevation_high_18,elevation_low_18,climb_category_18,city_18,closed
strava_segments_1019,Strava item 19,activity_type_19,distance_19,average_grade_19,maximum_grade_19,elevation_high_19,elevation_low_19,climb_category_19,city_19,done
strava_segments_1020,Strava item 20,activity_type_20,distance_20,average_grade_20,maximum_grade_20,elevation_high_20,elevation_low_20,climb_category_20,city_20,open
strava_segments_1021,Strava item 21,activity_type_21,distance_21,average_grade_21,maximum_grade_21,elevation_high_21,elevation_low_21,climb_category_21,city_21,done
strava_segments_1022,Strava item 22,activity_type_22,distance_22,average_grade_22,maximum_grade_22,elevation_high_22,elevation_low_22,climb_category_22,city_22,closed
strava_segments_1023,Strava item 23,activity_type_23,distance_23,average_grade_23,maximum_grade_23,elevation_high_23,elevation_low_23,climb_category_23,city_23,done
strava_segments_1024,Strava item 24,activity_type_24,distance_24,average_grade_24,maximum_grade_24,elevation_high_24,elevation_low_24,climb_category_24,city_24,closed
strava_segments_1025,Strava item 25,activity_type_25,distance_25,average_grade_25,maximum_grade_25,elevation_high_25,elevation_low_25,climb_category_25,city_25,active
strava_segments_1026,Strava item 26,activity_type_26,distance_26,average_grade_26,maximum_grade_26,elevation_high_26,elevation_low_26,climb_category_26,city_26,closed
strava_segments_1027,Strava item 27,activity_type_27,distance_27,average_grade_27,maximum_grade_27,elevation_high_27,elevation_low_27,climb_category_27,city_27,closed
strava_segments_1028,Strava item 28,activity_type_28,distance_28,average_grade_28,maximum_grade_28,elevation_high_28,elevation_low_28,climb_category_28,city_28,active
strava_segments_1029,Strava item 29,activity_type_29,distance_29,average_grade_29,maximum_grade_29,elevation_high_29,elevation_low_29,climb_category_29,city_29,done
strava_segments_1030,Strava item 30,activity_type_30,distance_30,average_grade_30,maximum_grade_30,elevation_high_30,elevation_low_30,climb_category_30,city_30,done
strava_segments_1031,Strava item 31,activity_type_31,distance_31,average_grade_31,maximum_grade_31,elevation_high_31,elevation_low_31,climb_category_31,city_31,done
strava_segments_1032,Strava item 32,activity_type_32,distance_32,average_grade_32,maximum_grade_32,elevation_high_32,elevation_low_32,climb_category_32,city_32,done
strava_segments_1033,Strava item 33,activity_type_33,distance_33,average_grade_33,maximum_grade_33,elevation_high_33,elevation_low_33,climb_category_33,city_33,done
strava_segments_1034,Strava item 34,activity_type_34,distance_34,average_grade_34,maximum_grade_34,elevation_high_34,elevation_low_34,climb_category_34,city_34,active
