track_id,name,artist_id,album_id,duration_ms,popularity,explicit,track_number
trk0000000000000000001,Cielito Lindo 0,art0000000000000000108,alb0000000000000000055,246698,39,true,11
trk0000000000000000002,Tití Me Preguntó 1,art0000000000000000017,alb0000000000000000201,295766,42,false,7
trk0000000000000000003,Cielito Lindo 2,art0000000000000000114,alb0000000000000000211,217870,41,true,10
trk0000000000000000004,Volver Volver 3,art0000000000000000030,alb0000000000000000185,313531,64,false,5
trk0000000000000000005,Volver Volver 4,art0000000000000000184,alb0000000000000000097,300843,67,true,1
trk0000000000000000006,El Rey 5,art0000000000000000106,alb0000000000000000050,210360,84,false,6
trk0000000000000000007,Volver Volver 6,art0000000000000000047,alb0000000000000000202,242625,65,false,2
trk0000000000000000008,El Rey 7,art0000000000000000059,alb0000000000000000157,246581,86,true,8
trk0000000000000000009,Malamente 8,art0000000000000000077,alb0000000000000000163,228454,42,true,14
trk0000000000000000010,Como Quien Pierde una Estrella 9,art0000000000000000134,alb0000000000000000167,173216,61,false,1
trk0000000000000000011,El Rey 10,art0000000000000000136,alb0000000000000000166,218392,71,false,2
trk0000000000000000012,El Rey 11,art0000000000000000047,alb0000000000000000070,234607,47,true,8
trk0000000000000000013,Como Quien Pierde una Estrella 12,art0000000000000000129,alb0000000000000000084,157362,86,false,9
trk0000000000000000014,El Rey 13,art0000000000000000170,alb0000000000000000135,262636,54,true,3
trk0000000000000000015,El Rey 14,art0000000000000000068,alb0000000000000000057,235334,58,false,11
trk0000000000000000016,Volver Volver 15,art0000000000000000114,alb0000000000000000200,169858,72,true,10
trk0000000000000000017,Malamente 16,art0000000000000000050,alb0000000000000000101,242232,71,false,5
trk0000000000000000018,Como Quien Pierde una Estrella 17,art0000000000000000114,alb0000000000000000208,293934,43,false,10
trk0000000000000000019,Hasta la Raíz 18,art0000000000000000039,alb0000000000000000057,196634,71,false,13
trk0000000000000000020,Como Quien Pierde una Estrella 19,art0000000000000000125,alb0000000000000000208,196518,52,true,3
trk0000000000000000021,El Rey 20,art0000000000000000046,alb0000000000000000102,303949,74,true,9
trk0000000000000000022,El Rey 21,art0000000000000000039,alb0000000000000000143,181670,81,true,8
trk0000000000000000023,Volver Volver 22,art0000000000000000102,alb0000000000000000022,197288,45,false,11
trk0000000000000000024,Volver Volver 23,art0000000000000000198,alb0000000000000000134,202748,50,true,12
trk0000000000000000025,La Llorona 24,art0000000000000000079,alb0000000000000000212,236545,57,true,3
trk0000000000000000026,Tití Me Preguntó 25,art0000000000000000033,alb0000000000000000030,179920,33,false,3
trk0000000000000000027,Hasta la Raíz 26,art0000000000000000058,alb0000000000000000026,299357,50,true,8
trk0000000000000000028,Como Quien Pierde una Estrella 27,art0000000000000000086,alb0000000000000000115,248665,50,false,2
trk0000000000000000029,Como Quien Pierde una Estrella 28,art0000000000000000081,alb0000000000000000036,179107,75,true,11
trk0000000000000000030,Cielito Lindo 29,art0000000000000000074,alb0000000000000000203,179791,46,true,11
trk0000000000000000031,La Llorona 30,art0000000000000000006,alb0000000000000000187,171605,45,false,9
trk0000000000000000032,Hasta la Raíz 31,art0000000000000000030,alb0000000000000000157,309610,32,true,9
trk0000000000000000033,El Rey 32,art0000000000000000204,alb0000000000000000176,172042,75,false,4
trk0000000000000000034,La Llorona 33,art0000000000000000082,alb0000000000000000195,240923,62,true,5
trk0000000000000000035,Como Quien Pierde una Estrella 34,art0000000000000000076,alb0000000000000000047,228751,72,true,8
trk0000000000000000036,Hasta la Raíz 35,art0000000000000000064,alb0000000000000000115,316617,67,true,6
trk0000000000000000037,El Rey 36,art0000000000000000104,alb0000000000000000140,229277,90,true,3
trk0000000000000000038,La Llorona 37,art0000000000000000131,alb0000000000000000077,163482,76,false,8
trk0000000000000000039,Cielito Lindo 38,art0000000000000000204,alb0000000000000000206,298041,30,false,1
trk0000000000000000040,Malamente 39,art0000000000000000131,alb0000000000000000082,152221,63,true,2
trk0000000000000000041,La Llorona 40,art0000000000000000017,alb0000000000000000172,197838,36,false,4
trk0000000000000000042,Malamente 41,art0000000000000000067,alb0000000000000000126,191749,44,false,9
trk0000000000000000043,Malamente 42,art0000000000000000019,alb0000000000000000044,177679,60,true,14
trk0000000000000000044,Cielito Lindo 43,art0000000000000000022,alb0000000000000000002,278408,33,true,1
trk0000000000000000045,Hasta la Raíz 44,art0000000000000000157,alb0000000000000000002,294101,57,true,7
