id,user_id,name,description,duration,width,height,privacy,status,plays,likes,created_time,modified_time,link
vid_00101,,M01 Anatomy Refresh - Instructor Session,,4980,1920,1080,password,available,0,0,2026-01-15T09:04:00-10:00,2026-01-15T11:20:00-10:00,
vid_00102,,M02 Wound Healing Foundations - Instructor Session,,5100,1920,1080,password,available,0,0,2026-02-05T09:03:00-10:00,2026-02-05T11:18:00-10:00,
vid_00103,,M03 Splinting Fundamentals - Instructor Session,,4860,1920,1080,password,available,0,0,2026-03-01T09:02:00-10:00,2026-03-01T11:12:00-10:00,
vid_00104,,M04 Tendon Injuries - Instructor Session,,5220,1920,1080,password,available,0,0,2026-04-02T09:05:00-10:00,2026-04-02T11:22:00-10:00,
vid_00105,,M05 Nerve Injuries - Instructor Session,,5040,1920,1080,password,available,0,0,2026-05-06T09:03:00-10:00,2026-05-06T11:16:00-10:00,
vid_00106,,M06 Fractures and Dislocations - Instructor Session,,5160,1920,1080,password,available,0,0,2026-06-04T09:04:00-10:00,2026-06-04T11:19:00-10:00,
vid_00107,,M07 Arthritis Management - Instructor Session,,4920,1920,1080,password,available,0,0,2026-07-02T09:03:00-10:00,2026-07-02T11:14:00-10:00,
vid_00108,,M08 CRPS - Instructor Session,,5340,1920,1080,password,available,0,0,2026-08-06T09:04:00-10:00,2026-08-06T11:24:00-10:00,
vid_00109,,M09 Congenital and Pediatric Hand - Instructor Session,,5220,1920,1080,password,available,0,0,2026-09-03T09:05:00-10:00,2026-09-03T11:20:00-10:00,
vid_00110,,M10 Amputation and Prosthetics - Instructor Session,,5400,1920,1080,password,available,0,0,2026-09-24T09:04:00-10:00,2026-09-24T11:26:00-10:00,
vid_00111,,M11 Return to Work and Ergonomics - Instructor Session,,4980,1920,1080,password,available,0,0,2026-10-08T09:03:00-10:00,2026-10-08T11:15:00-10:00,
