campaign_id,emails_sent,opens_total,unique_opens,open_rate,clicks_total,unique_clicks,click_rate,unsubscribed,bounces
camp-0000,201,155,111,0.532,29,58,0.173,7,15
camp-0001,299,153,172,0.278,62,28,0.074,9,8
camp-0002,212,124,146,0.453,44,53,0.163,3,12
camp-0003,296,74,41,0.487,59,9,0.142,10,12
camp-0004,299,207,42,0.384,19,32,0.137,8,14
camp-0005,156,231,64,0.319,1,45,0.048,0,9
camp-0006,171,224,129,0.371,73,24,0.176,8,5
camp-0007,261,89,156,0.507,66,54,0.094,10,1
camp-0008,43,51,190,0.368,29,60,0.137,3,1
camp-0009,108,96,9,0.603,28,4,0.079,2,6
camp-0010,283,239,144,0.471,39,44,0.149,6,1
camp-0011,270,20,129,0.431,45,24,0.038,0,0
camp-0012,41,32,155,0.505,62,26,0.06,8,1
camp-0013,195,31,102,0.244,41,12,0.054,1,14
camp-0014,265,37,146,0.479,37,59,0.061,1,15
camp-0015,97,120,136,0.37,78,40,0.151,4,15
camp-0016,282,103,126,0.683,43,5,0.024,1,8
camp-0017,124,212,70,0.629,15,42,0.054,10,1
camp-0018,295,81,16,0.235,4,8,0.139,1,1
camp-0019,45,175,190,0.473,14,13,0.117,4,4
camp-0020,215,71,196,0.675,1,49,0.183,3,3
camp-0021,188,118,30,0.617,79,44,0.154,2,7
camp-0022,281,192,141,0.494,13,12,0.035,7,3
camp-0023,179,14,8,0.516,68,37,0.168,2,1
camp-0024,216,192,188,0.231,16,42,0.13,5,1
camp-0025,90,110,78,0.663,26,17,0.199,4,0
camp-0026,256,155,187,0.34,58,50,0.172,10,3
camp-0027,130,55,176,0.298,68,54,0.08,0,0
camp-0028,59,193,6,0.294,59,14,0.061,10,3
camp-0029,169,125,74,0.275,39,22,0.025,3,8
camp-0030,59,31,147,0.318,21,35,0.02,2,6
camp-0031,259,154,12,0.32,29,15,0.02,3,11
camp-0032,277,59,35,0.37,26,23,0.013,9,0
camp-0033,251,136,74,0.49,47,39,0.038,0,12
camp-0034,216,186,115,0.479,19,23,0.041,7,15
camp-0035,182,192,7,0.403,61,9,0.07,8,9
camp-0036,149,141,122,0.586,27,53,0.025,0,6
camp-0037,165,143,61,0.518,20,35,0.108,3,0
camp-0038,206,223,7,0.316,41,22,0.043,9,12
camp-0039,218,150,26,0.375,34,59,0.107,3,4
camp-0040,42,244,93,0.493,65,0,0.054,8,3
camp-0041,56,164,32,0.313,50,58,0.028,4,4
camp-0042,107,203,96,0.529,40,23,0.121,3,11
camp-0043,48,204,29,0.226,66,55,0.08,3,8
camp-0044,289,77,121,0.453,66,51,0.167,2,8
camp-0045,266,201,24,0.214,34,58,0.012,10,1
camp-0046,132,148,16,0.649,67,27,0.034,1,0
camp-0047,196,231,6,0.203,63,32,0.041,3,12
camp-0048,67,230,112,0.603,12,40,0.103,5,3
camp-0049,131,156,187,0.6,10,29,0.078,1,15
camp-0050,149,212,148,0.32,63,10,0.073,4,4
camp-0051,88,82,21,0.31,36,54,0.141,6,6
camp-0052,245,112,163,0.251,65,31,0.127,3,8
camp-0053,211,183,161,0.679,51,45,0.158,1,2
camp-0054,172,166,179,0.319,70,14,0.197,3,0
camp-0055,90,78,179,0.517,25,56,0.121,10,1
camp-0056,226,237,65,0.267,53,15,0.08,3,8
camp-0057,28,170,74,0.345,45,14,0.125,3,15
camp-0058,157,201,69,0.548,43,0,0.096,4,5
camp-0059,129,214,173,0.226,4,17,0.08,9,13
