iata_code,icao_code,business_name,common_name,country_code
DL,DAL,Delta Air Lines Inc,Delta,US
AA,AAL,American Airlines Inc,American,US
WN,SWA,Southwest Airlines Co,Southwest,US
UA,UAL,United Airlines Inc,United,US
B6,JBU,JetBlue Airways Inc,JetBlue,US
F9,FFT,Frontier Airlines Inc,Frontier,US
AS,ASA,Alaska Airlines Inc,Alaska,US
NK,NKS,Spirit Airlines Inc,Spirit,US
G4,AAY,Allegiant Air,Allegiant,US
BA,BAW,British Airways,British Airways,GB
AF,AFR,Air France,Air France,FR
KL,KLM,KLM Royal Dutch Airlines,KLM,NL
LH,DLH,Lufthansa,Lufthansa,DE
IB,IBE,Iberia,Iberia,ES
VS,VIR,Virgin Atlantic,Virgin,GB
EK,UAE,Emirates,Emirates,AE
QR,QTR,Qatar Airways,Qatar,QA
ET,ETH,Ethiopian Airlines,Ethiopian,ET
KQ,KQA,Kenya Airways,Kenya Airways,KE
SA,SAA,South African Airways,SAA,ZA
MK,MAU,Air Mauritius,Air Mauritius,MU
AT,RAM,Royal Air Maroc,Royal Air Maroc,MA
TM,LAM,LAM Mozambique Airlines,LAM,MZ
P4,PGT,Pegasus Airlines,Pegasus,TR
