iata_code,name,city_name,city_code,country_name,country_code,latitude,longitude,timezone
ATL,Hartsfield-Jackson Atlanta International,Atlanta,ATL,United States,US,33.6407,-84.4277,America/New_York
DCA,Ronald Reagan Washington National,Washington,WAS,United States,US,38.8512,-77.0402,America/New_York
IAD,Washington Dulles International,Washington,WAS,United States,US,38.9531,-77.4565,America/New_York
BWI,Baltimore/Washington International,Baltimore,BWI,United States,US,39.1774,-76.6684,America/New_York
DEN,Denver International,Denver,DEN,United States,US,39.8561,-104.6737,America/Denver
SEA,Seattle-Tacoma International,Seattle,SEA,United States,US,47.4502,-122.3088,America/Los_Angeles
IAH,George Bush Houston,Houston,HOU,United States,US,29.9902,-95.3368,America/Chicago
BOS,Boston Logan International,Boston,BOS,United States,US,42.3656,-71.0096,America/New_York
PHL,Philadelphia International,Philadelphia,PHL,United States,US,39.8721,-75.2411,America/New_York
ORD,Chicago O Hare International,Chicago,ORD,United States,US,41.9742,-87.9073,America/Chicago
LAX,Los Angeles International,Los Angeles,LAX,United States,US,33.9416,-118.4085,America/Los_Angeles
SFO,San Francisco International,San Francisco,SFO,United States,US,37.6213,-122.3790,America/Los_Angeles
MIA,Miami International,Miami,MIA,United States,US,25.7959,-80.2870,America/New_York
JFK,John F Kennedy International,New York,NYC,United States,US,40.6413,-73.7781,America/New_York
LGA,LaGuardia,New York,NYC,United States,US,40.7772,-73.8726,America/New_York
DFW,Dallas Fort Worth,Dallas,DAL,United States,US,32.8998,-97.0403,America/Chicago
CLT,Charlotte Douglas,Charlotte,CLT,United States,US,35.2140,-80.9431,America/New_York
DTW,Detroit Metropolitan,Detroit,DTT,United States,US,42.2124,-83.3534,America/Detroit
MSP,Minneapolis Saint Paul,Minneapolis,MSP,United States,US,44.8848,-93.2223,America/Chicago
LHR,London Heathrow,London,LON,United Kingdom,GB,51.4700,-0.4543,Europe/London
CDG,Charles de Gaulle,Paris,PAR,France,FR,49.0097,2.5479,Europe/Paris
AMS,Schiphol,Amsterdam,AMS,Netherlands,NL,52.3105,4.7683,Europe/Amsterdam
FRA,Frankfurt am Main,Frankfurt,FRA,Germany,DE,50.0379,8.5622,Europe/Berlin
GVA,Geneva,Geneva,GVA,Switzerland,CH,46.2381,6.1090,Europe/Zurich
ADD,Addis Ababa Bole,Addis Ababa,ADD,Ethiopia,ET,8.9779,38.7994,Africa/Addis_Ababa
NBO,Jomo Kenyatta,Nairobi,NBO,Kenya,KE,-1.3192,36.9278,Africa/Nairobi
ACC,Kotoka,Accra,ACC,Ghana,GH,5.6052,-0.1667,Africa/Accra
MPM,Maputo,Maputo,MPM,Mozambique,MZ,-25.9209,32.5721,Africa/Maputo
OUA,Ouagadougou,Ouagadougou,OUA,Burkina Faso,BF,12.3532,-1.5124,Africa/Ouagadougou
DAR,Julius Nyerere,Dar es Salaam,DAR,Tanzania,TZ,-6.8781,39.2026,Africa/Dar_es_Salaam
ZNZ,Abeid Amani Karume,Zanzibar,ZNZ,Tanzania,TZ,-6.2220,39.2249,Africa/Dar_es_Salaam
JNB,OR Tambo,Johannesburg,JNB,South Africa,ZA,-26.1367,28.2411,Africa/Johannesburg
CPT,Cape Town International,Cape Town,CPT,South Africa,ZA,-33.9648,18.6017,Africa/Johannesburg
LOS,Murtala Muhammed,Lagos,LOS,Nigeria,NG,6.5774,3.3211,Africa/Lagos
ABJ,Felix Houphouet-Boigny,Abidjan,ABJ,Cote dIvoire,CI,5.2614,-3.9260,Africa/Abidjan
CAI,Cairo International,Cairo,CAI,Egypt,EG,30.1114,31.4139,Africa/Cairo
IST,Istanbul,Istanbul,IST,Turkey,TR,41.2753,28.7519,Europe/Istanbul
DXB,Dubai International,Dubai,DXB,United Arab Emirates,AE,25.2532,55.3657,Asia/Dubai
DOH,Hamad International,Doha,DOH,Qatar,QA,25.2731,51.6086,Asia/Qatar
