tableId,id,name,type
at-tbl-seasonal,at-f-seasonal-title,PieceName,singleLineText
at-tbl-seasonal,at-f-seasonal-form,Form,singleSelect
at-tbl-seasonal,at-f-seasonal-status,Status,singleSelect
at-tbl-seasonal,at-f-seasonal-price,PriceJPY,number
at-tbl-seasonal,at-f-seasonal-crate,CrateId,singleLineText
at-tbl-seasonal,at-f-seasonal-notes,Notes,longText
at-tbl-museum,at-f-museum-title,VesselName,singleLineText
at-tbl-museum,at-f-museum-form,Form,singleSelect
at-tbl-museum,at-f-museum-status,Status,singleSelect
at-tbl-museum,at-f-museum-height,HeightCM,number
at-tbl-museum,at-f-museum-notes,Notes,longText
at-tbl-kiln,at-f-kiln-title,LoadName,singleLineText
at-tbl-kiln,at-f-kiln-cone,Cone,number
at-tbl-kiln,at-f-kiln-date,Date,date
at-tbl-kiln,at-f-kiln-pieces,PieceCount,number
at-tbl-kiln,at-f-kiln-atmosphere,Atmosphere,singleSelect
at-tbl-kiln,at-f-kiln-notes,Notes,longText
