id,createdTime,PieceName,Form,Status,PriceJPY,CrateId,Notes
rec-seasonal-001,2026-05-20T09:00:00Z,Tea bowl kohiki,wheel,Complete,12800,CR-SB-001,Seasonal Table piece 1
rec-seasonal-002,2026-05-20T09:00:00Z,Tea bowl karatsu,hand-built,Complete,13600,CR-SB-002,Seasonal Table piece 2
rec-seasonal-003,2026-05-20T09:00:00Z,Sake cup pair,wheel,Complete,14400,CR-SB-003,Seasonal Table piece 3
rec-seasonal-004,2026-05-20T09:00:00Z,Sake tokkuri,hand-built,Complete,15200,CR-SB-004,Seasonal Table piece 4
rec-seasonal-005,2026-05-20T09:00:00Z,Rice bowl small,wheel,Complete,16000,CR-SB-005,Seasonal Table piece 5
rec-seasonal-006,2026-05-20T09:00:00Z,Rice bowl medium,hand-built,Complete,16800,CR-SB-006,Seasonal Table piece 6
rec-seasonal-007,2026-05-20T09:00:00Z,Rice bowl large,wheel,Complete,17600,CR-SB-007,Seasonal Table piece 7
rec-seasonal-008,2026-05-20T09:00:00Z,Serving platter oval,hand-built,Complete,18400,CR-SB-008,Seasonal Table piece 8
rec-seasonal-009,2026-05-20T09:00:00Z,Serving platter round,wheel,Complete,19200,CR-SB-009,Seasonal Table piece 9
rec-seasonal-010,2026-05-20T09:00:00Z,Small dish,hand-built,Complete,20000,CR-SB-010,Seasonal Table piece 10
rec-seasonal-011,2026-05-20T09:00:00Z,Medium dish,wheel,Complete,20800,CR-SB-011,Seasonal Table piece 11
rec-seasonal-012,2026-05-20T09:00:00Z,Large dish,hand-built,Complete,21600,CR-SB-012,Seasonal Table piece 12
rec-seasonal-013,2026-05-20T09:00:00Z,Chawan winter,wheel,Complete,22400,CR-SB-013,Seasonal Table piece 13
rec-seasonal-014,2026-05-20T09:00:00Z,Chawan spring,hand-built,Complete,23200,CR-SB-014,Seasonal Table piece 14
rec-seasonal-015,2026-05-20T09:00:00Z,Yunomi tall,wheel,Complete,24000,CR-SB-015,Seasonal Table piece 15
rec-seasonal-016,2026-05-20T09:00:00Z,Yunomi short,hand-built,Complete,24800,CR-SB-016,Seasonal Table piece 16
rec-seasonal-017,2026-05-20T09:00:00Z,Kensui waste bowl,wheel,Complete,25600,CR-SB-017,Seasonal Table piece 17
rec-seasonal-018,2026-05-20T09:00:00Z,Mizusashi water jar,hand-built,Complete,26400,CR-SB-018,Seasonal Table piece 18
rec-seasonal-019,2026-05-20T09:00:00Z,Guinomi cup pair,wheel,Complete,27200,CR-SB-019,Seasonal Table piece 19
rec-seasonal-020,2026-05-20T09:00:00Z,Chaire tea caddy,hand-built,Complete,28000,CR-SB-020,Seasonal Table piece 20
rec-seasonal-021,2026-05-20T09:00:00Z,Katakuchi pouring bowl,wheel,Complete,28800,CR-SB-021,Seasonal Table piece 21
rec-seasonal-022,2026-05-20T09:00:00Z,Kobachi small bowl,hand-built,Complete,29600,CR-SB-022,Seasonal Table piece 22
rec-seasonal-023,2026-05-20T09:00:00Z,Ohachi rice serving,wheel,Complete,30400,CR-SB-023,Seasonal Table piece 23
rec-seasonal-024,2026-05-20T09:00:00Z,Kyusu teapot,hand-built,Complete,31200,CR-SB-024,Seasonal Table piece 24
rec-seasonal-025,2026-05-20T09:00:00Z,Yuzamashi cooling bowl,wheel,In glaze,32000,CR-SB-025,Seasonal Table piece 25
rec-seasonal-026,2026-05-20T09:00:00Z,Chashaku holder,hand-built,In glaze,32800,CR-SB-026,Seasonal Table piece 26
rec-seasonal-027,2026-05-20T09:00:00Z,Kensui deep,wheel,In glaze,33600,CR-SB-027,Seasonal Table piece 27
rec-seasonal-028,2026-05-20T09:00:00Z,Chawan autumn,hand-built,In glaze,34400,CR-SB-028,Seasonal Table piece 28
rec-seasonal-029,2026-05-20T09:00:00Z,Tokkuri short,wheel,In glaze,35200,CR-SB-029,Seasonal Table piece 29
rec-seasonal-030,2026-05-20T09:00:00Z,Guinomi single,hand-built,In glaze,36000,CR-SB-030,Seasonal Table piece 30
