id,name,type,messages_total,messages_unread,threads_total,threads_unread
INBOX,INBOX,system,4200,85,3100,62
SENT,SENT,system,3800,0,2900,0
DRAFT,DRAFT,system,24,24,22,22
SPAM,SPAM,system,340,340,320,320
TRASH,TRASH,system,180,0,170,0
Label_1,Restaurant Operations,user,1200,15,900,12
Label_2,Property Management,user,450,8,380,5
Label_3,Personal/Family,user,620,12,480,9
Label_4,Health,user,89,3,72,2
Label_5,Wedding Planning,user,145,5,110,4
Label_6,Vendors,user,380,4,290,3
Label_7,Church/Community,user,210,2,180,1
