id,key,name,type,status,description
sp_1000,FIRM,Thompson Space,global,current,Workspace for Thompson matter docs and runbooks
sp_1001,CASES,Delacroix Space,global,current,Workspace for Delacroix matter docs and runbooks
sp_1002,KB,Boudreaux Space,global,current,Workspace for Boudreaux matter docs and runbooks
sp_1003,HR,Arceneaux Space,global,current,Workspace for Arceneaux matter docs and runbooks
sp_1004,FIN,Fontaine Space,global,current,Workspace for Fontaine matter docs and runbooks
sp_1005,BOARD,Guidry Space,global,current,Workspace for Guidry matter docs and runbooks
sp_1006,FIRM,Hebert Space,global,current,Workspace for Hebert matter docs and runbooks
sp_1007,CASES,Landry Space,global,current,Workspace for Landry matter docs and runbooks
sp_1008,KB,Maddox Space,global,current,Workspace for Maddox matter docs and runbooks
sp_1009,HR,Naquin Space,global,current,Workspace for Naquin matter docs and runbooks
sp_1010,FIN,Ortega Space,global,current,Workspace for Ortega matter docs and runbooks
sp_1011,BOARD,Prejean Space,global,current,Workspace for Prejean matter docs and runbooks
sp_1012,FIRM,Robicheaux Space,global,current,Workspace for Robicheaux matter docs and runbooks
sp_1013,CASES,Savoy Space,global,current,Workspace for Savoy matter docs and runbooks
sp_1014,KB,Trahan Space,global,current,Workspace for Trahan matter docs and runbooks
sp_1015,HR,Vidrine Space,global,current,Workspace for Vidrine matter docs and runbooks
sp_1016,FIN,Whitfield Space,global,current,Workspace for Whitfield matter docs and runbooks
sp_1017,BOARD,Aucoin Space,global,current,Workspace for Aucoin matter docs and runbooks
sp_1018,FIRM,Babineaux Space,global,current,Workspace for Babineaux matter docs and runbooks
sp_1019,CASES,Comeaux Space,global,current,Workspace for Comeaux matter docs and runbooks
sp_1020,KB,Thompson Space,global,current,Workspace for Thompson matter docs and runbooks
sp_1021,HR,Delacroix Space,global,current,Workspace for Delacroix matter docs and runbooks
sp_1022,FIN,Boudreaux Space,global,current,Workspace for Boudreaux matter docs and runbooks
sp_1023,BOARD,Arceneaux Space,global,current,Workspace for Arceneaux matter docs and runbooks
