field_id,form_id,title,field_type,ref,required,choices,order
fld-csat-name,frm-csat-01,What is your name?,short_text,name,true,,1
fld-csat-rating,frm-csat-01,How would you rate our service?,rating,service_rating,true,,2
fld-csat-recommend,frm-csat-01,Would you recommend us?,multiple_choice,recommend,true,Definitely|Probably|Not sure|No,3
fld-csat-email,frm-csat-01,Your email,email,contact_email,false,,4
fld-onb-role,frm-onboard-02,What is your role?,multiple_choice,role,true,Engineer|Product Manager|Designer|Executive|Other,1
fld-onb-ease,frm-onboard-02,How easy was setup?,rating,setup_ease,true,,2
fld-onb-comments,frm-onboard-02,Any additional comments?,short_text,comments,false,,3
fld-evt-name,frm-event-03,Full name,short_text,attendee_name,true,,1
fld-evt-email,frm-event-03,Email address,email,attendee_email,true,,2
fld-evt-track,frm-event-03,Which track will you attend?,multiple_choice,track,true,Platform|Frontend|Data|Security,3
fld-onb-comm1d40,frm-csat-01,Gas Fitter,multiple_choice,attendee_name,true,,3
fld-onb-comm646b,frm-onboard-02,Field Assistant,multiple_choice,contact_email,false,,4
fld-onb-comm6674,frm-onboard-02,Service Plumber,multiple_choice,attendee_name,false,,3
fld-onb-commec20,frm-csat-01,Master Plumber,short_text,service_rating,true,,2
fld-onb-comm2e37,frm-onboard-02,Residential Plumbing Apprentice,rating,attendee_name,true,,1
fld-onb-comm2bad,frm-onboard-02,Residential Plumbing Apprentice,multiple_choice,track,false,,2
fld-onb-comm8bf1,frm-csat-01,Field Assistant,multiple_choice,service_rating,true,,2
fld-onb-commccb8,frm-event-03,Service Plumber,short_text,name,true,,3
fld-onb-comm4072,frm-onboard-02,Plumber's Helper,short_text,name,true,,3
fld-onb-comm67ca,frm-csat-01,Crew Foreman,short_text,attendee_name,true,,3
fld-onb-comm9073,frm-csat-01,Drain Technician,rating,setup_ease,true,,3
fld-onb-comm5455,frm-onboard-02,Drain Technician,short_text,attendee_email,false,,2
fld-onb-commad5a,frm-event-03,Journeyman Plumber,short_text,role,true,Engineer|Product Manager|Designer|Executive|Other,4
fld-onb-commd2be,frm-event-03,Remodel Carpenter,short_text,role,true,,2
fld-onb-commdad6,frm-event-03,Field Assistant,rating,attendee_email,false,,2
fld-onb-commdd2e,frm-csat-01,Drain Technician,email,contact_email,true,,4
fld-onb-commd967,frm-onboard-02,Gas Fitter,rating,setup_ease,true,,3
fld-onb-commcfc3,frm-onboard-02,Apprentice Plumber,email,attendee_email,true,,3
fld-onb-comm5068,frm-onboard-02,Field Assistant,email,role,true,,2
fld-onb-comm982e,frm-event-03,Drain Technician,multiple_choice,attendee_email,true,,3
fld-onb-comm04be,frm-csat-01,Pipefitter,rating,contact_email,true,Platform|Frontend|Data|Security,3
fld-onb-comm311b,frm-onboard-02,Apprentice Plumber,multiple_choice,track,true,,1
fld-onb-comm6ee0,frm-event-03,Service Plumber,rating,contact_email,true,Engineer|Product Manager|Designer|Executive|Other,2
fld-onb-comm6bcf,frm-event-03,Residential Plumbing Apprentice,short_text,contact_email,true,,1
fld-onb-commc5f0,frm-csat-01,Remodel Carpenter,rating,attendee_email,true,Definitely|Probably|Not sure|No,4
fld-onb-comm88f9,frm-csat-01,Drain Technician,short_text,attendee_email,true,Platform|Frontend|Data|Security,3
fld-onb-comm2b5f,frm-onboard-02,Service Plumber,email,service_rating,true,,2
fld-onb-comm6fce,frm-event-03,Residential Plumbing Apprentice,short_text,role,true,,2
fld-onb-comm109b,frm-csat-01,Field Assistant,email,track,true,,3
fld-onb-comma148,frm-onboard-02,Field Assistant,multiple_choice,comments,true,,4
fld-onb-comm8846,frm-csat-01,Gas Fitter,short_text,contact_email,false,,2
fld-onb-comm26dd,frm-onboard-02,Crew Foreman,short_text,service_rating,true,Definitely|Probably|Not sure|No,4
fld-onb-commb673,frm-csat-01,Apprentice Plumber,email,recommend,true,Engineer|Product Manager|Designer|Executive|Other,2
fld-onb-comm71c5,frm-csat-01,Apprentice Plumber,rating,service_rating,true,,3
fld-onb-commf19d,frm-event-03,Drain Technician,short_text,contact_email,true,,1
fld-onb-comm49af,frm-onboard-02,Residential Plumbing Apprentice,multiple_choice,attendee_email,true,Platform|Frontend|Data|Security,3
fld-onb-comm7b4d,frm-csat-01,Residential Plumbing Apprentice,short_text,recommend,true,Platform|Frontend|Data|Security,1
fld-onb-comm0b7b,frm-csat-01,Plumber's Helper,short_text,attendee_email,true,Platform|Frontend|Data|Security,2
fld-onb-comm3308,frm-event-03,Drain Technician,email,service_rating,true,,2
fld-onb-comm4f35,frm-event-03,Plumber's Helper,short_text,recommend,false,,2
fld-onb-comm8f14,frm-csat-01,Apprentice Plumber,short_text,attendee_email,true,,3
fld-onb-comm7854,frm-onboard-02,Plumber's Helper,rating,attendee_name,false,,2
fld-onb-commac0e,frm-csat-01,Crew Foreman,email,service_rating,true,,3
